"I."	"SKUPAJ PRIHODKI (70+71+72+73+74)"	3884512360
	"TEKOČI PRIHODKI (70+71)"	3884512360
70	"DAVČNI PRIHODKI (700+701+702+703+704+705+706)"	3658222751
700	"DAVKI NA DOHODEK IN DOBIČEK"	837835921
7000	"Dohodnina"	657678184
7001	"Davek od dobička pravnih oseb"	180157737
7002	"Drugi davki na dohodek in dobiček"	0
701	"PRISPEVKI ZA SOCIALNO VARNOST"	23826156
7010	"Prispevki zaposlenih"	13897179
7011	"Prispevki delodajalcev"	8351778
7012	"Prispevki samozaposlenih"	1344788
7013	"Ostali prispevki za socialno varnost"	232411
702	"DAVKI NA PLAČILNO LISTO IN DELOVNO SILO"	205438157
7020	"Davek na izplačane plače"	187364380
7021	"Posebni davek na določene prejemke"	18073777
703	"DAVKI NA PREMOŽENJE"	24849775
7030	"Davki na nepremičnine"	0
7031	"Davki na premičnine"	0
7032	"Davki na dediščine in darila"	0
7033	"Davki na promet nepremičnin in na finanč. premož."	24849775
704	"DOMAČI DAVKI NA BLAGO IN STORITVE"	2382210816
7040	"Splošni prometni davki, davki na dodano vrednost"	2203033717
7041	"Drugi davki na blago in storitve"	71494742
7042	"Trošarine (akcize)"	0
7043	"Dobički fiskalnih monopolov"	0
7044	"Davki na posebne storitve"	34739609
7045	"Dovoljenja za poslovanje in za opravljanje dejavnosti"	0
7046	"Pristojbine za motorna vozila"	57336004
7047	"Drugi davki na uporabo blaga ali opravljanje storitev"	15606743
705	"DAVKI NA MEDNARODNO TRGOVINO IN TRANSAKCIJE"	184061926
7050	"Carine"	177956518
7051	"Druge uvozne dajatve"	6105408
7052	"Izvozne dajatve"	0
7053	"Dobički izvoznih in uvoznih monopolov"	0
7054	"Dobički od menjave tujih valut"	0
7055	"Davki na menjavo tujih valut"	0
7056	"Drugi davki na mednarodno trgovino in transakcije"	0
706	"DRUGI DAVKI"	0
7060	"Drugi davki"	0
71	"NEDAVČNI PRIHODKI (710+711+712+713+714)"	226289609
710	"UDELEŽBA NA DOBIČKU IN DOHODKU OD PREMOŽENJA"	61926223
7100	"Udeležba na dobičku javnih podjetij in finanč. Institucij"	25037556
7101	"Prihodki od udeležbe na dobičku drugih podjetij"	16691704
7102	"Prihodki od obresti"	11851110
7103	"Prihodki od premoženja"	8345852
711	"TAKSE IN PRISTOJBINE"	68329578
7110	"Sodne takse"	32402771
7111	"Upravne takse"	35926807
712	"DENARNE KAZNI"	31522283
7120	"Denarne kazni"	31522283
713	"PRIHODKI OD PRODAJE BLAGA IN STORITEV"	30775330
7130	"Prihodki od prodaje blaga in storitev"	30775330
714	"DRUGI NEDAVČNI PRIHODKI"	33736196
7140	"Dodatni prostovoljni prispevki za socialno varnost"	0
7141	"Drugi nedavčni prihodki"	33736196
72	"KAPITALSKI PRIHODKI (720+721+722)"	0
720	"PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV"	0
7200	"Prihodki od prodaje zgradb in prostorov"	0
7201	"Prihodki od prodaje prevoznih sredstev"	0
7202	"Prihodki od prodaje opreme"	0
7203	"Prihodki od prodaje drugih osnovnih sredstev"	0
721	"PRIHODKI OD PRODAJE ZALOG"	0
7210	"Prihodki od prodaje blagovnih rezerv"	0
7211	"Prihodki od prodaje drugih zalog"	0
722	"PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEMATERIALNEGA PREMOŽENJA"	0
7220	"Prihodki od prodaje kmetijskih zemljišč in gozdov"	0
7221	"Prihodki od prodaje stavbnih zemljišč"	0
7222	"Prihodki od prodaje nematerialnega premoženja"	0
73	"PREJETE DONACIJE (730+731)"	0
730	"PREJETE DONACIJE IZ DOMAČIH VIROV"	0
7300	"Prejete donacije iz domačih virov za tekočo porabo"	0
7301	"Prejete donacije iz domačih virov za investicije"	0
7302	"Sredstva kupnin iz naslova privatizacije podjetij"	0
731	"PREJETE DONACIJE IZ TUJINE"	0
7310	"Prejete donacije iz tujine za tekočo porabo"	0
7311	"Prejete donacije iz tujine za investicije"	0
74	"TRANSFERNI PRIHODKI"	0
740	"TRANSFERNI PRIHODKI IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ"	0
7401	"Prejeta sredstva iz proračunov lokalnih skupnosti"	0
7402	"Prejeta sredstva iz skladov socialnega zavarovanja"	0
7403	"Prejeta sredstva iz drugih javnih skladov"	0
"II."	"SKUPAJ ODHODKI (40+41+42+43)"	4008782098
40	"TEKOČI ODHODKI (400+401+402+403+404+409)"	1183160966
