," A. Bilanca prihodkov in odhodkov","I SPLO&#352;NI DEL"
,,"v EUR"
"4025","Tekoče vzdrževanje","197707244"
"4026","Poslovne najemnine in zakupnine","61288898"
"4027","Kazni in odškodnine","15012032"
"4029","Drugi operativni odhodki","113185533"
"403","Plačila domačih obresti","657442409"
"4031","Plačila obresti od kreditov - poslovnim bankam","21906435"
"4032","Plačila obresti od kreditov - drugim finančnim institucijam","96444"
"4033","Plačila obresti od kreditov - drugim domačim kreditodajalcem","8184424"
"4034","Plačila obresti od vrednostnih papirjev izdanih na domačem trgu","627255107"
"404","Plačila tujih obresti","41321303"
"4040","Plačila obresti od kreditov - mednarodnim finančnim institucijam","1321303"
"4044","Plačila obresti od vrednostnih papirjev, izdanih na tujih trgih","40000000"
"409","Rezerve","62771059"
"4090","Splošna proračunska rezervacija","25000000"
"4091","Proračunska rezerva","18896559"
"4093","Sredstva za posebne namene","18874500"
"41","TEKOČI TRANSFERI","5231279757"
"410","Subvencije","497725116"
"4100","Subvencije javnim podjetjem","62870737"
"4102","Subvencije privatnim podjetjem in zasebnikom","434854379"
"411","Transferi posameznikom in gospodinjstvom","1321328922"
"4110","Transferi nezaposlenim","238278221"
"4111","Družinski prejemki in starševska nadomestila","542814691"
"4112","Transferi za zagotavljanje socialne varnosti","214073490"
"4113","Transferi vojnim invalidom, veteranom in žrtvam vojnega nasilja","58948200"
"4117","Štipendije","92407076"
"4119","Drugi transferi posameznikom","174807244"
"412","Transferi nepridobitnim organizacijam in ustanovam","145108858"
"4120","Tekoči transferi nepridobitnim organizacijam in ustanovam","145108858"
"413","Drugi tekoči domači transferi","3236542369"
"4130","Tekoči transferi občinam","18617015"
"4131","Tekoči transferi v sklade socialnega zavarovanja","1422570481"
"4132","Tekoči transferi v javne sklade","17716792"
"4133","Tekoči transferi v javne zavode","1648245869"
"4134","Tekoči transferi v državni proračun","827262"
"4135","Tekoča plačila drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki","88374063"
"4136","Tekoči transferi v javne agencije","40190886"
"414","Tekoči transferi v tujino","30574492"
"4140","Tekoči transferi mednarodnim institucijam","20091768"
"4141","Tekoči transferi tujim vladam in vladnim institucijam","64682"
"4142","Tekoči transferi neprofitnim organizacijam v tujini","2250186"
"4143","Drugi tekoči transferi v tujino","8167857"
"42","INVESTICIJSKI ODHODKI","567039002"
"420","Nakup in gradnja osnovnih sredstev","567039002"
"4200","Nakup zgradb in prostorov","6822659"
"4201","Nakup prevoznih sredstev","9829214"
"4202","Nakup opreme","56605808"
"4203","Nakup drugih osnovnih sredstev","80071"
"4204","Novogradnje, rekonstrukcije in adaptacije","298463420"
"4205","Investicijsko vzdrževanje in obnove","82106121"
"4206","Nakup zemljišč in naravnih bogastev","20024288"
"4207","Nakup nematerialnega premoženja","35111424"
"4208","Študije o izvedljivosti projektov, projektna dokumentacija, nadzor in investicijski inženiring","57995998"
"4209","Nakup blagovnih rezerv in intervencijskih zalog","0"
"43","INVESTICIJSKI TRANSFERI","846432325"
"431","Investicijski transferi pravnim in fizičnim osebam, ki niso proračunski uporabniki","233657818"
"4310","Investicijski transferi nepridobitnim organizacijam in ustanovam","51580700"
"4311","Investicijski transferi javnim podjetjem in družbam, ki so v lasti države ali občin","24844384"
"4313","Investicijski transferi privatnim podjetjem","115989487"
"4314","Investicijski transferi posameznikom in zasebnikom","40973791"
"4315","Investicijski transferi drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki","269456"
"432","Investicijski transferi proračunskim uporabnikom","612774507"
"4320","Investicijski transferi občinam","443644114"
"4321","Investicijski transferi javnim skladom in agencijam","1066442"
"4322","Investicijski transferi v državni proračun","15000"
"4323","Investicijski transferi javnim zavodom","168048951"
"45","PLAČILA SREDSTEV V PRORAČUN EVROPSKE UNIJE","413100000"
"450","Plačila sredstev v proračun Evropske unije","413100000"
"4500","Plačila tradicionalnih lastnih sredstev v proračun Evropske unije","81800000"
"4501","Plačila sredstev v proračun EU iz naslova davka na dodano vrednost","53463750"
"4502","Plačila sredstev v proračun EU iz naslova bruto nacionalnega dohodka","257290189"
"4503","Plačila sredstev v proračun EU iz naslova popravka v korist Združenega Kraljestva","18239917"
"4504","Plačila sredstev v proračun EU iz naslova popravkov BND vira v korist Kraljevin Nizozemske in Švedske","2306144"
,"III. PRORAČUNSKI PRESEŽEK (PRORAČUNSKI PRIMANKLJAJ) (I.-II.) Skupaj prihodki minus skupaj odhodki","-1009390220"
,"III/1. PRIMARNI PRESEŽEK (PRIMANKLJAJ) (I.-7102)-(II.-403-404) Skupaj prihodki brez prihodkov od obresti minus skupaj odhodki brez plačil obresti","-337026508"
,"IV. PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV (750+751+752)","4213931"
"75","PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV","4213931"
"750","Prejeta vračila danih posojil","3001931"
"7504","Prejeta vračila danih posojil od privatnih podjetij","2751931"
"7509","Prejeta vračila plačanih poroštev","250000"
"751","Prodaja kapitalskih deležev","12000"
"7513","Sredstva, pridobljena s prodajo drugih kapitalskih deležev","12000"
"752","Kupnine iz naslova privatizacije","1200000"
"7520","Sredstva kupnin iz naslova privatizacije","1200000"
,"V. DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV (440+441+442)","224904950"
"44","DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV","224904950"
"440","Dana posojila","66192368"
"4401","Dana posojila javnim skladom","600000"
"4402","Dana posojila javnim podjetjem in družbam, ki so v lasti države ali občin","0"
"4404","Dana posojila privatnim podjetjem","37158418"
"4409","Plačila zapadlih poroštev","28433950"
"441","Povečanje kapitalskih deležev in finančnih naložb","152337000"
"4410","Povečanje kapitalskih deležev v javnih podjetjih in družbam, ki so v lasti države ali občin","2000000"
"4414","Povečanje kapitalskih deležev v tujino","150337000"
"442","Poraba sredstev kupnin iz naslova privatizacije","6234605"
"4420","Dana posojila iz sredstev kupnin","1260605"
"4421","Sredstva kupnin, razporejena v javne sklade in agencije","4974000"
"443","Povečanje namenskega premoženja v javnih skladih in drugih pravnih osebah javnega prava, ki imajo premoženje v svoji lasti","140977"
"4430","Povečanje  namenskega premoženja v javnih skladih","140977"
,"VI. PREJETA MINUS DANA POSOJILA IN SPREMEMBE KAPITALSKIH DELEŽEV (IV.-V.)","-220691019"
,"VII. ZADOLŽEVANJE (500+501)","3095325052"
"50","ZADOLŽEVANJE","3095325052"
,"VIII. ODPLAČILA DOLGA (550+551)","1865243812"
"55","ODPLAČILA DOLGA","1865243812"
"550","Odplačila domačega dolga","1857437723"
"5501","Odplačila kreditov poslovnim bankam","100000000"
"5503","Odplačila kreditov drugim domačim kreditodajalcem","68354277"
"5504","Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu","1689083447"
"551","Odplačila dolga v tujino","7806089"
"5510","Odplačila dolga mednarodnim finančnim institucijam","7806089"
,"IX. SPREMEMBA STANJA SREDSTEV NA RAČUNU (I.+IV.+VII.-II.-V.-VIII.)","0"
,"X. NETO ZADOLŽEVANJE (VII.-VIII.)","1230081240"
,"XI. NETO FINANCIRANJE (VI.+X.-IX.)","1009390220"
