4130,"Tekoči transferi drugim ravnem države",41020667,
4131,"Tekoči transferi v sklade socialnega zavarovanja",234585876,
4132,"Tekoči transferi v druge javne sklade in agencije",2965056,
4133,"Tekoči transferi v javne zavode in druge izvajalce javnih služb",301534311,
4134,"Tekoči transferi v državni proračun",102455,
414,"Tekoči transferi v tujino",3003156,
4140,"Tekoči transferi mednarodnim institucijam",168889,
4141,"Tekoči transferi tujim vladam in vladnim institucijam",400000,
4142,"Tekoči transferi neprofitnim organizacijam v tujini",580080,
4143,"Drugi tekoči transferi v tujino",1854187,
42,"INVESTICIJSKI ODHODKI",82963040,
420,"Nakup in gradnja osnovnih sredstev",82963040,
4200,"Nakup zgradb in prostorov",2138085,
4201,"Nakup prevoznih sredstev",1527608,
4202,"Nakup opreme",15367464,
4203,"Nakup drugih osnovnih sredstev",58973,
4204,"Novogradnje, rekonstrukcije in adaptacije",41656162,
4205,"Investicijsko vzdrževanje in obnove",12076954,
4206,"Nakup zemljišč in naravnih bogastev",1846779,
4207,"Nakup nematerialnega premoženja",189690,
4208,"Študije o izvedljivosti projektov, projektna dokumentacija, nadzor in investicijski inženiring",8064539,
4209,"Nakup blagovnih rezerv in intervencijskih zalog",36785,
43,"INVESTICIJSKI TRANSFERI",72932914,
430,"Investicijski transferi",72932914,
4300,"Investicijski transferi drugim ravnem države",16445887,
4301,"Investicijski transferi javnim skladom in agencijam",1625234,
4302,"Investicijski transferi neprofitnim organizacijam",2749384,
4303,"Investicijski transferi javnim podjetjem",37442756,
4305,"Investicijski transferi privatnim podjetjem in zasebnikom",4739151,
4306,"Investicijski transferi posameznikom",4309150,
4307,"Investicijski transfer javnim zavodom in javnim gospodarskim službam",5573644,
4308,"Investicijski transferi v tujino",47708,
"III.","PRORAČUNSKI PRESEŽEK (PRORAČUNSKI PRIMANJKLJAJ) (I. - II.)",-0,47997803
"III/1.","PRIMARNI PRESEŽEK   (PRIMANJKLJAJ) (I. - 7102) - ( II. - 403 – 404)",22838942,
"III/2.","TEKOČI PRESEŽEK   (PRIMANJKLJAJ) (70 + 71) - (40 + 41)",90010194,
"IV.","PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV (750+751+752)",26778787,
75,"PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV",26778787,
750,"Prejeta vračila danih posojil",768787,
7501,"Prejeta vračila danih posojil - od javnih skladov",768787,
751,"Prodaja kapitalskih deležev",26000000,
7510,"Sredstva, pridobljena s prodajo kapitalskih deležev v javnih podjetjih",26000000,
752,"Kupnine iz naslova privatizacije",10000,
7520,"Sredstva kupnin iz naslova privatizacije",10000,
"V.","DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV (440+441+442)",31541214,
44,"DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV",31541214,
440,"Dana posojila",5311214,
4400,"Dana posojila posameznikom",2000,
4404,"Dana posojila privatnim podjetjem in zasebnikom",5309214,
441,"Povečanje kapitalskih deležev in naložb",26220000,
4410,"Povečanje kapitalskih deležev v javnih podjetjih",21000000,
4411,"Povečanje kapitalskih deležev v finančnih institucijah",4500000,
4412,"Povečanje kapitalskih deležev v privatnih podjetjih",500000,
4414,"Povečanje kapitalskih deležev v tujino",220000,
442,"Poraba sredstev kupnin iz naslova privatizacije",10000,
4420,"Dana posojila iz sredstev kupnin",1550,
4421,"Sredstva kupnin, razporejena v javne sklade in agencije",7850,
4422,"Povečanje kapitalskih deležev države iz sredstev kupnin",600,
"VI.","VI. PREJETA MINUS DANA POSJILA IN SPREMEMBE KAPITALSKIH DELEŽEV (IV. - V.)",-4762427,
"VII.","ZADOLŽEVANJE (500+501)",190300191,
50,"ZADOLŽEVANJE",190300191,
500,"Domače zadolževanje",142600191,
5001,"Najeti krediti pri poslovnih bankah",5000000,
5004,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",137600191,
501,"Zadolževanje v tujini",47700000,
5010,"Najeti krediti pri mednarodnih finančnih institucijah",1300000,
5014,"Sredstva, pridobljena z izdajo vrednostnih papirjev v tujini",46400000,
"VIII.","ODPLAČILA DOLGA (550+551)",139539961,
55,"ODPLAČILA DOLGA",139539961,
550,"Odplačila domačega dolga",118811260,
5501,"Odplačila kreditov poslovnim bankam",20331119,
5504,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",98480141,
551,"Odplačila dolga v tujino",20728701,
5510,"Odplačila dolga mednarodnim finančnim institucijam",9721008,
5511,"Odplačila dolga tujim vladam",810139,
5512,"Odplačila dolga tujim poslovnim bankam in finančnim institucijam",7171749,
5514,"Odplačila glavnice vrednostnih papirjev, izdanih na tujih trgih",3025805,
"IX.","SPREMEMBA STANJA SREDSTEV NA RAČUNU (I.+IV.+VII.-II.-V.-VIII.) ",-2000000,
"X.","NETO  ZADOLŽEVANJE (VII.-VIII.)",50760230,
"XI.","NETO  FINANCIRANJE (VI.+X.-IX.)",47997803,
