4011,"Prispevek za zdravstveno zavarovanje",57849054,
4012,"Prispevek za zaposlovanje",559658,
4013,"Prispevek za starševsko varstvo",898361,
4015,"Premije kolektivnega dodatnega pokojninskega zavarovanja, na podlagi ZKDPZJU",15209875,
402,"Izdatki za blago in storitve",863451424,
4020,"Pisarniški in splošni material in storitve",123144142,
4021,"Posebni material in storitve",178478839,
4022,"Energija, voda, komunalne storitve in komunikacije",72716259,
4023,"Prevozni stroški in storitve",49576014,
4024,"Izdatki za službena potovanja",20553337,
4025,"Tekoče vzdrževanje",216651384,
4026,"Poslovne najemnine in zakupnine",64397203,
4027,"Kazni in odškodnine",8265613,
4029,"Drugi operativni odhodki",129668633,
403,"Plačila domačih obresti",554168224,
4031,"Plačila obresti od kreditov – poslovnim bankam",641069,
4032,"Plačila obresti od kreditov – drugim finančnim institucijam",139950,
4033,"Plačila obresti od kreditov – drugim domačim kreditodajalcem",253000,
4034,"Plačila obresti od vrednostnih papirjev izdanih na domačem trgu",553134206,
404,"Plačila tujih obresti",41922972,
4040,"Plačila obresti od kreditov – mednarodnim finančnim institucijam",1922972,
4044,"Plačila obresti od vrednostnih papirjev, izdanih na tujih trgih",40000000,
409,"Rezerve",141618710,
4090,"Splošna proračunska rezervacija",107232729,
4091,"Proračunska rezerva",28985981,
4093,"Sredstva za posebne namene",5400000,
41,"Tekoči transferi",5388766314,
410,"Subvencije",476801495,
4100,"Subvencije javnim podjetjem",63294485,
4101,"Subvencije finančnim institucijam",0,
4102,"Subvencije privatnim podjetjem in zasebnikom",413507010,
411,"Transferi posameznikom in gospodinjstvom",1421792027,
4110,"Transferi nezaposlenim",187213666,
4111,"Družinski prejemki in starševska nadomestila",599228209,
4112,"Transferi za zagotavljanje socialne varnosti",270692924,
4113,"Transferi vojnim invalidom, veteranom in žrtvam vojnega nasilja",76880000,
4117,"Štipendije",145752299,
4119,"Drugi transferi posameznikom",142024929,
412,"Transferi nepridobitnim organizacijam in ustanovam",125400367,
4120,"Tekoči transferi neprofitnim organizacijam in ustanovam",125400367,
413,"Drugi tekoči domači transferi",3335974063,
4130,"Tekoči transferi občinam",29250441,
4131,"Tekoči transferi v sklade socialnega zavarovanja",1353980671,
4132,"Tekoči transferi v javne sklade",8436559,
4133,"Tekoči transferi v javne zavode",1839416437,
4134,"Tekoči transferi v državni proračun",741628,
4135,"Tekoča plačila drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",69171775,
4136,"Tekoči transferi v javne agencije",34976551,
414,"Tekoči transferi v tujino",28798362,
4140,"Tekoči transferi mednarodnim institucijam",18008155,
4141,"Tekoči transferi tujim vladam in vladnim institucijam",15727,
4142,"Tekoči transferi neprofitnim organizacijam v tujini",1674108,
4143,"Drugi tekoči transferi v tujino",9100372,
42,"INVESTICIJSKI ODHODKI",673826478,
420,"Nakup in gradnja osnovnih sredstev",673826478,
4200,"Nakup zgradb in prostorov",8686252,
4201,"Nakup prevoznih sredstev",7616285,
4202,"Nakup opreme",68944570,
4203,"Nakup drugih osnovnih sredstev",344149,
4204,"Novogradnje, rekonstrukcije in adaptacije",361772858,
4205,"Investicijsko vzdrževanje in obnove",88452646,
4206,"Nakup zemljišč in naravnih bogastev",13492229,
4207,"Nakup nematerialnega premoženja",38481040,
4208,"Študije o izvedljivosti projektov, projektna dokumentacija, nadzor in investicijski inženiring",86036449,
43,"INVESTICIJSKI TRANSFERI",782713065,
431,"Investicijski transferi pravnim in fizičnim osebam, ki niso proračunski uporabniki",203287691,
4310,"Investicijski transferi nepridobitnim organizacijam in ustanovam",32639464,
4311,"Investicijski transferi javnim podjetjem in družbam, ki so v lasti države ali občin",11125351," "
4313,"Investicijski transferi privatnim podjetjem",115740423,
4314,"Investicijski transferi posameznikom in zasebnikom",31067603,
4315,"Investicijski transferi drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",12704323,
4316,"Investicijski transferi v tujino",10526,
432,"Investicijski transferi proračunskim uporabnikom",579425374,
