"Proračun 2014",,,,,
"24.03.2005","Zaključni račun","EPA 1500-III","RS_-2005-030-01025-OB~P001-0000.PDF","si_proracun_2003_2005_03_24_ZR.csv","si_proracun_2003_2005_03_24_ZR_sit.csv"
"30.06.2003","Rebalans proračuna","EPA 0849-III","Proracun2003_RB.html","si_proracun_2003_2003_06_30_RB.csv","si_proracun_2003_2003_06_30_RB_sit.csv"
"30.12.2002","Spremembe proračuna","EPA 0655-III","Proracun2003_SSP.html","si_proracun_2003_2002_12_30_SSP.csv","si_proracun_2003_2002_12_30_SSP_sit.csv"
"17.12.2001","Sprejeti proračun","EPA 0313-III","Proracun2003_SP.html","si_proracun_2003_2001_12_17_SP.csv","si_proracun_2003_2001_12_17_SP_sit.csv"
"Proračun 2002",,,,,
"16.08.2004","Zaključni račun","EPA 0999-III","RS_-2004-091-04140-OB~P001-0000.PDF","si_proracun_2002_2004_08_16_ZR.csv","si_proracun_2002_2004_08_16_ZR_sit.csv"
"19.07.2002","Rebalans proračuna","EPA 0552-III","RS_-2002-064-03071-OB~P001-0000.PDF","si_proracun_2002_2002_07_19_RB.csv","si_proracun_2002_2002_07_19_RB_sit.csv"
"17.12.2001","Sprejeti proračun","EPA 0312-III","Proracun2002_SP.html","si_proracun_2002_2001_12_17_SP.csv","si_proracun_2002_2001_12_17_SP_sit.csv"
"Proračun 2001",,,,,
"05.06.2003","Zaključni račun","EPA 0652-III","RS_-2003-053-02677-OB~P001-0000.PDF","si_proracun_2001_2003_06_05_ZR_eur.csv","si_proracun_2001_2003_06_05_ZR_sit.csv"
"04.05.2001","Sprejeti proračun","EPA 0132-III","Proracun2001_SP.html","si_proracun_2001_2001_05_04_SP.csv","si_proracun_2001_2001_05_04_SP_sit.csv"
"Proračun 2000",,,,,
"11.03.2003","Zaključni račun","EPA 0455-III","RS_-2003-025-00972-OB~P001-0000.PDF","si_proracun_2000_2003_03_11_ZR.csv","si_proracun_2000_2003_03_11_ZR_sit.csv"
"01.02.2000","Sprejeti proračun","EPA 0965-II","Proracun2000_SP.html","si_proracun_2000_2000_02_01_SP.csv","si_proracun_2000_2000_02_01_SP_sit.csv"
