"A","BILANCA ODHODKOV","",""
"01011501","Spremljanje položaja žensk in uresničevanje njihovih pravic","639280 639280 536573 83,9 83,9",""
"1516","Urad za narodnosti vlade Republike Slovenije","4983789 4983789 4932877 99,0 99,0",""
"18","KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","4983789 4983789 4932877 99,0 99,0",""
"1804","Podpora posebnim skupinam","4983789 4983789 4932877 99,0 99,0",""
"18041501","Podpora narodnostnim skupnostim","4983789 4983789 4932877 99,0 99,0",""
"1518","Urad vlade za komuniciranje","5706400 5710637 5514728 96,6 96,6",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","5706400 5710637 5514728 96,6 96,6",""
"0403","Druge skupne administrativne službe","5706400 5710637 5514728 96,6 96,6",""
"04031507","Obveščanje domače in tuje javnosti","5706400 5710637 5514728 96,6 96,6",""
"1526","Urad vlade za verske skupnosti","2787965 2788045 2706453 97,1 97,1",""
"18","KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","2787965 2788045 2706453 97,1 97,1",""
"1804","Podpora posebnim skupinam","2787965 2788045 2706453 97,1 97,1",""
"18041503","Podpora duhovnikom in verskim skupnostim","2787965 2788045 2706453 97,1 97,1",""
"1535","Urad za varovanje tajnih podatkov","575348 575348 569866 99,1 99,1",""
"07","OBRAMBA IN UKREPI OB IZREDNIH DOGODKIH","575348 575348 569866 99,1 99,1",""
"0701","Splošne in skupne funkcije","575348 575348 569866 99,1 99,1",""
"07011501","Varovanje tajnih podatkov","575348 575348 569866 99,1 99,1",""
"1538","Služba Vlade Republike Slovenije za razvoj in evropske zadeve","19141073 16745820 12283762 64,2 73,4",""
"02","EKONOMSKA IN FISKALNA ADMINISTRACIJA","1321194 1321194 1317303 99,7 99,7",""
"0201","Makro-ekonomsko planiranje, spremljanje in nadzor","1321194 1321194 1317303 99,7 99,7",""
"02011502","Podlage ekonomske in razvojne politike","1321194 1321194 1317303 99,7 99,7",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","12485936 10260683 5963645 47,8 58,1",""
"0302","Mednarodno sodelovanje in udeležba","12485936 10260683 5963645 47,8 58,1",""
"03021502","Koordinacija aktivnosti v procesu vključevanja in delovanja v EU","644855 887983 477120 74,0 53,7",""
"03021503","Izvajanje finančnih mehanizmov","11841081 9372700 5486525 46,3 58,5",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","5333943 5163943 5002814 93,8 96,9",""
"0403","Druge skupne administrativne službe","5333943 5163943 5002814 93,8 96,9",""
"04031513","Koordinacija na področju razvoja in evropskih zadev","5333943 5163943 5002814 93,8 96,9",""
"1536","Služba Vlade RS za lokalno samoupravo in regionalno politiko","214234567 215335729 134124669 62,6 62,3",""
"06","LOKALNA SAMOUPRAVA","73184267 74285428 63333024 86,5 85,3",""
"0601","Delovanje na področju lokalne samouprave ter koordinacija vladne in lokalne ravni","30726289 29786450 19965046 65,0 67,0",""
"06011504","Vzpostavitev in delovanje sistema regionalne in strukturne politike","8181988 8183394 7836112 95,8 95,8",""
"06011506","EU razvojne spodbude","13466109 12524865 5661955 42,1 45,2",""
"06011508","Posebni ukrepi regionalne politike","9078192 9078192 6466979 71,2 71,2",""
"0602","Sofinanciranje dejavnosti občin, ožjih delov občin in zvez občin","42457978 44498978 43367978 102,1 97,5",""
"06021501","Dodatna sredstva za sofinanciranje investicij občin","42457978 44498978 43367978 102,1 97,5",""
"13","PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","46060998 46060998 25924436 56,3 56,3",""
"1302","Cestni promet in infrastruktura","46060998 46060998 25924436 56,3 56,3",""
"13021501","Gradnja in investicijsko vzdrževanje lokalnih cest in javnih poti","46060998 46060998 25924436 56,3 56,3",""
"14","GOSPODARSTVO","29449757 29449757 13817568 46,9 46,9",""
"1403","Promocija Slovenije, razvoj turizma in gostinstva","29449757 29449757 13817568 46,9 46,9",""
"14031502","Spodbujanje turizma v turističnih območjih in območjih s posebnimi varstvenimi režimi","29449757 29449757 13817568 46,9 46,9",""
"16","PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","60315778 59865578 29282548 48,6 48,9",""
"1603","Komunalna dejavnost","52551800 52101600 25235250 48,0 48,4",""
"16031501","Sofinanciranje lokalne komunalne infrastrukture SPU/PU/PPP/GPR/PPR","52551800 52101600 25235250 48,0 48,4",""
"1606","Upravljanje in razpolaganje z zemljišči (javno dobro, kmetijska, gozdna in stavbna zemljišča)","7763977 7763977 4047298 52,1 52,1",""
"16061501","Nakup in komunalno opremljanje stavbnih zemljišč","7763977 7763977 4047298 52,1 52,1",""
"20","SOCIALNO VARSTVO","5223768 5673968 1767094 33,8 31,1",""
"2004","Izvajanje programov socialnega varstva","5223768 5673968 1767094 33,8 31,1",""
"20041501","Sofinanciranje lokalne socialne infrastrukture","5223768 5673968 1767094 33,8 31,1",""
"1524","Slovenska obveščevalno - varnostna agencija","14760454 15308928 14494695 98,2 94,7",""
"08","NOTRANJE ZADEVE IN VARNOST","14760454 15308928 14494695 98,2 94,7",""
"0803","Obveščevalno varnostna dejavnost","14760454 15308928 14494695 98,2 94,7",""
"08031501","Obveščevalno varnostna dejavnost","14760454 15308928 14494695 98,2 94,7",""
"1539","Služba Vlade Republike Slovenije za podnebne spremembe","654108 663408 642422 98,2 96,8",""
"15","VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","654108 663408 642422 98,2 96,8",""
"1501","Okoljevarstvena politika in splošne administrativne zadeve","654108 663408 642422 98,2 96,8",""
"15011501","Regulatorni okvir, splošna administracija in oblikovanje politike","654108 663408 642422 98,2 96,8",""
"1537","Urad Vlade RS za Slovence v zamejstvu in po svetu","10500315 11000315 10982225 104,6 99,8",""
"18","KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","10500315 11000315 10982225 104,6 99,8",""
"1804","Podpora posebnim skupinam","10500315 11000315 10982225 104,6 99,8",""
"18041504","Podpora Slovencem v zamejstvu in tujini","10500315 11000315 10982225 104,6 99,8",""
"1517","Služba vlade za zakonodajo","2779235 2782520 2454861 88,3 88,2",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","2779235 2782520 2454861 88,3 88,2",""
"0403","Druge skupne administrativne službe","2779235 2782520 2454861 88,3 88,2",""
"04031506","Priprava in nadzor zakonov ter drugih pravnih aktov","2779235 2782520 2454861 88,3 88,2",""
"1522","Statistični urad Republike Slovenije","14317935 17235284 14997285 104,7 87,0",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","14317935 17235284 14997285 104,7 87,0",""
