"A","BILANCA ODHODKOV","",""
"1201","Urejanje sistema na področju pridobivanja in distribucije energetskih surovin","1560000 860000 334398 21,4 38,9",""
"12012101","Urejanje področja pridobivanja in distribucije energetskih surovin","1560000 860000 334398 21,4 38,9",""
"1202","Urejanje, nadzor in oskrba na področju proizvodnje in distribucije električne energije","400830 414646 138373 34,5 33,4",""
"12022102","Intervencije in programi na področju proizvodnje in distribucije električne energije","400830 414646 138373 34,5 33,4",""
"1204","Urejanje, nadzor in oskrba na področju predelave in distribucije nafte in zemeljskega plina","425000 425000 425000 100,0 100,0",""
"12042101","Programi podpor na področju predelave in distribucije nafte in zemeljskega plina","425000 425000 425000 100,0 100,0",""
"1205","Urejanje in nadzor na področju rudarstva (vključuje tudi premogovništvo)","16836509 16836509 16522769 98,1 98,1",""
"12052102","Oblikovanje strategije na področju rudarstva","996509 996509 996509 100,0 100,0",""
"12052105","Programi zapiranja premogovnikov","14000000 14000000 13878183 99,1 99,1",""
"12052106","Programi zapiranja rudnikov","1840000 1840000 1648077 89,6 89,6",""
"1206","Urejanje področja učinkovite rabe in obnovljivih virov energije","15464744 14914744 5478796 35,4 36,7",""
"12062105","Spodbujanje učinkovite rabe in obnovljivih virov energije","15464744 14914744 5478796 35,4 36,7",""
"14","GOSPODARSTVO","121639497 110474938 93941145 77,2 85,0",""
"1401","Urejanje in nadzor na področju gospodarstva in varstva potrošnikov","16483482 15866589 14899543 90,4 93,9",""
"14012101","Urejanje na področju gospodarstva","11955733 11973361 11412996 95,5 95,3",""
"14012103","Mednarodno sodelovanje in udeležba","2515749 1881228 1474547 58,6 78,4",""
"14012107","Nacionalni meroslovni sistem","2012000 2012000 2012000 100,0 100,0",""
"1402","Pospeševanje in podpora gospodarski dejavnosti","58813824 48266158 40988624 69,7 84,9",""
"14022101","Programi povečevanja konkurenčnosti","28811162 23494271 20674411 71,8 88,0",""
"14022102","Prestrukturiranje podjetij","3860000 1588226 1250995 32,4 78,8",""
"14022103","Spodbujanje razvoja malega gospodarstva","26142662 23183662 19063218 72,9 82,2",""
"1403","Promocija Slovenije, razvoj turizma in gostinstva","46342191 46342191 38052978 82,1 82,1",""
"14032101","Spodbujanje razvoja turizma in gostinstva","46342191 46342191 38052978 82,1 82,1",""
"15","VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","1470819 1470819 1470819 100,0 100,0",""
"1503","Upravljanje z radioaktivnimi odpadki","1470819 1470819 1470819 100,0 100,0",""
"15032101","Ravnanje z radioaktivnimi in drugimi nevarnimi odpadki","1470819 1470819 1470819 100,0 100,0",""
"23","INTERVENCIJSKI PROGRAMI IN OBVEZNOSTI","9422874 9359634 9330448 99,0 99,7",""
"2301","Blagovne rezerve","9422874 9359634 9330448 99,0 99,7",""
"23012101","Oblikovanje in vzdrževanje blagovnih rezerv","9422874 9359634 9330448 99,0 99,7",""
"2120","Urad RS za varstvo potrošnikov","901865 901865 843985 93,6 93,6",""
"14","GOSPODARSTVO","901865 901865 843985 93,6 93,6",""
"1401","Urejanje in nadzor na področju gospodarstva in varstva potrošnikov","901865 901865 843985 93,6 93,6",""
"14012105","Varstvo potrošnikov","901865 901865 843985 93,6 93,6",""
"2121","Urad RS za varstvo konkurence","981877 981877 844537 86,0 86,0",""
"14","GOSPODARSTVO","981877 981877 844537 86,0 86,0",""
"1401","Urejanje in nadzor na področju gospodarstva in varstva potrošnikov","981877 981877 844537 86,0 86,0",""
"14012104","Varstvo konkurence","981877 981877 844537 86,0 86,0",""
"2123","Tržni inšpektorat RS","5681227 5680654 5535190 97,4 97,4",""
"14","GOSPODARSTVO","5681227 5680654 5535190 97,4 97,4",""
"1401","Urejanje in nadzor na področju gospodarstva in varstva potrošnikov","5681227 5680654 5535190 97,4 97,4",""
"14012106","Tržni nadzor (cene in kakovost)","5681227 5680654 5535190 97,4 97,4",""
"2126","Urad RS za intelektualno lastnino","2229398 2530741 2219406 99,6 87,7",""
"14","GOSPODARSTVO","2229398 2530741 2219406 99,6 87,7",""
"1401","Urejanje in nadzor na področju gospodarstva in varstva potrošnikov","2229398 2530741 2219406 99,6 87,7",""
"14012108","Zaščita intelektualne lastnine SPU/PU/PPP/GPR/PPR","2229398 2530741 2219406 99,6 87,7",""
"2128","Inšpektorat Republike Slovenije za energetiko in rudarstvo","1667357 1684345 1549874 93,0 92,0",""
"12","PRIDOBIVANJE IN DISTRIBUCIJA ENERGETSKIH SUROVIN","1667357 1684345 1549874 93,0 92,0",""
"1201","Urejanje sistema na področju pridobivanja in distribucije energetskih surovin","1667357 1684345 1549874 93,0 92,0",""
"12012105","Nadzor na področju energetike in rudarstva","1667357 1684345 1549874 93,0 92,0",""
"2311","Ministrstvo za kmetijstvo, gozdarstvo in prehrano","433549478 433891419 369953037 85,3 85,3",""
"11","KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","433499478 433841419 369931433 85,3 85,3",""
"1101","Urejanje kmetijstva, gozdarstva in ribištva","14198242 14645249 13962984 98,3 95,3",""
"11012301","Urejanje kmetijstva, gozdarstva in ribištva","10573647 11012254 10777360 101,9 97,9",""
"11012302","Spremljajoči ukrepi prilagajanja EU","1503914 1502314 1378729 91,7 91,8",""
"11012303","Mednarodno razvojno sodelovanje in promocija kmetijstva","2120681 2130681 1806894 85,2 84,8",""
"1102","Program reforme kmetijstva in živilstva","348127012 348098947 294320640 84,5 84,6",""
"11022301","Ukrepi za stabilizacijo trga (tržno-cenovna politika)","157869098 157869098 148914952 94,3 94,3",""
"11022302","Program razvoja podeželja","186202645 186202645 142661178 76,6 76,6",""
"11022303","Strukturni ukrepi v kmetijstvu in živilstvu","4055269 4027204 2744510 67,7 68,2",""
"1103","Splošne storitve v kmetijstvu","38245053 38168053 30978643 81,0 81,2",""
"11032301","Delovanje služb in javnih zavodov","21250590 21250590 20964543 98,7 98,7",""
"11032303","Varstvo in registracija sort rastlin","1589701 1589701 1562468 98,3 98,3",""
"11032304","Strokovne in svetovalne naloge, izobraževanje in raziskovanje","1645673 1645673 1611176 97,9 97,9",""
"11032305","Kakovost in nadzor","162532 85532 84460 52,0 98,8",""
"11032306","Zmanjševanje škod v kmetijstvu","13596557 13596557 6755995 49,7 49,7",""
"1104","Gozdarstvo","27365329 27365329 27079813 99,0 99,0",""
"11042301","Delovanje služb in javnih zavodov","22656889 22656889 22654482 100,0 100,0",""
"11042302","Program obnove, nege in varstva gozdov","2678431 2678431 2476784 92,5 92,5",""
"11042303","Vzdrževanje in gradnja gozdnih cest","1273061 1273061 1257100 98,8 98,8",""
"11042304","Spremljajoči ukrepi v gozdarstvu","756948 756948 691447 91,4 91,4",""
"1105","Ribištvo","5563842 5563842 3589352 64,5 64,5",""
"11052301","Program razvoja ribištva","5563842 5563842 3589352 64,5 64,5",""
"23","INTERVENCIJSKI PROGRAMI IN OBVEZNOSTI","50000 50000 21604 43,2 43,2",""
"2302","Posebna proračunska rezerva in programi pomoči v primerih nesreč","50000 50000 21604 43,2 43,2",""
"23022301","Posebni programi pomoči v primerih nesreč","50000 50000 21604 43,2 43,2",""
"2312","Veterinarska uprava RS","33561327 33499717 33231455 99,0 99,2",""
"11","KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","33561327 33499717 33231455 99,0 99,2",""
"1101","Urejanje kmetijstva, gozdarstva in ribištva","13083934 12995324 12756379 97,5 98,2",""
"11012301","Urejanje kmetijstva, gozdarstva in ribištva SPU/PU/PPP/GPR/PPR","13083934 12995324 12756379 97,5 98,2",""
"1103","Splošne storitve v kmetijstvu","20477393 20504393 20475076 100,0 99,9",""
"11032301","Delovanje služb in javnih zavodov","6319751 6319751 6310370 99,9 99,9",""
"11032302","Zdravstveno varstvo rastlin in živali","13425877 13425877 13415320 99,9 99,9",""
"11032305","Kakovost in nadzor","731765 758765 749386 102,4 98,8",""
"2314","Inšpektorat RS za kmetijstvo, gozdarstvo in hrano","7927504 7933773 7841800 98,9 98,8",""
"11","KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","7927504 7933773 7841800 98,9 98,8",""
"1101","Urejanje kmetijstva, gozdarstva in ribištva","6827504 6833773 6764635 99,1 99,0",""
"11012301","Urejanje kmetijstva, gozdarstva in ribištva","6827504 6833773 6764635 99,1 99,0",""
"1103","Splošne storitve v kmetijstvu","1100000 1100000 1077165 97,9 97,9",""
"11032305","Kakovost in nadzor","1100000 1100000 1077165 97,9 97,9",""
"2318","Agencija RS za kmetijske trge in razvoj podeželja","14001096 13686022 13353756 95,4 97,6",""
"11","KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","14001096 13686022 13353756 95,4 97,6",""
"1101","Urejanje kmetijstva, gozdarstva in ribištva","13981096 13666022 13353756 95,5 97,7",""
"11012301","Urejanje kmetijstva, gozdarstva in ribištva","13981096 13666022 13353756 95,5 97,7",""
"1102","Program reforme kmetijstva in živilstva","20000 20000 0 0,0 0,0",""
"11022303","Strukturni ukrepi v kmetijstvu in živilstvu","20000 20000 0 0,0 0,0",""
"2321","Fitosanitarna uprava RS","3588499 3603188 3514115 97,9 97,5",""
"11","KMETIJSTVO, GOZDARSTVO IN RIBIŠTVO","3588499 3603188 3514115 97,9 97,5",""
"1101","Urejanje kmetijstva, gozdarstva in ribištva","1261609 1234309 1168465 92,6 94,7",""
"11012301","Urejanje kmetijstva, gozdarstva in ribištva","1261609 1234309 1168465 92,6 94,7",""
"1103","Splošne storitve v kmetijstvu","2326890 2368879 2345650 100,8 99,0",""
"11032302","Zdravstveno varstvo rastlin in živali","1540036 1585036 1571554 102,1 99,2",""
"11032303","Varstvo in registracija sort rastlin","786854 783843 774096 98,4 98,8",""
"2411","Ministrstvo za promet","124171613 121947334 80435128 64,8 66,0",""
"13","PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","124171613 121947334 80435128 64,8 66,0",""
"1301","Urejanje in nadzor na področju prometa","20614554 18972794 17287549 83,9 91,1",""
"13012401","Administracija","9934459 9931423 9498447 95,6 95,6",""
"13012403","Urejanje in nadzor na področju prometa","10680094 9041372 7789102 72,9 86,2",""
"1302","Cestni promet in infrastruktura","92722469 92722469 54918462 59,2 59,2",""
"13022402","Sredstva za izgradnjo avtocest","92722469 92722469 54918462 59,2 59,2",""
"1303","Železniški promet in infrastruktura","1915004 1415004 1270523 66,4 89,8",""
"13032406","Javne službe v železniškem prometu","1915004 1415004 1270523 66,4 89,8",""
"1304","Letalski promet in infrastruktura","8775748 8693228 6815594 77,7 78,4",""
"13042404","Letališča in letališka infrastruktura","8775748 8693228 6815594 77,7 78,4",""
"1305","Vodni promet in infrastruktura","143839 143839 143000 99,4 99,4",""
"13052404","Hidrografija in kartografija SPU/PU/PPP/GPR/PPR","143839 143839 143000 99,4 99,4",""
"2412","Uprava RS za pomorstvo","4045795 5548905 2659612 65,7 47,9",""
"13","PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","4045795 5548905 2659612 65,7 47,9",""
"1305","Vodni promet in infrastruktura","4045795 5548905 2659612 65,7 47,9",""
"13052401","Administracija","2143840 1819414 1774062 82,8 97,5",""
"13052402","Nadzor in varnost pomorskega prometa","966800 919739 874169 90,4 95,1",""
"13052403","Pristaniška infrastruktura","935155 2809752 11380 1,2 0,4",""
"2415","Direkcija RS za ceste","192390108 193949645 189315208 98,4 97,6",""
"13","PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","192390108 193949645 189315208 98,4 97,6",""
"1301","Urejanje in nadzor na področju prometa","19159218 19259906 19126332 99,8 99,3",""
"13012403","Urejanje in nadzor na področju prometa","19159218 19259906 19126332 99,8 99,3",""
"1302","Cestni promet in infrastruktura","173230890 174689739 170188875 98,2 97,4",""
"13022401","Administracija","4668575 4976437 4885027 104,6 98,2",""
"13022403","Upravljanje in tekoče vzdrževanje državnih cest","89808875 91249194 90549605 100,8 99,2",""
"13022404","Investicijsko vzdrževanje in gradnja državnih cest","78753440 78464108 74754243 94,9 95,3",""
"2418","Prometni inšpektorat RS","2537363 2425060 2214090 87,3 91,3",""
"13","PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","2537363 2425060 2214090 87,3 91,3",""
"1301","Urejanje in nadzor na področju prometa","2537363 2425060 2214090 87,3 91,3",""
"13012402","Inšpekcijske službe","2537363 2425060 2214090 87,3 91,3",""
"2423","Direkcija za vodenje investicij JŽI","319452739 314117968 279255029 87,4 88,9",""
"13","PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","319452739 314117968 279255029 87,4 88,9",""
"1303","Železniški promet in infrastruktura","319452739 314117968 279255029 87,4 88,9",""
"13032401","Administracija","1701796 1639796 1419903 83,4 86,6",""
"13032406","Javne službe v železniškem prometu","146217345 148412474 146799437 100,4 98,9",""
"13032407","Investicijske dejavnosti na železniški infrastrukturi","171533599 164065698 131035688 76,4 79,9",""
"2511","Ministrstvo za okolje in prostor","201225116 204077237 125233973 62,2 61,4",""
"15","VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","173310199 176101849 99498448 57,4 56,5",""
"1501","Okoljevarstvena politika in splošne administrativne zadeve","15405355 15414876 14644385 95,1 95,0",""
"15012501","Regulatorni okvir, splošna administracija in oblikovanje politike","15405355 15414876 14644385 95,1 95,0",""
"1502","Zmanjševanje onesnaženja, kontrola in nadzor","121526271 116716157 58076969 47,8 49,8",""
"15022501","Izboljšanje stanja okolja","121526271 116716157 58076969 47,8 49,8",""
"1503","Upravljanje z radioaktivnimi odpadki","2991614 2991614 2991614 100,0 100,0",""
"15032501","Nadzor in kontrola sevanj","2991614 2991614 2991614 100,0 100,0",""
"1504","Upravljanje in nadzor vodnih virov","25016096 32591798 15618123 62,4 47,9",""
"15042501","Načrtovanje, varstvo in urejanje voda","25016096 32591798 15618123 62,4 47,9",""
"1505","Pomoč in podpora ohranjanju narave","8370863 8387404 8167357 97,6 97,4",""
"15052501","Ohranjanje biotske raznovrstnosti in varstvo naravnih vrednot","8370863 8387404 8167357 97,6 97,4",""
"16","PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","7259646 8535718 8359553 115,2 97,9",""
"1601","Prostorska politika in splošne administrativne zadeve","156920 97020 85595 54,6 88,2",""
"16012502","Regulatorni okvir, splošna administracija in oblikovanje politike","156920 97020 85595 54,6 88,2",""
"1602","Prostorsko in podeželsko planiranje in administracija","398178 378378 276015 69,3 73,0",""
"16022505","Prostorsko načrtovanje","398178 378378 276015 69,3 73,0",""
"1605","Spodbujanje stanovanjske gradnje","6704548 8060320 7997942 119,3 99,2",""
"16052501","Spodbujanje stanovanjske gradnje","6704548 8060320 7997942 119,3 99,2",""
"23","INTERVENCIJSKI PROGRAMI IN OBVEZNOSTI","20655271 19439670 17375973 84,1 89,4",""
"2302","Posebna proračunska rezerva in programi pomoči v primerih nesreč","20655271 19439670 17375973 84,1 89,4",""
"23022501","Posebni programi v primerih nesreč","20655271 19439670 17375973 84,1 89,4",""
"2512","Geodetska uprava RS","19709256 21633605 20923560 106,2 96,7",""
"16","PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","19709256 21633605 20923560 106,2 96,7",""
"1602","Prostorsko in podeželsko planiranje in administracija","19709256 21633605 20923560 106,2 96,7",""
"16022503","Urejanje in nadzor na področju geodetskih evidenc","19709256 21633605 20923560 106,2 96,7",""
"2513","Uprava RS za jedrsko varnost","2765870 2757965 2702720 97,7 98,0",""
"15","VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","2765870 2757965 2702720 97,7 98,0",""
"1503","Upravljanje z radioaktivnimi odpadki","2765870 2757965 2702720 97,7 98,0",""
"15032501","Nadzor in kontrola sevanj","2765870 2757965 2702720 97,7 98,0",""
"2522","Inšpektorat RS za okolje in prostor","7323939 7562167 7385087 100,8 97,7",""
"16","PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","7323939 7562167 7385087 100,8 97,7",""
"1602","Prostorsko in podeželsko planiranje in administracija","7323939 7562167 7385087 100,8 97,7",""
"16022504","Nadzor nad prostorom, onesnaževanjem okolja in narave","7323939 7562167 7385087 100,8 97,7",""
"2523","Agencija RS za okolje","40629203 42635336 38937591 95,8 91,3",""
"15","VAROVANJE OKOLJA IN NARAVNE DEDIŠČINE","40439505 42443926 38814400 96,0 91,5",""
"1501","Okoljevarstvena politika in splošne administrativne zadeve","18685139 18237122 18042503 96,6 98,9",""
"15012501","Regulatorni okvir, splošna administracija in oblikovanje politike","18685139 18237122 18042503 96,6 98,9",""
"1502","Zmanjševanje onesnaženja, kontrola in nadzor","379000 379000 231781 61,2 61,2",""
"15022501","Izboljšanje stanja okolja","379000 379000 231781 61,2 61,2",""
"1504","Upravljanje in nadzor vodnih virov","13843706 15923706 15788138 114,1 99,2",""
"15042501","Načrtovanje, varstvo in urejanje voda","13843706 15923706 15788138 114,1 99,2",""
"1505","Pomoč in podpora ohranjanju narave","866256 866256 812769 93,8 93,8",""
"15052501","Ohranjanje biotske raznovrstnosti in varstvo naravnih vrednot","866256 866256 812769 93,8 93,8",""
"1506","Splošne okoljevarstvene storitve","6665404 7037843 3939210 59,1 56,0",""
"15062501","Informacijski sistem varstva okolja in narave","6665404 7037843 3939210 59,1 56,0",""
"16","PROSTORSKO PLANIRANJE IN STANOVANJSKO KOMUNALNA DEJAVNOST","189698 191410 123191 64,9 64,4",""
"1604","Gradbena regulativa in nadzor","189698 191410 123191 64,9 64,4",""
"16042501","Priprava regulative za potresno odporno gradnjo","189698 191410 123191 64,9 64,4",""
"2611","Ministrstvo za delo, družino in socialne zadeve","1757179307 1752944957 1640194221 93,3 93,6",""
"10","TRG DELA IN DELOVNI POGOJI","516750715 517688443 447942040 86,7 86,5",""
"1001","Urejanje in nadzor sistema zaposlovanja in brezposelnosti","36890250 36827978 35183002 95,4 95,5",""
"10012601","Urejanje in nadzor sistema zaposlovanja in brezposelnosti","3093156 3093156 1890688 61,1 61,1",""
"10012603","Varnost in zdravje pri delu","336061 336061 163525 48,7 48,7",""
"10012604","Javne službe za zaposlovanje in brezposelne","33461032 33398760 33128789 99,0 99,2",""
"1002","Varstvo brezposelnih","243530191 244530191 239785238 98,5 98,1",""
"10022601","Prejemki in pravice brezposelnih","243530191 244530191 239785238 98,5 98,1",""
"1003","Aktivna politika zaposlovanja","173702780 173702780 131049987 75,4 75,4",""
"10032605","Povečanje zaposljivosti","113259677 113259677 92814078 82,0 82,0",""
"10032606","Zagotavljanje socialne vključenosti","13531509 13531509 8964963 66,3 66,3",""
"10032607","Kreiranje novih delovnih mest in povečanje prilagodljivosti podjetij","46911593 46911593 29270946 62,4 62,4",""
"1004","Interventni ukrepi","62627494 62627494 41923813 66,9 66,9",""
"10042601","Interventni ukrepi","62627494 62627494 41923813 66,9 66,9",""
"18","KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","3187040 3187040 2201337 69,1 69,1",""
"1802","Ohranjanje kulturne dediščine","1726846 1726846 741143 42,9 42,9",""
"18022601","Urejanje in nadzor na področju kulturne dediščine","4000 4000 1838 45,9 45,9",""
"18022602","Ohranjanje, obnova in gradnja spomenikov","1722846 1722846 739306 42,9 42,9",""
"1804","Podpora posebnim skupinam","1460194 1460194 1460194 100,0 100,0",""
"18042601","Programi veteranskih organizacij","1460194 1460194 1460194 100,0 100,0",""
"19","IZOBRAŽEVANJE","134071970 134071970 122296704 91,2 91,2",""
"1901","Urejanje izobraževalnega sistema","346349 346349 337397 97,4 97,4",""
"19012601","Urejanje izobraževalnega sistema","346349 346349 337397 97,4 97,4",""
"1905","Drugi izobraževalni programi","1151100 1151100 1128859 98,1 98,1",""
"19052601","Izobraževanje odraslih","1151100 1151100 1128859 98,1 98,1",""
"1906","Pomoči šolajočim","132574521 132574521 120830447 91,1 91,1",""
"19062601","Študijske pomoči","13820838 13820838 13688847 99,0 99,0",""
"19062602","Štipendije","118753683 118753683 107141600 90,2 90,2",""
"20","SOCIALNO VARSTVO","1103169582 1097997504 1067754140 96,8 97,3",""
"2001","Urejanje in nadzor sistema socialnega varstva","17977288 17629671 14118189 78,5 80,1",""
"20012601","Urejanje in nadzor sistema socialnega varstva","17977288 17629671 14118189 78,5 80,1",""
"2002","Varstvo otrok in družine","712380044 705640044 691540656 97,1 98,0",""
"20022601","Družinski prejemki in starševska nadomestila","701426475 694426475 680712142 97,1 98,0",""
"20022603","Rejništvo","7251123 7511123 7466571 103,0 99,4",""
"20022605","Drugi programi v pomoč družini","1793023 1793023 1452520 81,0 81,0",""
"20022606","Nadomestila preživnin","1909423 1909423 1909423 100,0 100,0",""
"2003","Posebni programi pomoči prebivalstvu","1394666 1394666 515638 37,0 37,0",""
"20032602","Socialno varstvo in odškodnine zaradi prestrukturiranja proizvodnje","1394666 1394666 515638 37,0 37,0",""
"2004","Izvajanje programov socialnega varstva","371417584 373333123 361579657 97,4 96,9",""
"20042601","Centri za socialno delo","44961735 44964245 43199131 96,1 96,1",""
"20042602","Socialno varstvo invalidov","47882819 47882819 42254804 88,3 88,3",""
"20042603","Socialno varstvo starih","6314962 6314962 6036202 95,6 95,6",""
"20042604","Socialno varstvo materialno ogroženih","178058925 179971954 178555083 100,3 99,2",""
"20042606","Socialno varstvo žrtev vojnega nasilja","81226449 81226449 79460569 97,8 97,8",""
"20042607","Socialno varstvo zasvojenih","334500 334500 21156 6,3 6,3",""
"20042608","Javni in razvojni programi socialnega varstva","9780000 9780000 9714919 99,3 99,3",""
"20042609","Varstvo invalidov","2858194 2858194 2337792 81,8 81,8",""
"2613","Inšpektorat RS za delo","4453584 4599756 4539153 101,9 98,7",""
"10","TRG DELA IN DELOVNI POGOJI","4453584 4599756 4539153 101,9 98,7",""
"1001","Urejanje in nadzor sistema zaposlovanja in brezposelnosti","4453584 4599756 4539153 101,9 98,7",""
"10012602","Inšpektorat za delo","4450384 4595206 4535241 101,9 98,7",""
"10012603","Varnost in zdravje pri delu","3200 4549 3911 122,2 86,0",""
"2711","Ministrstvo za zdravje","74343559 79021684 74118557 99,7 93,8",""
"17","ZDRAVSTVENO VARSTVO","74343559 79021684 74118557 99,7 93,8",""
"1701","Urejanje in nadzor sistema zdravstva","22971659 26154771 22349069 97,3 85,5",""
"17012701","Urejanje in nadzor sistema zdravstva","22215259 25398371 21624401 97,3 85,1",""
"17012703","Mednarodno sodelovanje na področju zdravstva","756400 756400 724668 95,8 95,8",""
"1702","Primarno zdravstvo","1505465 1505465 1488889 98,9 98,9",""
"17022701","Investicijska vlaganja v primarno zdravstvo","1505465 1505465 1488889 98,9 98,9",""
"1703","Bolnišnično zdravstvo","34066714 35599294 35221814 103,4 98,9",""
"17032701","Investicijska vlaganja v bolnišnice","34066714 35599294 35221814 103,4 98,9",""
"1706","Preventivni programi zdravstvenega varstva","10035218 10048650 9943878 99,1 99,0",""
"17062702","Ekološka in kemijska varnost na področju zdravstva","1266294 1290152 1260109 99,5 97,7",""
"17062704","Programi varovanja in krepitve zdravja, zmanjševanja razlik v zdravju in razvojno raziskovalna dejavnost","1234809 1224383 1149654 93,1 93,9",""
"17062705","Izvajanje javne službe na področju javnega zdravja","7534115 7534115 7534115 100,0 100,0",""
"1707","Drugi programi na področju zdravstva","5764503 5713503 5114907 88,7 89,5",""
"17072701","Zbiranje krvi in organov za presajanje","1885213 1885213 1884159 99,9 99,9",""
"17072702","Nujno zdravstveno varstvo","1139597 1088597 691055 60,6 63,5",""
"17072709","Ukrepi za izboljšanje zdravljenja- biološka zdravila","2739693 2739693 2539693 92,7 92,7",""
"2713","Zdravstveni inšpektorat RS","6565372 6565742 6316351 96,2 96,2",""
"17","ZDRAVSTVENO VARSTVO","6565372 6565742 6316351 96,2 96,2",""
"1701","Urejanje in nadzor sistema zdravstva","5635123 5635493 5445088 96,6 96,6",""
"17012701","Urejanje in nadzor sistema zdravstva","5635123 5635493 5445088 96,6 96,6",""
"1706","Preventivni programi zdravstvenega varstva","930249 930249 871263 93,7 93,7",""
"17062702","Ekološka in kemijska varnost na področju zdravstva","930249 930249 871263 93,7 93,7",""
"2715","Urad RS za kemikalije","1942453 1791006 1545911 79,6 86,3",""
"17","ZDRAVSTVENO VARSTVO","1942453 1791006 1545911 79,6 86,3",""
"1701","Urejanje in nadzor sistema zdravstva","1317696 1303819 1196000 90,8 91,7",""
"17012701","Urejanje in nadzor sistema zdravstva","1317696 1303819 1196000 90,8 91,7",""
"1706","Preventivni programi zdravstvenega varstva","624757 487187 349911 56,0 71,8",""
"17062702","Ekološka in kemijska varnost na področju zdravstva","624757 487187 349911 56,0 71,8",""
"2717","Uprava RS za varstvo pred sevanji","423978 423978 415792 98,1 98,1",""
"17","ZDRAVSTVENO VARSTVO","423978 423978 415792 98,1 98,1",""
"1701","Urejanje in nadzor sistema zdravstva","298082 298082 289963 97,3 97,3",""
"17012701","Urejanje in nadzor sistema zdravstva","298082 298082 289963 97,3 97,3",""
"1706","Preventivni programi zdravstvenega varstva","125896 125896 125828 100,0 100,0",""
"17062702","Ekološka in kemijska varnost na področju zdravstva","125896 125896 125828 100,0 100,0",""
"3111","Ministrstvo za javno upravo","71858791 74072686 61444797 85,5 83,0",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","69044320 71273425 58835178 85,2 82,6",""
"0401","Kadrovska uprava","10728 10728 10412 97,1 97,1",""
"04013101","Vodenje kadrovskih zadev","10728 10728 10412 97,1 97,1",""
"0402","Informatizacija uprave","36293682 36522414 30273282 83,4 82,9",""
"04023101","Izgradnja in delovanje centralne informacijske infrastrukture in telekomunikacijske tehnologije","36293682 36522414 30273282 83,4 82,9",""
"0403","Druge skupne administrativne službe","32739910 34740283 28551485 87,2 82,2",""
"04033101","Delovanje ministrstva, pristojnega za javno upravo","12385294 12397041 11558411 93,3 93,2",""
"04033102","Upravne zadeve","325563 581781 310937 95,5 53,5",""
"04033103","Zagotavljanje prostorskih in drugih pogojev za delo državnih organov","14626831 15527288 12074025 82,6 77,8",""
"04033104","Upravljanje in vzdrževanje službenih in najemnih stanovanj","5402222 6234174 4608112 85,3 73,9",""
"08","NOTRANJE ZADEVE IN VARNOST","2291540 2276330 2119959 92,5 93,1",""
"0804","Vzpostavitev južne meje","2291540 2276330 2119959 92,5 93,1",""
"08043101","Vzpostavitev južne meje","2291540 2276330 2119959 92,5 93,1",""
"19","IZOBRAŽEVANJE","522931 522931 489660 93,6 93,6",""
"1906","Pomoči šolajočim","522931 522931 489660 93,6 93,6",""
"19063101","Vladne štipendije in štipendije za študij v tujini","522931 522931 489660 93,6 93,6",""
"3112","Inšpektorat za javno upravo","378767 378767 350790 92,6 92,6",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","378767 378767 350790 92,6 92,6",""
"0403","Druge skupne administrativne službe","378767 378767 350790 92,6 92,6",""
"04033101","Delovanje ministrstva, pristojnega za javno upravo","378767 378767 350790 92,6 92,6",""
"3211","Ministrstvo za visoko šolstvo, znanost in tehnologijo","594647168 597576461 582768024 98,0 97,5",""
"05","ZNANOST IN TEHNOLOŠKI RAZVOJ","255972742 266050592 256936744 100,4 96,6",""
"0501","Urejanje sistema znanstvenega raziskovanja","4451085 4089160 3575062 80,3 87,4",""
"05013201","Urejanje sistema znanstvenega raziskovanja","4451085 4089160 3575062 80,3 87,4",""
"0502","Znanstveno - raziskovalna dejavnost","180803086 180531248 176401506 97,6 97,7",""
"05023201","Znanstveno raziskovalna dejavnost","180803086 180531248 176401506 97,6 97,7",""
"0503","Programi v podporo znanosti","22293234 23288790 22729549 102,0 97,6",""
"05033201","Informacijsko komunikacijski sistemi","9491500 10456662 10456662 110,2 100,0",""
"05033202","Nacionalni meroslovni sistem","131500 131500 67279 51,2 51,2",""
