"",""," ",""
"",""," ",""
""," POSEBNI DEL ZAKLJUČNEGA RAČUNA PRORAČUNA","II2 ",""
"","","II POSEBNI DEL",""
"","","v eurih",""
"","BLC / NADSKUPINA / SPU / PU / POL / PRG /","Rebalans Veljavni Realizacija Real /  Real / ",""
"","","2013 2013 2013",""
"","A Bilanca odhodkov","9631070611 9771233930 9314512628 96,71 95,33",""
"1","NEVLADNI PRORAČUNSKI UPORABNIKI","50232312 49052905 46937493 93,44 95,69",""
"11","PREDSEDNIK REPUBLIKE SLOVENIJE","2568633 2525092 2453192 95,51 97,15",""
"1111","Predsednik Republike Slovenije","2568633 2525092 2453192 95,51 97,15",""
"01","POLITIČNI SISTEM","2568633 2525092 2453192 95,51 97,15",""
"0101","Politični sistem","2568633 2525092 2453192 95,51 97,15",""
"010101","Dejavnost predsednika Republike Slovenije","2327983 2287093 2219026 95,32 97,02",""
"010102","Dejavnost bivšega predsednika Republike Slovenije","240650 237999 234166 97,31 98,39",""
"121","DRŽAVNI ZBOR","22523258 22064225 21340329 94,75 96,72",""
"1211","Državni zbor","22523258 22064225 21340329 94,75 96,72",""
"01","POLITIČNI SISTEM","22523258 22064225 21340329 94,75 96,72",""
"0101","Politični sistem","22523258 22064225 21340329 94,75 96,72",""
"010103","Dejavnost državnega zbora","22523258 22064225 21340329 94,75 96,72",""
"122","DRŽAVNI SVET","1869051 1748654 1739601 93,07 99,48",""
"1212","Državni svet","1869051 1748654 1739601 93,07 99,48",""
"01","POLITIČNI SISTEM","1869051 1748654 1739601 93,07 99,48",""
"0101","Politični sistem","1869051 1748654 1739601 93,07 99,48",""
"010104","Dejavnost državnega sveta","1869051 1748654 1739601 93,07 99,48",""
"123","DRŽAVNA VOLILNA KOMISIJA","2053227 1849460 1800307 87,68 97,34",""
"1213","Državna volilna komisija","2053227 1849460 1800307 87,68 97,34",""
"01","POLITIČNI SISTEM","2053227 1849460 1800307 87,68 97,34",""
"0101","Politični sistem","2053227 1849460 1800307 87,68 97,34",""
"010105","Izvedba in nadzor volitev in referendumov","2053227 1849460 1800307 87,68 97,34",""
"124","VARUH ČLOVEKOVIH PRAVIC","1932951 1890979 1835087 94,94 97,04",""
"1214","Varuh človekovih pravic","1932951 1890979 1835087 94,94 97,04",""
"01","POLITIČNI SISTEM","1932951 1890979 1835087 94,94 97,04",""
"0102","Varstvo ustavnosti, nadzor pravne države in človekovih pravic","1932951 1890979 1835087 94,94 97,04",""
"010203","Odprava in preprečevanje kršitev človekovih pravic","1809084 1765996 1714780 94,79 97,10",""
"010206","Izvajanje opcijskega sporazuma","123867 124983 120306 97,13 96,26",""
"125","INFORMACIJSKI POOBLAŠČENEC","1393000 1398402 1379671 99,04 98,66",""
"1215","Informacijski pooblaščenec","1393000 1398402 1379671 99,04 98,66",""
"01","POLITIČNI SISTEM","1393000 1398402 1379671 99,04 98,66",""
"0102","Varstvo ustavnosti, nadzor pravne države in človekovih pravic","1393000 1398402 1379671 99,04 98,66",""
"010205","Dostop do informacij javnega značaja in varstvo osebnih podatkov","1393000 1398402 1379671 99,04 98,66",""
