"A","Bilanca odhodkov","9013907176 8993487746 99,77",""
"130103","Upravljanje obrambnega sistema in krizno upravljanje","804986 792003 98,39",""
"13010302","Nadzor na področju Obrambe in zaščite","804986 792003 98,39",""
"203","MINISTRSTVO ZA PRAVOSODJE IN JAVNO UPRAVO","104728677 102843238 98,20",""
"2030","Ministrstvo za pravosodje in javno upravo","68813743 66335762 96,40",""
"04","IZOBRAŽEVANJE IN ŠPORT","275458 206936 75,12",""
"0401","Formalno izobraževanje in usposabljanje","275458 206936 75,12",""
"040106","Štipendije","275458 206936 75,12",""
"04010601","Štipendiranje","5458 2634 48,26",""
"04010603","Štipendiranje","270000 204302 75,67",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","2456721 3141966 127,89",""
"1202","Podpora nevladnih organizacij in civilne družbe","2456721 3141966 127,89",""
"120201","Podpora nevladnih organizacij in civilne družbe","2456721 3141966 127,89",""
"12020104","Krepitev NVO","2456721 3141966 127,89",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","1503062 1041766 69,31",""
"1302","Notranje zadeve in nacionalna varnost","1503062 1041766 69,31",""
"130201","Temeljne naloge policije","1503062 1041766 69,31",""
"13020102","Temeljna policijska dejavnost","1503062 1041766 69,31",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","48335190 45826075 94,81",""
"1401","Upravljanje sistemov javne uprave na državni in lokalni ravni","37323063 35435127 94,94",""
"140101","E-upravljanje, informacijsko-komunikacijska infrastruktura in boljši predpisi","23550941 21605310 91,74",""
"14010101","Zagotavljanje delovanja informacijske in komunikacijske infrastrukture ter razvoj E- uprave","19867161 19179868 96,54",""
"14010102","Aktivnosti na področju JU","27925 7925 28,38",""
"14010103","Mednarodni razvojni projekti","149748 101187 67,57",""
"14010104","Projekti ESS","3506108 2316330 66,07",""
"140102","Ravnanje s stvarnim premoženjem","10445235 10485542 100,39",""
"14010201","Ravnanje s stvarnim premoženjem","195690 184237 94,15",""
"14010202","Upravljanje s stanovanjskim fondom in počitniškimi enotami","1203363 1177858 97,88",""
"14010203","Zagotavljanje prostorskih in drugih pogojev za delo državnih organov","9046181 9123447 100,85",""
"140104","Lokalna samouprava","3326888 3344274 100,52",""
"14010402","Sistem lokalne samouprave","3326888 3344274 100,52",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","11012127 10390949 94,36",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","11012127 10390949 94,36",""
"14030107","Sistem kohezijske politike","531808 354673 66,69",""
"14030111","Delovanje uradniškega sveta in komisije za pritožbe","28063 11136 39,68",""
"14030113","Podporne dejavnosti in administracija MJU","10142256 9735994 95,99",""
"14030114","Usposabljanja in izpiti","310000 289146 93,27",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","16243311 16119018 99,23",""
"1501","Pravosodje","24017 13302 55,39",""
"150105","Alternativno reševanje pravosodnih sporov","24017 13302 55,39",""
"15010501","Izobraževanje nevtralnih oseb","24017 13302 55,39",""
"1503","Urejanje sistema, podporne dejavnosti in administracija na področju institucij pravne države, svobode in varnosti","16219294 16105716 99,30",""
"150301","Urejanje sistema, podporne dejavnosti in administracija na področju institucij pravne države, svobode in varnosti","16219294 16105716 99,30",""
"15030102","Podpora pravosodnemu sistemu","16219294 16105716 99,30",""
"2031","Uprava RS za izvrševanje kazenskih sankcij","35387330 36052063 101,88",""
"11","ZDRAVSTVENO VARSTVO","2877123 2877123 100,00",""
"1101","Zdravstveno varstvo","2877123 2877123 100,00",""
"110106","Zdravstveno zavarovanje določenih kategorij prebivalstva","2877123 2877123 100,00",""
"11010601","Izvrševanje kazenskih sankcij","2877123 2877123 100,00",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","32510208 33174941 102,04",""
"1501","Pravosodje","32510208 33174941 102,04",""
"150103","Izvrševanje kazenskih sankcij","32510208 33174941 102,04",""
"15010301","Izvrševanje kazenskih sankcij","32510208 33174941 102,04",""
"2032","Inšpektorat za javno upravo","527604 455413 86,32",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","527604 455413 86,32",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","527604 455413 86,32",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","527604 455413 86,32",""
"14030112","Inšpekcijski nadzor in izvrševanje odločb","527604 455413 86,32",""
"213","MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO","327304576 331738407 101,35",""
"2130","Ministrstvo za gospodarski razvoj in tehnologijo","315480168 321373997 101,87",""
"01","PODJETNIŠTVO IN KONKURENČNOST","230821717 239848628 103,91",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","45131796 75772940 167,89",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","45131796 75772940 167,89",""
"01010101","JAPTI","1800000 1783830 99,10",""
"01010102","Podporno okolje za podjetništvo","1473000 907383 61,60",""
"01010103","Razvojni centri slovenskega gospodarstva","29521202 61058816 206,83",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","8678647 8559741 98,63",""
"01010105","Urejanje in sooblikovanje mednarodnega poslovnega okolja","120000 48869 40,72",""
"01010106","Podpora podprogramu 010101","3538947 3414302 96,48",""
"0102","Spodbujanje rasti in razvoja podjetij","56013078 50229704 89,68",""
"010201","Spodbude za rast in razvoj podjetij","9015535 11108933 123,22",""
"01020101","Podpora  rasti in razvoj podjetij","8600000 10711878 124,56",""
"01020105","Podpora podprogramu 010201","415535 397055 95,55",""
"010202","Spodbujanje tujih investicij in odprtosti gospodarstva","13405508 11336611 84,57",""
"01020201","Dodeljevanje finančnih spodbud in financiranje","10866111 9141781 84,13",""
"01020202","Podporne, promocijske in pospeševalne aktivnosti","2150000 1927820 89,67",""
"01020203","Podpora podprogramu 010202","389397 267011 68,57",""
"010203","Podpora razvoja turizma","26764150 21662716 80,94",""
"01020301","Razvoj človeških virov in dvig kakovosti","150000 150000 100,00",""
"01020302","Razvoj turističnih destinacij","1553999 1166717 75,08",""
"01020303","Spodbujanje investicij v turistično in drugo za turizem pomembno infrastrukturo","19254622 14644828 76,06",""
"01020304","Trženje in promocija slovenskega turizma","5350000 5290122 98,88",""
"01020305","Podpora podprogramu 010203","455530 411048 90,24",""
"010204","Podpora prestrukturiranju nefinančnih družb","6827884 6121445 89,65",""
"01020403","Reševanje in prestrukturiranje  podjetij","5552757 5138688 92,54",""
"01020404","Zapiranje rudnikov in sanacija rudarske škode","926250 682500 73,68",""
"01020406","Podpora podprogramu 010204","348877 300257 86,06",""
"0103","Spodbujanje konkurenčnosti na regionalni ravni","125775264 110170088 87,59",""
"010301","Razvoj regij","125775264 110170088 87,59",""
"01030101","Dodatni začasni ukrepi za problemska območja","18492832 13461584 72,79",""
"01030102","Mednarodno teritorialno sodelovanje","8937875 5202320 58,21",""
"01030103","Regionalni razvoj","98124557 91364351 93,11",""
"01030104","Sistem regionalne politike","220000 141833 64,47",""
"0104","Urejanje sistema, podporne dejavnosti in administracija na področju spodbujanja podjetništva in konkurenčnosti","3901579 3675896 94,22",""
"010401","Dejavnosti institucij, tehnična pomoč in administracija na področju spodbujanja podjetništva in konkurenčnosti","3901579 3675896 94,22",""
"01040101","Generalni sekretariat","3901579 3675896 94,22",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","21392793 25998481 121,53",""
"0202","Znanstveno - raziskovalna dejavnost","7980884 17272176 216,42",""
"020202","Človeški viri v podporo znanosti, visokega šolstva in tehnološkega razvoja","7980884 17272176 216,42",""
"02020201","Človeški viri v podporo gospodarstvu","1059807 1059432 99,96",""
"02020202","Znanje za razvoj","6921077 16212745 234,25",""
"0203","Tehnologija in informacijska družba","13411908 8726305 65,06",""
"020301","Podpora tehnološkim razvojnim projektom","13411908 8724710 65,05",""
"02030102","Spodbujanje tehnološkega razvoja in inovativnosti","7220000 3187051 44,14",""
"02030104","Spodbujanje tehnološkega razvoja in inovativnosti","6191908 5537659 89,43",""
"020303","Elektronske komunikacije","0 1595 ---",""
"02030302","Inšpekcijski nadzor s področja elektronskih komunikacij, elektronskega podpisa in pošte","0 1595 ---",""
"04","IZOBRAŽEVANJE IN ŠPORT","0 1458133 ---",""
"0401","Formalno izobraževanje in usposabljanje","0 668784 ---",""
"040102","Osnovno šolstvo","0 668784 ---",""
"04010202","Dejavnost osnovnega šolstva","0 668784 ---",""
"0402","Šport","0 789349 ---",""
"040201","Programi športa","0 789349 ---",""
"04020101","Izvajanje programov športa","0 789349 ---",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","0 618800 ---",""
"0601","Promet in prometna infrastruktura","0 618800 ---",""
"060102","Cestni promet in infrastruktura","0 618800 ---",""
"06010201","Investicijsko vzdrževanje in gradnja državnih cest","0 618800 ---",""
"07","ENERGETIKA","0 199652 ---",""
"0702","Obnovljivi viri energije in energetska učinkovitost","0 199652 ---",""
"070201","Spodbujanje učinkovite rabe in obnovljivih virov energije","0 199652 ---",""
"07020102","Spodbujanje ukrepov energetske učinkovitosti in povečanje količine toplote iz OVE","0 203084 ---",""
"07020104","Podpora podprogramu 070201","0 -3432 ---",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","0 385842 ---",""
"0801","Kmetijstvo","0 385842 ---",""
"080102","Ukrepi razvoja podeželja","0 385842 ---",""
"08010201","Program razvoja podeželja","0 385842 ---",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","0 409897 ---",""
"0901","Trajnostno upravljanje z naravnimi viri","0 409897 ---",""
"090101","Trajnostno upravljanje z naravnimi viri in izgradnja okoljske infrastrukture","0 409897 ---",""
"09010102","Trajnostna raba voda in upravljanje z njimi","0 409897 ---",""
"11","ZDRAVSTVENO VARSTVO","0 83000 ---",""
"1101","Zdravstveno varstvo","0 83000 ---",""
"110101","Osnovno zdravstveno varstvo","0 83000 ---",""
"11010101","Zagotavljanje ustreznih prostorskih zmogljivosti in opreme za delovanje mreže javne zdravstvene službe na primarni ravni","0 83000 ---",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","960250 916303 95,42",""
"1303","Zunanja politika","960250 916303 95,42",""
"130303","Razvojno sodelovanje in humanitarna pomoč","870520 826574 94,95",""
"13030304","Tesno medinstitucionalno sodelovanje (namenska sredstva EU)","75065 33308 44,37",""
"13030310","Bilateralno razvojno sodelovanje","268684 268684 100,00",""
"13030311","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","526771 524582 99,58",""
"130304","Gospodarska diplomacija","89730 89730 100,00",""
"13030402","Gospodarska diplomacija","89730 89730 100,00",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","56205409 45499160 80,95",""
"1401","Upravljanje sistemov javne uprave na državni in lokalni ravni","45494774 38103201 83,75",""
"140104","Lokalna samouprava","45494774 38103201 83,75",""
"14010401","Investicije v občinah","45494774 38103201 83,75",""
"1402","Ekonomska in javnofinančna politika","0 25983 ---",""
"140201","Podlage ekonomske in razvojne politike ter priprava makroekonomskih analiz in napovedi","0 25983 ---",""
"14020103","Razvojno načrtovanje in strukturne reforme","0 25983 ---",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","10710634 7369976 68,81",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","10710634 7369976 68,81",""
"14030107","Sistem kohezijske politike","7089117 4173541 58,87",""
"14030108","Vodenje regionalne politike","3621517 3196435 88,26",""
"16","SERVISIRANJE JAVNEGA DOLGA, PLAČILA V EVROPSKO UNIJO IN REZERVE","6100000 5956101 97,64",""
"1603","Oblikovanje rezerv in intervencijski programi","6100000 5956101 97,64",""
"160303","Oblikovanje in vzdrževanje blagovnih rezerv","6100000 5956101 97,64",""
"16030301","Blagovne rezerve","6100000 5956101 97,64",""
"2131","Urad Republike Slovenije za intelektualno lastnino","1938271 1936489 99,91",""
"01","PODJETNIŠTVO IN KONKURENČNOST","1938271 1936489 99,91",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","1938271 1936489 99,91",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","1938271 1936489 99,91",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","1938271 1936489 99,91",""
"2132","Urad Republike Slovenije za meroslovje","3925108 2636486 67,17",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","3925108 2623621 66,84",""
"0201","Visoko šolstvo","619 0 0,00",""
"020102","Visokošolska infrastruktura","619 0 0,00",""
"02010201","Investicije v visoko šolstvo in študentske domove","619 0 0,00",""
"0202","Znanstveno - raziskovalna dejavnost","1460881 311318 21,31",""
"020203","Raziskovalna infrastruktura","1460881 311318 21,31",""
"02020303","Nabava merilne opreme za potrebe meroslovne infrastrukture v RS","1460881 311318 21,31",""
"0204","Urejanje sistema, podporne dejavnosti in administracija na področju visokega šolstva, znanstveno - raziskovalne in tehnološke politike ter informacijske družbe","2463608 2312303 93,86",""
"020401","Urejanje sistema, podporne dejavnosti in administracija na področju visokega šolstva, znanstveno-raziskovalne in tehnološke politike ter informacijske družbe","2463608 2312303 93,86",""
"02040103","Dejavnosti s področja meroslovja","698391 601337 86,10",""
"02040105","Urejanje sistema ter izvajanje strokovnih in administrativnih nalog","1765217 1710966 96,93",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","0 12865 ---",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","0 12865 ---",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","0 12865 ---",""
"14030107","Sistem kohezijske politike","0 12865 ---",""
"2133","Tržni inšpektorat Republike Slovenije","5335550 5110927 95,79",""
"01","PODJETNIŠTVO IN KONKURENČNOST","5335550 5110927 95,79",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","5335550 5110927 95,79",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","5335550 5110927 95,79",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","5335550 5110927 95,79",""
"2135","Urad RS za varstvo konkurence","625479 680509 108,80",""
"01","PODJETNIŠTVO IN KONKURENČNOST","625479 680509 108,80",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","625479 680509 108,80",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","625479 680509 108,80",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","625479 680509 108,80",""
"233","MINISTRSTVO ZA KMETIJSTVO IN OKOLJE","544269290 604214696 111,01",""
"2330","Ministrstvo za kmetijstvo in okolje","456224997 518877193 113,73",""
"01","PODJETNIŠTVO IN KONKURENČNOST","386782 814648 210,62",""
"0102","Spodbujanje rasti in razvoja podjetij","386782 814648 210,62",""
"010203","Podpora razvoja turizma","0 45000 ---",""
"01020303","Spodbujanje investicij v turistično in drugo za turizem pomembno infrastrukturo","0 45000 ---",""
"010204","Podpora prestrukturiranju nefinančnih družb","386782 769648 198,99",""
"01020405","Zapiranje rudnika Žirovski vrh","386782 769648 198,99",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","1846737 1718855 93,08",""
"0203","Tehnologija in informacijska družba","1846737 1718855 93,08",""
"020301","Podpora tehnološkim razvojnim projektom","1846737 1718855 93,08",""
"02030103","Spodbujanje tehnološkega razvoja in inovativnosti","1846737 1718855 93,08",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","334914640 393924809 117,62",""
"0801","Kmetijstvo","290554447 345529910 118,92",""
"080101","Ukrepi za stabilizacijo trga","142271609 158688382 111,54",""
"08010101","Informiranje in promocija ter podporne dejavnosti v kmetijski proizvodnji","4191109 3803245 90,75",""
"08010102","Neposredna plačila v kmetijstvu","121578944 140249468 115,36",""
"08010103","Podpora kmetijskim in živilskim podjetjem","26913 3110 11,56",""
"08010104","Ukrepi za ureditev kmetijskih trgov","16474643 14632559 88,82",""
"080102","Ukrepi razvoja podeželja","148282838 186841528 126,00",""
"08010201","Program razvoja podeželja","137908274 176892486 128,27",""
"08010202","Urejanje kmetijskega prostora","1114432 475343 42,65",""
"08010203","Podporne dejavnosti za izvajanje ukrepov razvoja podeželja","9260132 9473700 102,31",""
"0802","Gozdarstvo","21505349 22806783 106,05",""
"080201","Gozdarstvo","21505349 22806783 106,05",""
"08020101","Podporno okolje za gozdarstvo","1266840 1220875 96,37",""
"08020102","Vlaganja v gozdove","19956124 21304935 106,76",""
"08020103","Zagotavljanje deleža gozdov s poudarjenim javnim interesom","282385 280973 99,50",""
"0803","Ribištvo","4574737 5749218 125,67",""
"080301","Ribištvo","4574737 5749218 125,67",""
"08030101","Naložbe v sektor ribištva","3688098 3406655 92,37",""
"08030102","Upravljanje z ribolovnimi viri v celinskih vodah in morju","886639 2342564 264,21",""
"0804","Varna hrana in veterinarstvo","8789094 10172644 115,74",""
"080401","Varna hrana in veterinarstvo","8789094 10172644 115,74",""
"08040101","Informatizacija, registri, obveščanje, izobraževanje","715795 710281 99,23",""
"08040102","Ohranjanje rastlinskih in živalskih genskih virov, zagotavljanje kvalitetnega semenskega materiala in izvajanje rejskih programov","7920444 9379664 118,42",""
"08040103","Preventivno zdravstveno varstvo rastlin in živali","500 0 0,00",""
"08040105","Zagotavljanje varnosti in kakovosti hrane in krme","152355 82698 54,28",""
"0805","Urejanje sistema, podporne dejavnosti in administracija na področju kmetijstva, gozdarstva, ribištva in prehrane","9491013 9666253 101,85",""
"080501","Urejanje sistema kmetijstva, gozdarstva, ribištva in prehrane","9491013 9666253 101,85",""
"08050101","Podporne dejavnosti in administracija MKGP","9491013 9666253 101,85",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","100612011 108065233 107,41",""
"0901","Trajnostno upravljanje z naravnimi viri","84242130 90998261 108,02",""
"090101","Trajnostno upravljanje z naravnimi viri in izgradnja okoljske infrastrukture","84242130 90998261 108,02",""
"09010101","Ravnanje z odpadki","12652706 13724165 108,47",""
"09010102","Trajnostna raba voda in upravljanje z njimi","71589424 77274096 107,94",""
"0902","Ohranjanje biotske raznovrstnosti","7260497 7319588 100,81",""
"090201","Ohranjanje biotske raznovrstnosti in varstvo naravnih vrednot","7260497 7319588 100,81",""
"09020102","Izvajanje strokovnih in upravljavskih nalog ohranjanja narave","6317835 6970056 110,32",""
"09020103","Ustanavljanje in zagotavljanje delovanja ostalih zavarovanih območij in neposredni nadzor v naravi","10000 0 0,00",""
"09020104","Zagotavljanje biološke varnosti","108906 90339 82,95",""
"09020105","Zagotavljanje pogojev za ohranjanje biotske raznovrstnosti in varstva naravnih vrednot","823756 259192 31,46",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","9109384 9747384 107,00",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","9109384 9747384 107,00",""
"09040103","Oblikovanje podnebnih politik in zakonodaje, ter izvajanje","251377 87512 34,81",""
"09040107","Horizontalne dejavnosti na področju varstva okolja","6680616 6646825 99,49",""
"09040109","Informiranje, ozaveščanje, nevladne organizacije","112534 53151 47,23",""
"09040110","Mednarodni projekti in mednarodno sodelovanje","546375 426898 78,13",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","1518482 2532997 166,81",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","195650 191785 98,02",""
"1202","Podpora nevladnih organizacij in civilne družbe","195650 191785 98,02",""
"120201","Podpora nevladnih organizacij in civilne družbe","195650 191785 98,02",""
"12020107","Podpora nevladnih organizacij in civilne družbe","195650 191785 98,02",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","709426 799550 112,70",""
"1303","Zunanja politika","709426 799550 112,70",""
"130303","Razvojno sodelovanje in humanitarna pomoč","709426 799550 112,70",""
"13030312","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","337387 337328 99,98",""
"13030313","Tesno medinstitucionalno sodelovanje (namenska sredstva EU)","0 92768 ---",""
"13030314","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","372039 369453 99,30",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","262905 279965 106,49",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","262905 279965 106,49",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","262905 279965 106,49",""
"14030107","Sistem kohezijske politike","262905 279965 106,49",""
"16","SERVISIRANJE JAVNEGA DOLGA, PLAČILA V EVROPSKO UNIJO IN REZERVE","17296846 13082349 75,63",""
"1603","Oblikovanje rezerv in intervencijski programi","17296846 13082349 75,63",""
"160302","Posebna proračunska rezerva in programi pomoči v primerih nesreč","17296846 13082349 75,63",""
"16030201","Posebna proračunska rezerva in programi pomoči v primerih nesreč","17256846 13080509 75,80",""
"16030202","Naravne nesreče v kmetijstvu","40000 1840 4,60",""
"2331","Agencija Republike Slovenije za kmetijske trge in razvoj podeželja","10408372 10205719 98,05",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","10408372 10205719 98,05",""
"0801","Kmetijstvo","10408372 10205719 98,05",""
"080101","Ukrepi za stabilizacijo trga","9996417 10206076 102,10",""
"08010101","Informiranje in promocija ter podporne dejavnosti v kmetijski proizvodnji","1304 0 0,00",""
"08010102","Neposredna plačila v kmetijstvu","9995113 10206076 102,11",""
"080102","Ukrepi razvoja podeželja","411955 -356 -0,09",""
"08010201","Program razvoja podeželja","406027 -356 -0,09",""
"08010203","Podporne dejavnosti za izvajanje ukrepov razvoja podeželja","5928 0 0,00",""
"2332","Fitosanitarna uprava Republike Slovenije","3499092 3461372 98,92",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","3499092 3461372 98,92",""
"0804","Varna hrana in veterinarstvo","3499092 3461372 98,92",""
"080401","Varna hrana in veterinarstvo","3499092 3461372 98,92",""
"08040101","Informatizacija, registri, obveščanje, izobraževanje","156748 127985 81,65",""
"08040102","Ohranjanje rastlinskih in živalskih genskih virov, zagotavljanje kvalitetnega semenskega materiala in izvajanje rejskih programov","693238 718255 103,61",""
"08040103","Preventivno zdravstveno varstvo rastlin in živali","2649106 2615133 98,72",""
"2333","Veterinarska uprava Republike Slovenije","28535588 29131530 102,09",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","28535588 29131530 102,09",""
"0804","Varna hrana in veterinarstvo","28535588 29131530 102,09",""
"080401","Varna hrana in veterinarstvo","28535588 29131530 102,09",""
"08040101","Informatizacija, registri, obveščanje, izobraževanje","893204 863019 96,62",""
"08040103","Preventivno zdravstveno varstvo rastlin in živali","19979983 20590573 103,06",""
"08040105","Zagotavljanje varnosti in kakovosti hrane in krme","7662402 7677939 100,20",""
"2334","Agencija Republike Slovenije za okolje","33091687 29843231 90,18",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","32972981 29739231 90,19",""
"0901","Trajnostno upravljanje z naravnimi viri","15932853 13747405 86,28",""
"090101","Trajnostno upravljanje z naravnimi viri in izgradnja okoljske infrastrukture","15101007 13146943 87,06",""
"09010101","Ravnanje z odpadki","589753 570867 96,80",""
"09010102","Trajnostna raba voda in upravljanje z njimi","14511254 12576076 86,66",""
"090102","Zmanjševanje in preprečevanje emisij v zrak","831847 600462 72,18",""
"09010201","Nadzor nad emisijami v zrak","831847 600462 72,18",""
"0902","Ohranjanje biotske raznovrstnosti","1251038 1036762 82,87",""
"090201","Ohranjanje biotske raznovrstnosti in varstvo naravnih vrednot","1251038 1036762 82,87",""
"09020105","Zagotavljanje pogojev za ohranjanje biotske raznovrstnosti in varstva naravnih vrednot","1251038 1036762 82,87",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","15789089 14955063 94,72",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","15789089 14955063 94,72",""
"09040107","Horizontalne dejavnosti na področju varstva okolja","1603334 1564659 97,59",""
"09040109","Informiranje, ozaveščanje, nevladne organizacije","215166 211148 98,13",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","3409261 3117257 91,44",""
"09040113","Spremljanje, analiziranje in napovedovanje stanja v okolju","10561328 10061999 95,27",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","118706 104001 87,61",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","118706 104001 87,61",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","118706 104001 87,61",""
"14030107","Sistem kohezijske politike","118706 104001 87,61",""
"2335","Uprava Republike Slovenije za jedrsko varnost","2287922 2321215 101,46",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","2039507 2072800 101,63",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","2039507 2072800 101,63",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","2039507 2072800 101,63",""
"09040110","Mednarodni projekti in mednarodno sodelovanje","0 57810 ---",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","1825504 1853709 101,55",""
"09040114","Zagotavljanje ustrezne uporabe jedrske energije in virov sevanja","214003 161280 75,36",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","248415 248415 100,00",""
"1303","Zunanja politika","248415 248415 100,00",""
"130303","Razvojno sodelovanje in humanitarna pomoč","248415 248415 100,00",""
"13030314","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","248415 248415 100,00",""
"2336","Inšpektorat Republike Slovenije za kmetijstvo, gozdarstvo, hrano in okolje","10221632 10374435 101,49",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","7462668 7444488 99,76",""
"0804","Varna hrana in veterinarstvo","7462668 7444488 99,76",""
"080401","Varna hrana in veterinarstvo","7462668 7444488 99,76",""
"08040105","Zagotavljanje varnosti in kakovosti hrane in krme","7462668 7444488 99,76",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","2758964 2929947 106,20",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","2758964 2929947 106,20",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","2758964 2929947 106,20",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","2758964 2929947 106,20",""
"243","MINISTRSTVO ZA INFRASTRUKTURO IN PROSTOR","509011617 546194752 107,31",""
"2430","Ministrstvo za infrastrukturo in prostor","320388765 369295898 115,26",""
"01","PODJETNIŠTVO IN KONKURENČNOST","7206689 6966830 96,67",""
"0102","Spodbujanje rasti in razvoja podjetij","7000000 6835504 97,65",""
"010204","Podpora prestrukturiranju nefinančnih družb","7000000 6835504 97,65",""
"01020404","Zapiranje rudnikov in sanacija rudarske škode","7000000 6835504 97,65",""
"0103","Spodbujanje konkurenčnosti na regionalni ravni","206689 131326 63,54",""
"010301","Razvoj regij","206689 131326 63,54",""
"01030106","Mednarodno teritorialno sodelovanje","206689 131326 63,54",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","11610467 24061081 207,24",""
"0203","Tehnologija in informacijska družba","11610467 24061081 207,24",""
