"",""," ",""
"",""," ",""
""," POSEBNI DEL ZAKLJUČNEGA RAČUNA PRORAČUNA","II2 ",""
"","","II POSEBNI DEL",""
"","","v EUR",""
"","BLC / NADSKUPINA / SPU / PU / POL / PRG / POD","Rebalans Veljavni Realizacija Real /  Real / ",""
"3911","Slovenska akademija znanosti in umetnosti","3364361 3376555 3314414 98,52 98,16",""
"05","ZNANOST IN INFORMACIJSKA DRUŽBA","3364361 3376555 3314414 98,52 98,16",""
"0502","Znanstveno raziskovalna dejavnost","397661 397661 397661 100,00 100,00",""
"050203","Znanstveno raziskovalna dejavnost Slovenske akademije znanosti in umetnosti","397661 397661 397661 100,00 100,00",""
"0503","Človeški viri v podporo znanosti","2966700 2978894 2916753 98,32 97,91",""
"050301","Podporna dejavnost Slovenske akademije znanosti in umetnosti","1346700 1361791 1299650 96,51 95,44",""
"050304","Članske nagrade akademikom","1620000 1617103 1617103 99,82 100,00",""
"2","VLADNI PRORAČUNSKI UPORABNIKI","9569575993 9640894084 9409865542 98,33 97,60",""
"14","KABINET PREDSEDNIKA VLADE","1279791 1175931 1153016 90,09 98,05",""
"1411","Kabinet predsednika vlade","1279791 1175931 1153016 90,09 98,05",""
"01","POLITIČNI SISTEM","1279791 1175931 1153016 90,09 98,05",""
"0103","Podpora delovanju vlade","1279791 1175931 1153016 90,09 98,05",""
"010301","Delovanje predsednika vlade","1279791 1175931 1153016 90,09 98,05",""
"15","VLADNE SLUŽBE","15599908 15236401 14247357 91,33 93,51",""
"1511","Generalni sekretariat vlade","9465450 9522384 8652041 91,41 90,86",""
"01","POLITIČNI SISTEM","9465450 9522384 8652041 91,41 90,86",""
"0103","Podpora delovanju vlade","9465450 9522384 8652041 91,41 90,86",""
"010302","Delovanje vlade","5474359 5643765 4773423 87,20 84,58",""
"010303","Delo strokovnih svetov vlade","10686 8619 8618 80,65 99,99",""
"010304","Izvedba protokolarnih dogodkov","3980405 3870000 3870000 97,23 100,00",""
"1512","Protokol v vladi Republike Slovenije","1232919 1132237 1072470 86,99 94,72",""
"01","POLITIČNI SISTEM","1232919 1132237 1072470 86,99 94,72",""
"0103","Podpora delovanju vlade","1232919 1132237 1072470 86,99 94,72",""
"010304","Izvedba protokolarnih dogodkov","1232919 1132237 1072470 86,99 94,72",""
"1518","Urad vlade za komuniciranje","4422394 4116009 4061974 91,85 98,69",""
"01","POLITIČNI SISTEM","4422394 4116009 4061974 91,85 98,69",""
"0103","Podpora delovanju vlade","4422394 4116009 4061974 91,85 98,69",""
"010305","Komuniciranje z domačimi in tujimi javnostmi","4422394 4116009 4061974 91,85 98,69",""
"1535","Urad za varovanje tajnih podatkov","479145 465771 460872 96,19 98,95",""
"08","NOTRANJE ZADEVE IN VARNOST","479145 465771 460872 96,19 98,95",""
"0803","Obveščevalno-varnostna dejavnost","479145 465771 460872 96,19 98,95",""
"080302","Varovanje tajnih podatkov","479145 465771 460872 96,19 98,95",""
"152","SLOVENSKA OBVEŠČEVALNO-VARNOSTNA AGENCIJA","12758741 12550897 12090662 94,76 96,33",""
"1524","Slovenska obveščevalno - varnostna agencija","12758741 12550897 12090662 94,76 96,33",""
"08","NOTRANJE ZADEVE IN VARNOST","12758741 12550897 12090662 94,76 96,33",""
"0803","Obveščevalno-varnostna dejavnost","12758741 12550897 12090662 94,76 96,33",""
"080301","Obveščevalno varnostna dejavnost","12758741 12550897 12090662 94,76 96,33",""
"154","URAD VLADE RS ZA SLOVENCE V ZAMEJSTVU IN PO SVETU","8242219 8159935 8153697 98,93 99,92",""
"1537","Urad Vlade RS za Slovence v zamejstvu in po svetu","8242219 8159935 8153697 98,93 99,92",""
"18","KULTURA IN CIVILNA DRUŽBA","8242219 8159935 8153697 98,93 99,92",""
"1804","Podpora nevladnim organizacijam in civilni družbi","8242219 8159935 8153697 98,93 99,92",""
"180401","Podpora Slovencem v zamejstvu in po svetu","8242219 8159935 8153697 98,93 99,92",""
"1540","URAD VLADE RS ZA NARODNOSTI","4723413 4723413 4722315 99,98 99,98",""
"1540","Urad Vlade RS za narodnosti","4723413 4723413 4722315 99,98 99,98",""
"18","KULTURA IN CIVILNA DRUŽBA","4723413 4723413 4722315 99,98 99,98",""
"1804","Podpora nevladnim organizacijam in civilni družbi","4723413 4723413 4722315 99,98 99,98",""
"180402","Podpora manjšinam","4723413 4723413 4722315 99,98 99,98",""
"","","2014 2014 2014",""
"1541","SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA RAZVOJ IN EVROPSKO KOHEZIJSKO POLITIKO","16090780 15136530 9311716 57,87 61,52",""
"1541","Služba Vlade Republike Slovenije za razvoj in evropsko kohezijsko politiko","16090780 15136530 9311716 57,87 61,52",""
"03","ZUNANJA POLITIKA IN MEDNARODNO RAZVOJNO SODELOVANJE","5126 12971 606 11,83 4,67",""
"0303","Mednarodno razvojno sodelovanje in humanitarna pomoč","5126 12971 606 11,83 4,67",""
"030301","Medinstitucionalno sodelovanje","5126 12971 606 11,83 4,67",""
"06","LOKALNA SAMOUPRAVA","10370628 9655747 5067489 48,86 52,48",""
"0604","Koordinacija razvoja regij","10370628 9655747 5067489 48,86 52,48",""
"060401","Regionalni razvoj","10370628 9655747 5067489 48,86 52,48",""
"14","PODJETNIŠTVO IN KONKURENČNOST","5715026 5467812 4243621 74,25 77,61",""
"1401","Urejanje sistema in podporne dejavnosti na področju spodbujanja podjetništva in konkurenčnosti","5715026 5467812 4243621 74,25 77,61",""
"140101","Urejanje sistema na področju podjetništva in konkurenčnosti","5715026 5467812 4243621 74,25 77,61",""
"155","SLUŽBA VLADE ZA ZAKONODAJO","1976784 1911909 1864867 94,34 97,54",""
"1517","Služba vlade za zakonodajo","1976784 1911909 1864867 94,34 97,54",""
"01","POLITIČNI SISTEM","1976784 1911909 1864867 94,34 97,54",""
"0102","Varstvo ustavnosti, nadzor pravne države in človekovih pravic","1976784 1911909 1864867 94,34 97,54",""
"010201","Priprava in nadzor zakonov in drugih pravnih aktov","1976784 1911909 1864867 94,34 97,54",""
"156","STATISTIČNI URAD REPUBLIKE SLOVENIJE","11926926 11928028 11730737 98,36 98,35",""
"1522","Statistični urad Republike Slovenije","11926926 11928028 11730737 98,36 98,35",""
"02","EKONOMSKA IN JAVNOFINANČNA POLITIKA","11926926 11928028 11730737 98,36 98,35",""
"0202","Podlage ekonomske in razvojne politike ter priprava makroekonomskih analiz in napovedi","11926926 11928028 11730737 98,36 98,35",""
"020201","Statistična raziskovanja","11926926 11928028 11730737 98,36 98,35",""
"159","URAD RS ZA MAKROEKONOMSKE ANALIZE IN RAZVOJ","2151421 2134015 2114423 98,28 99,08",""
"1532","Urad RS za makroekonomske analize in razvoj","2151421 2134015 2114423 98,28 99,08",""
"02","EKONOMSKA IN JAVNOFINANČNA POLITIKA","2151421 2134015 2114423 98,28 99,08",""
"0202","Podlage ekonomske in razvojne politike ter priprava makroekonomskih analiz in napovedi","2151421 2134015 2114423 98,28 99,08",""
"020202","Priprava analiz in napovedi","2151421 2134015 2114423 98,28 99,08",""
"16","MINISTRSTVO ZA FINANCE","3339320780 3336761715 3291537639 98,57 98,64",""
"1611","Ministrstvo za finance","3191322545 3188783264 3146094779 98,58 98,66",""
"02","EKONOMSKA IN JAVNOFINANČNA POLITIKA","25271913 25152306 24113925 95,42 95,87",""
"0201","Urejanje javnofinančne politike","21627916 21508309 20489928 94,74 95,27",""
"020101","Izvajanje in urejanje javnofinančne politike","21627916 21508309 20489928 94,74 95,27",""
"0203","Fiskalni nadzor","3643997 3643997 3623997 99,45 99,45",""
"020303","Javnopravne evidence in nadzor revidiranja","3643997 3643997 3623997 99,45 99,45",""
"03","ZUNANJA POLITIKA IN MEDNARODNO RAZVOJNO SODELOVANJE","14961636 15021136 14781188 98,79 98,40",""
"0303","Mednarodno razvojno sodelovanje in humanitarna pomoč","14961636 15021136 14781188 98,79 98,40",""
"030301","Medinstitucionalno sodelovanje","2284 61784 0 0,00 0,00",""
"030302","Članstvo v mednarodnih institucijah","164703 164703 164703 100,00 100,00",""
"030303","Razvojno sodelovanje in mednarodna pomoč","13997649 13997649 13964987 99,77 99,77",""
"030305","Izvajanje Sporazuma o vprašanjih nasledstva","797000 797000 651498 81,74 81,74",""
"06","LOKALNA SAMOUPRAVA","27491 27491 24666 89,72 89,72",""
"0604","Koordinacija razvoja regij","27491 27491 24666 89,72 89,72",""
"060401","Regionalni razvoj","27491 27491 24666 89,72 89,72",""
"09","PRAVOSODJE","8591456 6661456 4953944 57,66 74,37",""
"0906","Poprava preteklih krivic","8591456 6661456 4953944 57,66 74,37",""
"090601","Poprava krivic in odškodnine","8591456 6661456 4953944 57,66 74,37",""
"14","PODJETNIŠTVO IN KONKURENČNOST","7211360 6044236 6042010 83,78 99,96",""
"1404","Spodbujanje tujih investicij in odprtosti gospodarstva","2096114 2095119 2095119 99,95 100,00",""
"140403","Spodbujanje izvoza","2096114 2095119 2095119 99,95 100,00",""
"1406","Podpora prestrukturiranju finančnih in nefinančnih družb","5115246 3949117 3946891 77,16 99,94",""
"140602","Poroštva in jamstva","278000 211870 211870 76,21 100,00",""
"140603","Upravljanje s finančnim premoženjem","4837246 3737246 3735020 77,21 99,94",""
"","","2014 2014 2014",""
"21","POKOJNINSKO VARSTVO","1612646857 1612646857 1582411562 98,13 98,13",""
"2101","Pokojnine","1612646857 1612646857 1582411562 98,13 98,13",""
"210101","Izplačevanje pravic","1612646857 1612646857 1582411562 98,13 98,13",""
"22","SERVISIRANJE JAVNEGA DOLGA","1103163484 1099120473 1091963684 98,98 99,35",""
"2201","Servisiranje domačega dolga","663726724 663726724 656695416 98,94 98,94",""
"220102","Servisiranje obresti iz naslova domačega dolga","663726724 663726724 656695416 98,94 98,94",""
"2202","Servisiranje tujega dolga","425896732 425896732 425896391 100,00 100,00",""
"220202","Servisiranje obresti iz naslova tujega dolga","425896732 425896732 425896391 100,00 100,00",""
"2203","Stroški financiranja in upravljanja z dolgom","13540028 9497017 9371877 69,22 98,68",""
"220301","Stroški financiranja in upravljanja z dolgom","13540028 9497017 9371877 69,22 98,68",""
"23","INTERVENCIJSKI PROGRAMI IN OBVEZNOSTI","21696559 21202067 18896559 87,09 89,13",""
"2301","Splošna proračunska rezervacija","2800000 2305508 0 0,00 0,00",""
"230101","Tekoča proračunska rezerva","2800000 2305508 0 0,00 0,00",""
"2302","Posebna proračunska rezerva in programi pomoči v primerih nesreč","18896559 18896559 18896559 100,00 100,00",""
"230201","Rezerva Republike Slovenije","18896559 18896559 18896559 100,00 100,00",""
"24","PLAČILA V EVROPSKO UNIJO","397751789 402907243 402907242 101,30 100,00",""
"2401","Finančna stabilnost in plačila sredstev v proračun Evropske unije","397751789 402907243 402907242 101,30 100,00",""
"240101","Plačilo prispevka v proračun EU","397751789 402907243 402907242 101,30 100,00",""
"1612","Davčna uprava RS","50546725 50546725 50546725 100,00 100,00",""
"02","EKONOMSKA IN JAVNOFINANČNA POLITIKA","50426430 50426430 50426430 100,00 100,00",""
"0204","Davčna in carinska administracija","50426430 50426430 50426430 100,00 100,00",""
"020401","Davčna administracija","50426430 50426430 50426430 100,00 100,00",""
"18","KULTURA IN CIVILNA DRUŽBA","120296 120296 120296 100,00 100,00",""
"1804","Podpora nevladnim organizacijam in civilni družbi","120296 120296 120296 100,00 100,00",""
"180407","Donacije za upravičence dela dohodnine","120296 120296 120296 100,00 100,00",""
"1613","Carinska uprava RS","28432899 28337430 28332726 99,65 99,98",""
"02","EKONOMSKA IN JAVNOFINANČNA POLITIKA","28432899 28337430 28332726 99,65 99,98",""
"0204","Davčna in carinska administracija","28432899 28337430 28332726 99,65 99,98",""
"020402","Carinska administracija","28432899 28337430 28332726 99,65 99,98",""
"1615","Urad RS za preprečevanje pranja denarja","639933 639933 631523 98,69 98,69",""
"02","EKONOMSKA IN JAVNOFINANČNA POLITIKA","639933 639933 631523 98,69 98,69",""
"0203","Fiskalni nadzor","639933 639933 631523 98,69 98,69",""
"020305","Nadzor nad preprečevanjem pranja denarja","639933 639933 631523 98,69 98,69",""
"1618","Uprava RS za javna plačila","5536476 5536476 5506465 99,46 99,46",""
"02","EKONOMSKA IN JAVNOFINANČNA POLITIKA","5536476 5536476 5506465 99,46 99,46",""
"0201","Urejanje javnofinančne politike","5536476 5536476 5506465 99,46 99,46",""
"020102","Plačilne storitve za proračunske uporabnike","5536476 5536476 5506465 99,46 99,46",""
"1619","Urad RS za nadzor proračuna","2232253 2175914 2131592 95,49 97,96",""
"02","EKONOMSKA IN JAVNOFINANČNA POLITIKA","2218473 2162134 2121956 95,65 98,14",""
"0203","Fiskalni nadzor","2218473 2162134 2121956 95,65 98,14",""
"020306","Notranji nadzor, preverjanje porabe proračuna ter revizija","2218473 2162134 2121956 95,65 98,14",""
"06","LOKALNA SAMOUPRAVA","13780 13780 9636 69,93 69,93",""
"0604","Koordinacija razvoja regij","13780 13780 9636 69,93 69,93",""
"060401","Regionalni razvoj","13780 13780 9636 69,93 69,93",""
"1620","Finančna uprava Republike Slovenije","60609948 60741972 58293829 96,18 95,97",""
"02","EKONOMSKA IN JAVNOFINANČNA POLITIKA","56730243 57129275 54681211 96,39 95,71",""
"0204","Davčna in carinska administracija","56730243 57129275 54681211 96,39 95,71",""
"020401","Davčna administracija","56300233 56332666 54443094 96,70 96,65",""
"020402","Carinska administracija","430010 796609 238117 55,37 29,89",""
"18","KULTURA IN CIVILNA DRUŽBA","3879704 3612697 3612618 93,12 100,00",""
"1804","Podpora nevladnim organizacijam in civilni družbi","3879704 3612697 3612618 93,12 100,00",""
"180407","Donacije za upravičence dela dohodnine","3879704 3612697 3612618 93,12 100,00",""
"","","2014 2014 2014",""
"17","MINISTRSTVO ZA NOTRANJE ZADEVE","352531403 354052659 346852363 98,39 97,97",""
"1711","Ministrstvo za notranje zadeve","58914483 59677965 56798939 96,41 95,18",""
"04","SPLOŠNE JAVNE STORITVE IN SKUPNE ADMINISTRATIVNE SLUŽBE","22143433 22550454 21534986 97,25 95,50",""
"0401","E-upravljanje in informacijska infrastruktura","21382022 21665374 20711283 96,86 95,60",""
"040101","Centralna informacijska infrastruktura in telekomunikacijska tehnologija","17255882 17537623 16823978 97,50 95,93",""
"040102","Razvoj storitev javne uprave","4126140 4127751 3887306 94,21 94,17",""
"0402","Ravnanje s stvarnim premoženjem","135112 135112 133132 98,53 98,53",""
"040201","Prostorski in drugi pogoji za delo državnih organov","135112 135112 133132 98,53 98,53",""
"0404","Druge skupne administrativne službe","626299 749969 690571 110,26 92,08",""
"040401","Urejanje in organizacija javne uprave","626299 749969 690571 110,26 92,08",""
"05","ZNANOST IN INFORMACIJSKA DRUŽBA","0 24000 12180 --- 50,75",""
"0505","Informacijska družba in elektronske komunikacije","0 24000 12180 --- 50,75",""
"050501","Urejanje področja informacijske družbe in elektronskih komunikacij","0 24000 12180 --- 50,75",""
"06","LOKALNA SAMOUPRAVA","3356955 3356955 3356955 100,00 100,00",""
"0601","Podpora lokalni samoupravi ter koordinacija državne in lokalne ravni","3356955 3356955 3356955 100,00 100,00",""
"060101","Podpora lokalni samoupravi ter koordinacija državne in lokalne ravni","3356955 3356955 3356955 100,00 100,00",""
"08","NOTRANJE ZADEVE IN VARNOST","30891623 31248083 29482523 95,44 94,35",""
"0801","Urejanje sistema in podporne dejavnosti na področju notranjih zadev","28374946 28765707 27278201 96,13 94,83",""
"080101","Urejanje sistema notranjih zadev","27805315 28225611 26738925 96,16 94,73",""
"080102","Upravne notranje zadeve","569631 540095 539276 94,67 99,85",""
"0804","Migracije in mednarodna zaščita","2516677 2482377 2204321 87,59 88,80",""
"080401","Migracije, mednarodna zaščita in integracija","2516677 2482377 2204321 87,59 88,80",""
"18","KULTURA IN CIVILNA DRUŽBA","2492473 2468473 2384196 95,66 96,59",""
"1804","Podpora nevladnim organizacijam in civilni družbi","2492473 2468473 2384196 95,66 96,59",""
"180404","Spodbujanje razvoja nevladnih organizacij ter civilnega in socialnega dialoga","2492473 2468473 2384196 95,66 96,59",""
"19","IZOBRAŽEVANJE IN ŠPORT","30000 30000 28100 93,67 93,67",""
"1907","Državne štipendije, štipendije za nadarjene ter nagrade za trajnostni razvoj","30000 30000 28100 93,67 93,67",""
"190701","Štipendije","30000 30000 28100 93,67 93,67",""
"1714","Policija","292144022 292907995 288605212 98,79 98,53",""
"08","NOTRANJE ZADEVE IN VARNOST","292144022 292907995 288605212 98,79 98,53",""
"0802","Policijska in kriminalistična dejavnost","292144022 292907995 288605212 98,79 98,53",""
"080201","Javni red in splošna varnosti ljudi in premoženja","216218358 217199497 214637194 99,27 98,82",""
"080202","Kriminalistična dejavnost","7566443 7449071 7062827 93,34 94,81",""
"080203","Zunanja meja in izvajanje predpisov o tujcih","68359220 68259428 66905191 97,87 98,02",""
"1715","Inšpektorat RS za notranje zadeve","853966 850766 847361 99,23 99,60",""
"08","NOTRANJE ZADEVE IN VARNOST","853966 850766 847361 99,23 99,60",""
"0801","Urejanje sistema in podporne dejavnosti na področju notranjih zadev","853966 850766 847361 99,23 99,60",""
"080103","Nadzor na področju notranjih zadev","853966 850766 847361 99,23 99,60",""
