"","A Bilanca odhodkov","9652121502",""
"1503","Urejanje sistema, podporne dejavnosti in administracija na področju institucij pravne države, svobode in varnosti","20586278",""
"150301","Urejanje sistema, podporne dejavnosti in administracija na področju institucij pravne države, svobode in varnosti","20586278",""
"15030102","Podpora pravosodnemu sistemu","20586278",""
"2020","Uprava RS za izvrševanje kazenskih sankcij","40048008",""
"11","ZDRAVSTVENO VARSTVO","2000000",""
"1101","Zdravstveno varstvo","2000000",""
"110106","Zdravstveno zavarovanje določenih kategorij prebivalstva","2000000",""
"11010601","Izvrševanje kazenskih sankcij","2000000",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","38048008",""
"1501","Pravosodje","38048008",""
"150103","Izvrševanje kazenskih sankcij","38048008",""
"15010301","Izvrševanje kazenskih sankcij","38048008",""
"21","MINISTRSTVO ZA GOSPODARSTVO","265271499",""
"2111","Ministrstvo za gospodarstvo","253674837",""
"01","PODJETNIŠTVO IN KONKURENČNOST","150562339",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","66943161",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","66943161",""
"01010101","JAPTI","2390000",""
"01010102","Podporno okolje za podjetništvo","3341320",""
"01010103","Razvojni centri slovenskega gospodarstva","42054730",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","15321612",""
"01010105","Urejanje in sooblikovanje mednarodnega poslovnega okolja","110817",""
"01010106","Podpora podprogramu 010101","3724682",""
"0102","Spodbujanje rasti in razvoja podjetij","80569690",""
"010201","Spodbude za rast in razvoj podjetij","20266192",""
"01020101","Podpora  rasti in razvoj podjetij","19743829",""
"01020105","Podpora podprogramu 010201","522363",""
"010202","Spodbujanje tujih investicij in odprtosti gospodarstva","17597406",""
"01020201","Dodeljevanje finančnih spodbud in financiranje","13517013",""
"01020202","Podporne, promocijske in pospeševalne aktivnosti","3274992",""
"01020203","Podpora podprogramu 010202","805401",""
"010203","Podpora razvoja turizma","26163425",""
"01020301","Razvoj človeških virov in dvig kakovosti","581602",""
"01020302","Razvoj turističnih destinacij","1758752",""
"01020303","Spodbujanje investicij v turistično in drugo za turizem pomembno infrastrukturo","14994788",""
"01020304","Trženje in promocija slovenskega turizma","8347700",""
"01020305","Podpora podprogramu 010203","480583",""
"010204","Podpora prestrukturiranju nefinančnih družb","16542667",""
"01020403","Reševanje in prestrukturiranje  podjetij","3067252",""
"01020404","Zapiranje rudnikov in sanacija rudarske škode","13146104",""
"01020406","Podpora podprogramu 010204","329311",""
"0104","Urejanje sistema, podporne dejavnosti in administracija na področju spodbujanja podjetništva in konkurenčnosti","3049488",""
"010401","Dejavnosti institucij, tehnična pomoč in administracija na področju spodbujanja podjetništva in konkurenčnosti","3049488",""
"01040101","Generalni sekretariat","3049488",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","69323856",""
"0202","Znanstveno - raziskovalna dejavnost","4418185",""
"020202","Človeški viri v podporo znanosti, visokega šolstva in tehnološkega razvoja","4418185",""
"02020201","Človeški viri v podporo gospodarstvu","4418185",""
"0203","Tehnologija in informacijska družba","64905671",""
"020301","Podpora tehnološkim razvojnim projektom","64905671",""
"02030102","Spodbujanje tehnološkega razvoja in inovativnosti","64905671",""
"07","ENERGETIKA","22314961",""
"0701","Oskrba z energijo","136760",""
"070101","Proizvodnja energije","136760",""
"07010101","Podpora projektom na OVE in energetski infrastrukturi","136760",""
"0702","Obnovljivi viri energije in energetska učinkovitost","18401510",""
"070201","Spodbujanje učinkovite rabe in obnovljivih virov energije","18401510",""
"07020101","Financiranje izvajanja programov informiranja, ozaveščanja, promocije in usposabljanja, energetskih pregledov, študij izvedljivosti in energetskega svetovanja (EN SVET)","626370",""
"07020102","Spodbujanje ukrepov energetske učinkovitosti in povečanje količine toplote iz OVE","15735444",""
"07020104","Podpora podprogramu 070201","2039696",""
"0703","Rudarstvo","1342000",""
"070301","Gospodarjenje in raziskovanje mineralnih surovin","1342000",""
"07030101","Ekološka in tehnološka sanacija Nafte Lendava","1342000",""
"0704","Urejanje sistema, podporne dejavnosti in administracija na področju energetike","2434691",""
"070401","Urejanje sistema, podporne dejavnosti in administracija na področju energetike","2434691",""
"07040102","Izvajanje javne gospodarske dejavnosti na področju geoloških raziskav","350000",""
"07040103","Skrb za zanesljivo, ekonomsko upravičeno, trajno in okolju prijazno oskrbo z energijo","643876",""
"07040104","Zagotavljanje zanesljivega in varnega ravnanja z radioaktivnimi odpadki","1371815",""
"07040105","Arbitražni postopek za NEK","69000",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","1088704",""
"1303","Zunanja politika","1088704",""
"130303","Razvojno sodelovanje in humanitarna pomoč","514951",""
"13030311","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","514951",""
"130304","Gospodarska diplomacija","573753",""
"13030402","Gospodarska diplomacija","573753",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","1443800",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1443800",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1443800",""
"14030107","Sistem kohezijske politike","1443800",""
"16","SERVISIRANJE JAVNEGA DOLGA, PLAČILA V EVROPSKO UNIJO IN REZERVE","8941177",""
"1603","Oblikovanje rezerv in intervencijski programi","8941177",""
"160303","Oblikovanje in vzdrževanje blagovnih rezerv","8941177",""
"16030301","Blagovne rezerve","8941177",""
"2120","Urad RS za varstvo potrošnikov","815258",""
"01","PODJETNIŠTVO IN KONKURENČNOST","815258",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","815258",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","815258",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","815258",""
"2121","Urad RS za varstvo konkurence","801915",""
"01","PODJETNIŠTVO IN KONKURENČNOST","801915",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","801915",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","801915",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","801915",""
"2123","Tržni inšpektorat RS","5748297",""
"01","PODJETNIŠTVO IN KONKURENČNOST","5748297",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","5748297",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","5748297",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","5748297",""
"2126","Urad RS za intelektualno lastnino","2577557",""
"01","PODJETNIŠTVO IN KONKURENČNOST","2577557",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","2577557",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","2577557",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","2577557",""
"2128","Inšpektorat Republike Slovenije za energetiko in rudarstvo","1653635",""
"07","ENERGETIKA","1653635",""
"0704","Urejanje sistema, podporne dejavnosti in administracija na področju energetike","1653635",""
"070401","Urejanje sistema, podporne dejavnosti in administracija na področju energetike","1653635",""
"07040101","Izvajanje inšpekcijskega nadzora nad spoštovanjem predpisov iz področja energetike in rudarstva","1653635",""
"23","MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO","432324233",""
"2311","Ministrstvo za kmetijstvo, gozdarstvo in prehrano","373317100",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","2302228",""
"0203","Tehnologija in informacijska družba","2302228",""
"020301","Podpora tehnološkim razvojnim projektom","2302228",""
"02030103","Spodbujanje tehnološkega razvoja in inovativnosti","2302228",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","370202890",""
"0801","Kmetijstvo","321771587",""
"080101","Ukrepi za stabilizacijo trga","169526138",""
"08010101","Informiranje in promocija ter podporne dejavnosti v kmetijski proizvodnji","6434812",""
"08010102","Neposredna plačila v kmetijstvu","138761466",""
"08010103","Podpora kmetijskim in živilskim podjetjem","533776",""
"08010104","Ukrepi za ureditev kmetijskih trgov","23796085",""
"080102","Ukrepi razvoja podeželja","152245448",""
"08010201","Program razvoja podeželja","137915635",""
"08010202","Urejanje kmetijskega prostora","2954144",""
"08010203","Podporne dejavnosti za izvajanje ukrepov razvoja podeželja","11375670",""
"0802","Gozdarstvo","26298076",""
"080201","Gozdarstvo","26298076",""
"08020101","Podporno okolje za gozdarstvo","1503828",""
"08020102","Vlaganja v gozdove","24402269",""
"08020103","Zagotavljanje deleža gozdov s poudarjenim javnim interesom","391979",""
"0803","Ribištvo","6837089",""
"080301","Ribištvo","6837089",""
"08030101","Naložbe v sektor ribištva","5508322",""
"08030102","Upravljanje z ribolovnimi viri v celinskih vodah in morju","1328767",""
"0804","Varna hrana in veterinarstvo","11885450",""
"080401","Varna hrana in veterinarstvo","11885450",""
"08040101","Informatizacija, registri, obveščanje, izobraževanje","1339883",""
"08040102","Ohranjanje rastlinskih in živalskih genskih virov, zagotavljanje kvalitetnega semenskega materiala in izvajanje rejskih programov","9277559",""
"08040103","Preventivno zdravstveno varstvo rastlin in živali","5000",""
"08040105","Zagotavljanje varnosti in kakovosti hrane in krme","1263008",""
"0805","Urejanje sistema, podporne dejavnosti in administracija na področju kmetijstva, gozdarstva, ribištva in prehrane","3410689",""
"080501","Urejanje sistema kmetijstva, gozdarstva, ribištva in prehrane","3410689",""
"08050101","Podporne dejavnosti in administracija MKGP","3410689",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","200000",""
"1202","Podpora nevladnih organizacij in civilne družbe","200000",""
"120201","Podpora nevladnih organizacij in civilne družbe","200000",""
"12020107","Podpora nevladnih organizacij in civilne družbe","200000",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","561982",""
"1303","Zunanja politika","561982",""
"130303","Razvojno sodelovanje in humanitarna pomoč","561982",""
"13030312","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","481982",""
"13030313","Tesno medinstitucionalno sodelovanje (namenska sredstva EU)","80000",""
"16","SERVISIRANJE JAVNEGA DOLGA, PLAČILA V EVROPSKO UNIJO IN REZERVE","50000",""
"1603","Oblikovanje rezerv in intervencijski programi","50000",""
"160302","Posebna proračunska rezerva in programi pomoči v primerih nesreč","50000",""
"16030202","Naravne nesreče v kmetijstvu","50000",""
"2312","Veterinarska uprava RS","33019204",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","33019204",""
"0804","Varna hrana in veterinarstvo","33019139",""
"080401","Varna hrana in veterinarstvo","33019139",""
"08040101","Informatizacija, registri, obveščanje, izobraževanje","1472457",""
"08040103","Preventivno zdravstveno varstvo rastlin in živali","23478340",""
"08040105","Zagotavljanje varnosti in kakovosti hrane in krme","8068343",""
"0805","Urejanje sistema, podporne dejavnosti in administracija na področju kmetijstva, gozdarstva, ribištva in prehrane","65",""
"080501","Urejanje sistema kmetijstva, gozdarstva, ribištva in prehrane","65",""
"08050101","Podporne dejavnosti in administracija MKGP","65",""
"2314","Inšpektorat RS za kmetijstvo, gozdarstvo in hrano","8224454",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","8224454",""
"0804","Varna hrana in veterinarstvo","8224454",""
"080401","Varna hrana in veterinarstvo","8224454",""
"08040103","Preventivno zdravstveno varstvo rastlin in živali","23000",""
"08040105","Zagotavljanje varnosti in kakovosti hrane in krme","8201454",""
"2318","Agencija RS za kmetijske trge in razvoj podeželja","13286211",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","13286211",""
"0801","Kmetijstvo","13188529",""
"080101","Ukrepi za stabilizacijo trga","8626304",""
"08010101","Informiranje in promocija ter podporne dejavnosti v kmetijski proizvodnji","3123579",""
"08010102","Neposredna plačila v kmetijstvu","3771418",""
"08010104","Ukrepi za ureditev kmetijskih trgov","1731308",""
"080102","Ukrepi razvoja podeželja","4562225",""
"08010201","Program razvoja podeželja","4511657",""
"08010203","Podporne dejavnosti za izvajanje ukrepov razvoja podeželja","50568",""
"0803","Ribištvo","97682",""
"080301","Ribištvo","97682",""
"08030101","Naložbe v sektor ribištva","97682",""
"2321","Fitosanitarna uprava RS","4477264",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","4477264",""
"0804","Varna hrana in veterinarstvo","4477264",""
"080401","Varna hrana in veterinarstvo","4477264",""
"08040101","Informatizacija, registri, obveščanje, izobraževanje","310817",""
"08040102","Ohranjanje rastlinskih in živalskih genskih virov, zagotavljanje kvalitetnega semenskega materiala in izvajanje rejskih programov","836512",""
"08040103","Preventivno zdravstveno varstvo rastlin in živali","3329935",""
"24","MINISTRSTVO ZA PROMET","537084361",""
"2411","Ministrstvo za promet","213700851",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","213277629",""
"0601","Promet in prometna infrastruktura","171720543",""
"060101","Železniški promet in infrastruktura","144820914",""
"06010101","Investicije in vzdrževanje JŽI","117537812",""
"06010102","Upravljanje z JŽI","27283103",""
"060102","Cestni promet in infrastruktura","20511616",""
"06010202","Razvoj avtocestnega omrežja in cestnega prometa","20511616",""
"060103","Zračni promet in letališka infrastruktura","5642873",""
"06010301","Razvoj letališč in letališke infrastrukture","1424226",""
"06010302","Zračni promet","4218647",""
"060104","Pomorski promet in pristaniška  infrastruktura","745140",""
"06010402","Pomorski promet","745140",""
"0602","Trajnostna mobilnost","36355546",""
"060201","Trajnostna mobilnost","36355546",""
"06020101","Upravljanje celovitega prometno-logističnega modela","36355546",""
"0603","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","5201539",""
"060301","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","5201539",""
"06030101","Urejanje sistema na področju prometa in prometne infrastrukture","5201539",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","423222",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","423222",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","423222",""
"14030107","Sistem kohezijske politike","423222",""
"2412","Uprava RS za pomorstvo","6626036",""
"04","IZOBRAŽEVANJE IN ŠPORT","23000",""
"0401","Formalno izobraževanje in usposabljanje","23000",""
"040103","Srednje splošno in poklicno šolstvo","23000",""
"04010301","Dejavnost srednjega šolstva (splošnega, strokovnega in poklicnega)","23000",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","6253036",""
"0601","Promet in prometna infrastruktura","6253036",""
"060104","Pomorski promet in pristaniška  infrastruktura","6253036",""
"06010401","Investicije v pristaniško infrastrukturo","3694720",""
"06010402","Pomorski promet","2558316",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","350000",""
"0901","Trajnostno upravljanje z naravnimi viri","350000",""
"090101","Trajnostno upravljanje z naravnimi viri in izgradnja okoljske infrastrukture","350000",""
"09010102","Trajnostna raba voda in upravljanje z njimi","350000",""
"2415","Direkcija RS za ceste","187815783",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","187520316",""
"0601","Promet in prometna infrastruktura","168935661",""
"060102","Cestni promet in infrastruktura","168935661",""
"06010201","Investicijsko vzdrževanje in gradnja državnih cest","76693814",""
"06010203","Upravljanje in tekoče vzdrževanje državnih cest","92241847",""
"0602","Trajnostna mobilnost","17621753",""
"060201","Trajnostna mobilnost","17621753",""
"06020101","Upravljanje celovitega prometno-logističnega modela","17621753",""
"0603","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","962902",""
"060301","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","962902",""
"06030101","Urejanje sistema na področju prometa in prometne infrastrukture","962902",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","240000",""
"0901","Trajnostno upravljanje z naravnimi viri","240000",""
"090101","Trajnostno upravljanje z naravnimi viri in izgradnja okoljske infrastrukture","240000",""
"09010102","Trajnostna raba voda in upravljanje z njimi","240000",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","55467",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","55467",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","55467",""
"14030107","Sistem kohezijske politike","55467",""
"2418","Prometni inšpektorat RS","2309972",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","2309972",""
"0603","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","2309972",""
"060301","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","2309972",""
"06030101","Urejanje sistema na področju prometa in prometne infrastrukture","2309972",""
"2423","Direkcija za vodenje investicij JŽI","126631720",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","126631720",""
"0601","Promet in prometna infrastruktura","105325462",""
"060101","Železniški promet in infrastruktura","105325462",""
"06010101","Investicije in vzdrževanje JŽI","85591875",""
"06010102","Upravljanje z JŽI","19733587",""
"0602","Trajnostna mobilnost","21286731",""
"060201","Trajnostna mobilnost","21286731",""
"06020101","Upravljanje celovitega prometno-logističnega modela","21286731",""
"0603","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","19527",""
"060301","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","19527",""
"06030101","Urejanje sistema na področju prometa in prometne infrastrukture","19527",""
"25","MINISTRSTVO ZA OKOLJE IN PROSTOR","232921305",""
"2511","Ministrstvo za okolje in prostor","163413774",""
"01","PODJETNIŠTVO IN KONKURENČNOST","1778879",""
"0102","Spodbujanje rasti in razvoja podjetij","1441614",""
"010204","Podpora prestrukturiranju nefinančnih družb","1441614",""
"01020405","Zapiranje rudnika Žirovski vrh","1441614",""
"0103","Spodbujanje konkurenčnosti na regionalni ravni","337265",""
"010301","Razvoj regij","337265",""
"01030106","Mednarodno teritorialno sodelovanje","337265",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","141601944",""
"0901","Trajnostno upravljanje z naravnimi viri","107728319",""
"090101","Trajnostno upravljanje z naravnimi viri in izgradnja okoljske infrastrukture","107410964",""
"09010101","Ravnanje z odpadki","14837376",""
"09010102","Trajnostna raba voda in upravljanje z njimi","92573588",""
"090102","Zmanjševanje in preprečevanje emisij v zrak","317355",""
"09010202","Preprečevanje emisij v zrak","317355",""
"0902","Ohranjanje biotske raznovrstnosti","9862861",""
"090201","Ohranjanje biotske raznovrstnosti in varstvo naravnih vrednot","9862861",""
"09020102","Izvajanje strokovnih in upravljavskih nalog ohranjanja narave","8365938",""
"09020103","Ustanavljanje in zagotavljanje delovanja ostalih zavarovanih območij in neposredni nadzor v naravi","62003",""
"09020104","Zagotavljanje biološke varnosti","222298",""
"09020105","Zagotavljanje pogojev za ohranjanje biotske raznovrstnosti in varstva naravnih vrednot","1212621",""
"0903","Stanovanjska in komunalna politika ter urejanje prostora","14153084",""
"090301","Spodbujanje stanovanjske gradnje","11148206",""
"09030101","Reševanje stanovanjske problematike","11148206",""
"090302","Upravljanje s prostorom","3004878",""
"09030201","Alpska konvencija","205681",""
"09030202","Graditev objektov","641060",""
"09030203","Informiranje in ozaveščanje","77924",""
"09030204","Prostorsko načrtovanje in urejanje prostora","2080214",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","9857680",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","9857680",""
"09040107","Horizontalne dejavnosti na področju varstva okolja","1661562",""
"09040109","Informiranje, ozaveščanje, nevladne organizacije","656759",""
"09040110","Mednarodni projekti in mednarodno sodelovanje","1192241",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","6347117",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","690838",""
"1303","Zunanja politika","690838",""
"130303","Razvojno sodelovanje in humanitarna pomoč","690838",""
"13030314","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","690838",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","242923",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","242923",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","242923",""
"14030107","Sistem kohezijske politike","242923",""
"16","SERVISIRANJE JAVNEGA DOLGA, PLAČILA V EVROPSKO UNIJO IN REZERVE","19099190",""
"1603","Oblikovanje rezerv in intervencijski programi","19099190",""
"160302","Posebna proračunska rezerva in programi pomoči v primerih nesreč","19099190",""
"16030201","Posebna proračunska rezerva in programi pomoči v primerih nesreč","19099190",""
"2512","Geodetska uprava RS","19649370",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","19649370",""
"0903","Stanovanjska in komunalna politika ter urejanje prostora","146472",""
"090302","Upravljanje s prostorom","146472",""
"09030204","Prostorsko načrtovanje in urejanje prostora","146472",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","19502898",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","19502898",""
"09040105","Evidentiranje nepremičnin","13474754",""
"09040106","Geodezija, topografija in kartografija","1626765",""
"09040108","Informatizacija na področju okolja in prostora","1531324",""
"09040111","Množično vrednotenje nepremičnin","1368133",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","1501922",""
"2513","Uprava RS za jedrsko varnost","2543919",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","2193717",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","2193717",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","2193717",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","1975778",""
"09040114","Zagotavljanje ustrezne uporabe jedrske energije in virov sevanja","217939",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","350202",""
"1303","Zunanja politika","350202",""
"130303","Razvojno sodelovanje in humanitarna pomoč","350202",""
"13030314","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","350202",""
"2522","Inšpektorat RS za okolje in prostor","7942049",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","7942049",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","7942049",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","7942049",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","7942049",""
"2523","Agencija RS za okolje","39372193",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","39210508",""
"0901","Trajnostno upravljanje z naravnimi viri","19879155",""
"090101","Trajnostno upravljanje z naravnimi viri in izgradnja okoljske infrastrukture","19244082",""
"09010101","Ravnanje z odpadki","524677",""
"09010102","Trajnostna raba voda in upravljanje z njimi","18719405",""
"090102","Zmanjševanje in preprečevanje emisij v zrak","635073",""
"09010201","Nadzor nad emisijami v zrak","635073",""
"0902","Ohranjanje biotske raznovrstnosti","1516607",""
"090201","Ohranjanje biotske raznovrstnosti in varstvo naravnih vrednot","1516607",""
"09020105","Zagotavljanje pogojev za ohranjanje biotske raznovrstnosti in varstva naravnih vrednot","1516607",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","17814746",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","17814746",""
"09040107","Horizontalne dejavnosti na področju varstva okolja","1816789",""
"09040109","Informiranje, ozaveščanje, nevladne organizacije","290837",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","4178346",""
"09040113","Spremljanje, analiziranje in napovedovanje stanja v okolju","11528774",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","161685",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","161685",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","161685",""
"14030107","Sistem kohezijske politike","161685",""
"26","MINISTRSTVO ZA DELO, DRUŽINO IN SOCIALNE ZADEVE","1743485314",""
"2611","Ministrstvo za delo, družino in socialne zadeve","1738433237",""
"03","TRG DELA","513303872",""
"0301","Aktivna politika zaposlovanja","185593679",""
"030101","Svetovanje in pomoč pri iskanju zaposlitve","40495948",""
"03010101","Dejavnost svetovanja in pomoč pri iskanju zaposlitve","40495948",""
"030102","Usposabljanje in izobraževanje","19228313",""
"03010201","Dejavnosti usposabljanja in izobraževanja","19228313",""
"030103","Spodbujanje zaposlovanja in samozaposlovanja","80501349",""
"03010301","Dejavnost spodbujanje zaposlovanja in samozaposlovanja","80501349",""
"030104","Socialno vključevanje in socialno podjetništvo","36991267",""
"03010401","Dejavnosti za socialno vključevanje","36991267",""
"030105","Podpora zaposlovanju in rehabilitacija invalidov","7111514",""
"03010501","Podpora pri zaposlovanju invalidov","2036576",""
"03010502","Zaposlitvena rehabilitacija","5074938",""
"030106","Neformalno in informalno izobraževanje in usposabljanje","1265288",""
"03010601","Razvoj nacionalne kvalifikacijske strukture","865475",""
"03010602","Vseživljenjsko učenje","399813",""
"0302","Pasivna politika zaposlovanja","326213405",""
"030201","Prejemki in pravice brezposelnih oseb","326213405",""
"03020101","Sistem socialne varnosti brezposelnih","326213405",""
"0303","Urejanje sistema, podporne dejavnosti in administracija na področju trga dela","1496789",""
"030301","Urejanje sistema, podporne dejavnosti in administracija na področju trga dela","1496789",""
"03030102","Podporna dejavnost za zaposlovanje in usposabljanje","1003780",""
"03030103","Program PROGRESS","135000",""
"03030105","Zagotavljanje varnosti in zdravja pri delu","358009",""
"04","IZOBRAŽEVANJE IN ŠPORT","132149375",""
"0401","Formalno izobraževanje in usposabljanje","132149375",""
"040106","Štipendije","114350961",""
"04010602","Štipendiranje","114350961",""
"040107","Pomoči šolajočim","17798414",""
"04010701","Pomoči v visokem šolstvu","17798414",""
"05","KULTURA","817158",""
"0501","Kultura","817158",""
"050102","Ohranjanje kulturne dediščine","817158",""
"05010201","Nepremična in premična dediščina","817158",""
"10","SOCIALNA VARNOST","1088624999",""
"1001","Socialno varstvo","371479221",""
"100101","Socialne pomoči, varstveni dodatki in drugi transferi za zagotavljanje socialne varnosti","265027254",""
"10010101","Dodelitev transferjev za materialno ogrožene","157946350",""
"10010102","Podelitev transferjev vojnim invalidom, vojnim veteranom in žrtvam vojnega nasilja","78450671",""
"10010104","Dodelitev transferjev za varstvo duševno in telesno prizadetih","28630233",""
"100102","Socialno varstvene storitve","88882887",""
"10010201","Delovanje Centrov za socialno delo","43437413",""
"10010202","Delovanje Varstveno delovnih centrov","30753997",""
"10010203","Delovanje Zavodov za usposabljanje","14691477",""
"100103","Programi socialnega varstva in izenačevanje možnosti za invalide","17569080",""
"10010301","Usmerjena strokovna socialna in psihosocialna pomoč različnim ranljivim skupinam ter polno, enakopravno sodelovanje, vključevanje in izenačevanje možnosti invalidov oz njihovo socialno vključevanje","16981602",""
"10010302","Izvajanje odprte metode koordinacije (OMK) na področju socialne zaščite in socialnega vključevanja","332490",""
"10010303","Izvedba programa PROGRESS za invalide","150000",""
"10010304","Aktivnosti v okviru Evropskega leta boja proti revščini","104988",""
"1002","Varstvo otrok in družine","696331760",""
"100201","Družinski prejemki in starševska nadomestila","685607702",""
"10020101","Zagotavljanje osnovne socialne varnosti v času odsotnosti iz dela zaradi otroka","366676704",""
"10020102","Zagotavljanje dodatnih sredstev otrokom za posebno nego in varstvo","14430247",""
"10020103","Zagotavljanje dodatnih sredstev za otroka od njegovega rojstva do konca njegovega šolanja (maksimalno do 26. leta starosti)","304000751",""
"10020104","Zagotavljanje dodatnih sredstev otrokom delavcev, zaposlenih v Sloveniji (iz drugih držav EU)","500000",""
"100202","Programi v pomoč družini","3012319",""
