,, ,
,, ,
,,II2 ,
3911,Slovenska akademija znanosti in umetnosti,"3658656 3559586 97,29",
02,"VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN","3658656 3559586 97,29",
,INFORMACIJSKA DRUŽBA,,
0202,Znanstveno - raziskovalna dejavnost,"3658656 3559586 97,29",
020201,Raziskovalni programi in projekti,"400000 400000 100,00",
02020104,Raziskovalni programi in projekti,"400000 400000 100,00",
020202,"Človeški viri v podporo znanosti, visokega šolstva","3258656 3159586 96,96",
,in tehnološkega razvoja,,
02020204,Podpora znanosti in umetnosti,"3258656 3159586 96,96",
2,VLADNI PRORAČUNSKI UPORABNIKI,"8763958016 8733735846 99,66",
14,KABINET PREDSEDNIKA VLADE,"1585000 1415722 89,32",
1411,Kabinet predsednika vlade,"1585000 1415722 89,32",
14,UPRAVLJANJE SISTEMOV JAVNE UPRAVE,"1585000 1415722 89,32",
1403,"Urejanje sistema, podporne dejavnosti in","1585000 1415722 89,32",
,administracija na področju upravljanja sistemov javne,,
,uprave,,
140301,"Urejanje sistema, podporne dejavnosti in","1585000 1415722 89,32",
,administracija na področju upravljanja sistemov,,
,javne uprave,,
14030101,Dejavnost Kabineta predsednika vlade,"1585000 1415722 89,32",
15,VLADNE SLUŽBE,"21194683 21090232 99,51",
1511,Generalni sekretariat vlade,"13306236 13313444 100,05",
12,INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE,"2741823 3078265 112,27",
,DRUŽBE,,
1201,Institucije političnega sistema,"2741823 3078265 112,27",
120101,Dejavnost političnih institucij,"2741823 3078265 112,27",
12010106,Politične institucije,"2741823 3078265 112,27",
14,UPRAVLJANJE SISTEMOV JAVNE UPRAVE,"10564413 10235178 96,88",
1403,"Urejanje sistema, podporne dejavnosti in","10564413 10235178 96,88",
,administracija na področju upravljanja sistemov javne,,
,uprave,,
140301,"Urejanje sistema, podporne dejavnosti in","10564413 10235178 96,88",
,administracija na področju upravljanja sistemov,,
,javne uprave,,
14030102,Delovanje vlade,"6683413 6088226 91,09",
14030104,JGZ Brdo,"3881000 4146953 106,85",
,,Stran 2 od 37,
,,v eurih,
,BLC / NADSKUPINA / SPU / PU / PO / PG / PPG / DE,Rebalans II Realizacija Real / Reb II,
,,prora&#269;una&#202;2012 prora&#269;una&#202;2012,
1512,Protokol v vladi Republike Slovenije,"1499356 1275978 85,10",
14,UPRAVLJANJE SISTEMOV JAVNE UPRAVE,"1499356 1275978 85,10",
1403,"Urejanje sistema, podporne dejavnosti in","1499356 1275978 85,10",
,administracija na področju upravljanja sistemov javne,,
,uprave,,
140301,"Urejanje sistema, podporne dejavnosti in","1499356 1275978 85,10",
,administracija na področju upravljanja sistemov,,
,javne uprave,,
14030103,Izvajanje Protokola Vlade RS,"1499356 1275978 85,10",
1518,Urad vlade za komuniciranje,"5843831 5919750 101,30",
14,UPRAVLJANJE SISTEMOV JAVNE UPRAVE,"5843831 5919750 101,30",
1403,"Urejanje sistema, podporne dejavnosti in","5843831 5919750 101,30",
,administracija na področju upravljanja sistemov javne,,
,uprave,,
140301,"Urejanje sistema, podporne dejavnosti in","5843831 5919750 101,30",
,administracija na področju upravljanja sistemov,,
,javne uprave,,
14030105,Komuniciranje z javnostmi,"5843831 5919750 101,30",
1535,Urad za varovanje tajnih podatkov,"545260 581060 106,57",
13,"NACIONALNA VARNOST, OBRAMBA IN ZUNANJE","545260 581060 106,57",
,ZADEVE,,
1302,Notranje zadeve in nacionalna varnost,"545260 581060 106,57",
130203,Obveščevalno-varnostna dejavnost,"545260 581060 106,57",
13020301,Varovanje tajnih  podatkov,"545260 581060 106,57",
152,SLOVENSKA OBVEŠČEVALNO-VARNOSTNA AGENCIJA,"13273865 13451897 101,34",
1524,Slovenska obveščevalno - varnostna agencija,"13273865 13451897 101,34",
13,"NACIONALNA VARNOST, OBRAMBA IN ZUNANJE","13273865 13451897 101,34",
,ZADEVE,,
1302,Notranje zadeve in nacionalna varnost,"13273865 13451897 101,34",
130203,Obveščevalno-varnostna dejavnost,"13273865 13451897 101,34",
13020302,Zagotavljanje obveščevalno-varnostnih,"4064933 3807641 93,67",
,"informacij za odjemalce, pridobljene s",,
,"tehničnimi sredstvi (SIGINT), varnih",,
,elektronskih komunikacij in sodobne,,
,informacijsko-telekomunikacijske podpore,,
,vsem sistemskim funkcijam,,
13020303,Zagotavljanje obveščevalno-varnostnih,"9208933 9644256 104,73",
,"informacij za odjemalce, pridobljene z",,
,obveščevalnim delom človeških virov in,,
,mednarodnim sodelovanjem (HUMINT),,
154,URAD VLADE RS ZA SLOVENCE V ZAMEJSTVU IN PO,"10220609 9592335 93,85",
,SVETU,,
1537,Urad Vlade RS za Slovence v zamejstvu in po svetu,"10220609 9592335 93,85",
12,INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE,"10220609 9592335 93,85",
,DRUŽBE,,
1202,Podpora nevladnih organizacij in civilne družbe,"10220609 9592335 93,85",
120201,Podpora nevladnih organizacij in civilne družbe,"10220609 9592335 93,85",
12020105,Podpora Slovencem izven Republike,"10220609 9592335 93,85",
,Slovenije,,
155,SLUŽBA VLADE ZA ZAKONODAJO,"2132376 2057825 96,50",
1517,Služba vlade za zakonodajo,"2132376 2057825 96,50",
15,"INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN","2132376 2057825 96,50",
,VARNOSTI,,
1503,"Urejanje sistema, podporne dejavnosti in","2132376 2057825 96,50",
,"administracija na področju institucij pravne države,",,
,svobode in varnosti,,
150301,"Urejanje sistema, podporne dejavnosti in","2132376 2057825 96,50",
,administracija na področju institucij pravne,,
,"države, svobode in varnosti",,
15030101,Zagotavljanje delovanja pravne države,"2132376 2057825 96,50",
156,STATISTIČNI URAD REPUBLIKE SLOVENIJE,"13073593 13131852 100,45",
1522,Statistični urad Republike Slovenije,"13073593 13131852 100,45",
14,UPRAVLJANJE SISTEMOV JAVNE UPRAVE,"13073593 13131852 100,45",
1402,Ekonomska in javnofinančna politika,"13073593 13131852 100,45",
140201,Podlage ekonomske in razvojne politike ter,"13073593 13131852 100,45",
,priprava makroekonomskih analiz in napovedi,,
14020101,Statistične storitve,"13073593 13131852 100,45",
,,Stran 3 od 37,
,,v eurih,
,BLC / NADSKUPINA / SPU / PU / PO / PG / PPG / DE,Rebalans II Realizacija Real / Reb II,
,,prora&#269;una&#202;2012 prora&#269;una&#202;2012,
159,URAD RS ZA MAKROEKONOMSKE ANALIZE IN RAZVOJ,"2367510 2391916 101,03",
1532,Urad RS za makroekonomske analize in razvoj,"2367510 2391916 101,03",
14,UPRAVLJANJE SISTEMOV JAVNE UPRAVE,"2367510 2391916 101,03",
1402,Ekonomska in javnofinančna politika,"2367510 2391916 101,03",
140201,Podlage ekonomske in razvojne politike ter,"2367510 2391916 101,03",
,priprava makroekonomskih analiz in napovedi,,
14020102,Priprava podlag in analiz ekonomske in,"2367510 2391916 101,03",
,razvojne politike,,
16,MINISTRSTVO ZA FINANCE,"2820303630 2639818513 93,60",
1611,Ministrstvo za finance,"2655062859 2473166853 93,15",
01,PODJETNIŠTVO IN KONKURENČNOST,"6564380 2750393 41,90",
0102,Spodbujanje rasti in razvoja podjetij,"6564380 2750393 41,90",
010202,Spodbujanje tujih investicij in odprtosti,"5761862 1958056 33,98",
,gospodarstva,,
01020204,Dodeljevanje finančnih spodbud in,"5761862 1958056 33,98",
,financiranje,,
010204,Podpora prestrukturiranju nefinančnih družb,"802518 792336 98,73",
01020401,Izdajanje poroštev in jamstev države,"484000 413112 85,35",
01020402,Upravljanje s finančnim premoženjem države,"318518 379224 119,06",
10,SOCIALNA VARNOST,"1398157732 1363790526 97,54",
1003,Pokojninsko in invalidsko varstvo,"1398157732 1363790526 97,54",
100301,Pokojnine,"1398157732 1363790526 97,54",
10030101,Izplačevanje vseh pravic na podlagi,"1398157732 1363790526 97,54",
,pokojninskega in invalidskega zavarovanja,,
13,"NACIONALNA VARNOST, OBRAMBA IN ZUNANJE","4890742 4573669 93,52",
,ZADEVE,,
1303,Zunanja politika,"4890742 4573669 93,52",
130303,Razvojno sodelovanje in humanitarna pomoč,"4890742 4573669 93,52",
13030305,Multilateralno razvojno sodelovanje in druge,"4890742 4573669 93,52",
,multilateralne mednarodne obveznosti,,
14,UPRAVLJANJE SISTEMOV JAVNE UPRAVE,"35041302 32908614 93,91",
1401,Upravljanje sistemov javne uprave na državni in,"5427168 5427168 100,00",
,lokalni ravni,,
140104,Lokalna samouprava,"5427168 5427168 100,00",
14010404,Dopolnilna sredstva občinam,"5427168 5427168 100,00",
1402,Ekonomska in javnofinančna politika,"28868444 27041211 93,67",
140202,Urejanje na področju javnofinančne politike ter,"28868444 27041211 93,67",
,fiskalni nadzor,,
14020201,Vodenje javnofinančne politike in fiskalni,"28868444 27041211 93,67",
,nadzor,,
1403,"Urejanje sistema, podporne dejavnosti in","745690 440235 59,04",
,administracija na področju upravljanja sistemov javne,,
,uprave,,
140301,"Urejanje sistema, podporne dejavnosti in","745690 440235 59,04",
,administracija na področju upravljanja sistemov,,
,javne uprave,,
14030107,Sistem kohezijske politike,"745690 440235 59,04",
15,"INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN","6980927 5599839 80,22",
,VARNOSTI,,
1501,Pravosodje,"6980927 5599839 80,22",
150104,Poprava krivic in odškodnine,"6980927 5599839 80,22",
15010402,Izplačilo obveznosti po Zakonu o,"720000 520540 72,30",
,denacionalizaciji,,
15010403,Izplačilo odškodnin po sodnih sklepih in,"6260927 5079299 81,13",
,izvensodnih poravnavah,,
16,"SERVISIRANJE JAVNEGA DOLGA, PLAČILA V","1203427776 1063543813 88,38",
,EVROPSKO UNIJO IN REZERVE,,
1601,Servisiranje javnega dolga,"673282208 654346068 97,19",
160101,Servisiranje domačega dolga,"624172386 564449901 90,43",
16010101,Obveznosti iz naslova obresti domačega,"624172386 564449901 90,43",
,dolga,,
160102,Servisiranje dolga do tujine,"44536140 68065731 152,83",
16010201,Obveznosti iz naslova obresti tujega dolga,"44536140 68065731 152,83",
