"","A Bilanca odhodkov","9013907176",""
"1","NEVLADNI PRORAČUNSKI UPORABNIKI","63991449",""
"11","PREDSEDNIK REPUBLIKE SLOVENIJE","2692831",""
"1111","Predsednik Republike Slovenije","2692831",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","2692831",""
"1201","Institucije političnega sistema","2692831",""
"120101","Dejavnost političnih institucij","2692831",""
"12010101","Delovanje UPRS in podpora izvrševanju funkcije predsednika republike in bivšega predsednika republike","2692831",""
"121","DRŽAVNI ZBOR","26348516",""
"1211","Državni zbor","26348516",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","26348516",""
"1201","Institucije političnega sistema","26348516",""
"120101","Dejavnost političnih institucij","26348516",""
"12010105","Dejavnost Državnega zbora","26348516",""
"122","DRŽAVNI SVET","1966510",""
"1212","Državni svet","1966510",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","1966510",""
"1201","Institucije političnega sistema","1966510",""
"120101","Dejavnost političnih institucij","1966510",""
"12010103","Dejavnost Državnega sveta Republike Slovenije","1966510",""
"123","DRŽAVNA VOLILNA KOMISIJA","11023000",""
"1213","Državna volilna komisija","11023000",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","11023000",""
"1201","Institucije političnega sistema","11023000",""
"120101","Dejavnost političnih institucij","11023000",""
"12010104","Izvedba volitev in referendumov","11023000",""
"124","VARUH ČLOVEKOVIH PRAVIC","2030000",""
"1214","Varuh človekovih pravic","2030000",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","2030000",""
"1201","Institucije političnega sistema","2030000",""
"120103","Varstvo ustavnosti in nadzor človekovih pravic","2030000",""
"12010302","Varovanje človekovih pravic","2030000",""
"125","INFORMACIJSKI POOBLAŠČENEC","1396801",""
"1215","Informacijski pooblaščenec","1396801",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","1396801",""
"1201","Institucije političnega sistema","1396801",""
"120102","Dejavnost institucij nadzora pravne države","1396801",""
"12010204","Dejavnost Informacijskega pooblaščenca","1396801",""
"127","NACIONALNA AGENCIJA RS ZA KAKOVOST V VISOKEM ŠOLSTVU","1045576",""
"1217","Nacionalna agencija RS za kakovost v visokem šolstvu","1045576",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","1045576",""
"0201","Visoko šolstvo","1045576",""
"020101","Visokošolsko izobraževanje","1045576",""
"02010105","Kakovost visokega šolstva","1045576",""
"131","USTAVNO SODIŠČE","4211781",""
"1311","Ustavno sodišče","4211781",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","4211781",""
"1201","Institucije političnega sistema","4211781",""
"120103","Varstvo ustavnosti in nadzor človekovih pravic","4211781",""
"12010301","Varstvo ustavnosti in zakonitosti","4211781",""
"132","RAČUNSKO SODIŠČE","5574807",""
"1312","Računsko sodišče","5574807",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","5574807",""
"1201","Institucije političnega sistema","5574807",""
"120102","Dejavnost institucij nadzora pravne države","5574807",""
"12010201","Dejavnost računskega sodišča","5574807",""
"134","DRŽAVNA REVIZIJSKA KOMISIJA","1090059",""
"1314","Državna revizijska komisija","1090059",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","1090059",""
"1201","Institucije političnega sistema","1090059",""
"120102","Dejavnost institucij nadzora pravne države","1090059",""
"12010202","Dejavnost Državne revizijske komisije","1090059",""
"135","KOMISIJA ZA PREPREČEVANJE KORUPCIJE","1729510",""
"1315","Komisija za preprečevanje korupcije","1729510",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","1729510",""
"1201","Institucije političnega sistema","1729510",""
"120102","Dejavnost institucij nadzora pravne države","1729510",""
"12010203","Dejavnost Komisije za preprečevanje korupcije","1729510",""
"136","AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB RS","1223402",""
"1316","Agencija za upravljanje kapitalskih naložb RS","1223402",""
"01","PODJETNIŠTVO IN KONKURENČNOST","1223402",""
"0102","Spodbujanje rasti in razvoja podjetij","1223402",""
"010204","Podpora prestrukturiranju nefinančnih družb","1223402",""
"01020407","Upravljanje s finančnim premoženjem države","1223402",""
"39","SLOVENSKA AKADEMIJA ZNANOSTI IN UMETNOSTI","3658656",""
"3911","Slovenska akademija znanosti in umetnosti","3658656",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","3658656",""
"0202","Znanstveno - raziskovalna dejavnost","3658656",""
"020201","Raziskovalni programi in projekti","400000",""
"02020104","Raziskovalni programi in projekti","400000",""
"020202","Človeški viri v podporo znanosti, visokega šolstva in tehnološkega razvoja","3258656",""
"02020204","Podpora znanosti in umetnosti","3258656",""
"2","VLADNI PRORAČUNSKI UPORABNIKI","8763958016",""
"14","KABINET PREDSEDNIKA VLADE","1585000",""
"1411","Kabinet predsednika vlade","1585000",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","1585000",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1585000",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1585000",""
"14030101","Dejavnost Kabineta predsednika vlade","1585000",""
"15","VLADNE SLUŽBE","21194683",""
"1511","Generalni sekretariat vlade","13306236",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","2741823",""
"1201","Institucije političnega sistema","2741823",""
"120101","Dejavnost političnih institucij","2741823",""
"12010106","Politične institucije","2741823",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","10564413",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","10564413",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","10564413",""
"14030102","Delovanje vlade","6683413",""
"14030104","JGZ Brdo","3881000",""
"1512","Protokol v vladi Republike Slovenije","1499356",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","1499356",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1499356",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1499356",""
"14030103","Izvajanje Protokola Vlade RS","1499356",""
"1518","Urad vlade za komuniciranje","5843831",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","5843831",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","5843831",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","5843831",""
"14030105","Komuniciranje z javnostmi","5843831",""
"1535","Urad za varovanje tajnih podatkov","545260",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","545260",""
"1302","Notranje zadeve in nacionalna varnost","545260",""
"130203","Obveščevalno-varnostna dejavnost","545260",""
"13020301","Varovanje tajnih  podatkov","545260",""
"152","SLOVENSKA OBVEŠČEVALNO-VARNOSTNA AGENCIJA","13273865",""
"1524","Slovenska obveščevalno - varnostna agencija","13273865",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","13273865",""
"1302","Notranje zadeve in nacionalna varnost","13273865",""
"130203","Obveščevalno-varnostna dejavnost","13273865",""
"13020302","Zagotavljanje obveščevalno-varnostnih informacij za odjemalce, pridobljene s tehničnimi sredstvi (SIGINT), varnih elektronskih komunikacij in sodobne informacijsko-telekomunikacijske podpore vsem sistemskim funkcijam","4064933",""
"13020303","Zagotavljanje obveščevalno-varnostnih informacij za odjemalce, pridobljene z obveščevalnim delom človeških virov in mednarodnim sodelovanjem (HUMINT)","9208933",""
"154","URAD VLADE RS ZA SLOVENCE V ZAMEJSTVU IN PO SVETU","10220609",""
"1537","Urad Vlade RS za Slovence v zamejstvu in po svetu","10220609",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","10220609",""
"1202","Podpora nevladnih organizacij in civilne družbe","10220609",""
"120201","Podpora nevladnih organizacij in civilne družbe","10220609",""
"12020105","Podpora Slovencem izven Republike Slovenije","10220609",""
"155","SLUŽBA VLADE ZA ZAKONODAJO","2132376",""
"1517","Služba vlade za zakonodajo","2132376",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","2132376",""
"1503","Urejanje sistema, podporne dejavnosti in administracija na področju institucij pravne države, svobode in varnosti","2132376",""
"150301","Urejanje sistema, podporne dejavnosti in administracija na področju institucij pravne države, svobode in varnosti","2132376",""
"15030101","Zagotavljanje delovanja pravne države","2132376",""
"156","STATISTIČNI URAD REPUBLIKE SLOVENIJE","13073593",""
