"","A Bilanca odhodkov","9013907176",""
"1522","Statistični urad Republike Slovenije","13073593",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","13073593",""
"1402","Ekonomska in javnofinančna politika","13073593",""
"140201","Podlage ekonomske in razvojne politike ter priprava makroekonomskih analiz in napovedi","13073593",""
"14020101","Statistične storitve","13073593",""
"159","URAD RS ZA MAKROEKONOMSKE ANALIZE IN RAZVOJ","2367510",""
"1532","Urad RS za makroekonomske analize in razvoj","2367510",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","2367510",""
"1402","Ekonomska in javnofinančna politika","2367510",""
"140201","Podlage ekonomske in razvojne politike ter priprava makroekonomskih analiz in napovedi","2367510",""
"14020102","Priprava podlag in analiz ekonomske in razvojne politike","2367510",""
"16","MINISTRSTVO ZA FINANCE","2820303630",""
"1611","Ministrstvo za finance","2655062859",""
"01","PODJETNIŠTVO IN KONKURENČNOST","6564380",""
"0102","Spodbujanje rasti in razvoja podjetij","6564380",""
"010202","Spodbujanje tujih investicij in odprtosti gospodarstva","5761862",""
"01020204","Dodeljevanje finančnih spodbud in financiranje","5761862",""
"010204","Podpora prestrukturiranju nefinančnih družb","802518",""
"01020401","Izdajanje poroštev in jamstev države","484000",""
"01020402","Upravljanje s finančnim premoženjem države","318518",""
"10","SOCIALNA VARNOST","1398157732",""
"1003","Pokojninsko in invalidsko varstvo","1398157732",""
"100301","Pokojnine","1398157732",""
"10030101","Izplačevanje vseh pravic na podlagi pokojninskega in invalidskega zavarovanja","1398157732",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","4890742",""
"1303","Zunanja politika","4890742",""
"130303","Razvojno sodelovanje in humanitarna pomoč","4890742",""
"13030305","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","4890742",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","35041302",""
"1401","Upravljanje sistemov javne uprave na državni in lokalni ravni","5427168",""
"140104","Lokalna samouprava","5427168",""
"14010404","Dopolnilna sredstva občinam","5427168",""
"1402","Ekonomska in javnofinančna politika","28868444",""
"140202","Urejanje na področju javnofinančne politike ter fiskalni nadzor","28868444",""
"14020201","Vodenje javnofinančne politike in fiskalni nadzor","28868444",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","745690",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","745690",""
"14030107","Sistem kohezijske politike","745690",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","6980927",""
"1501","Pravosodje","6980927",""
"150104","Poprava krivic in odškodnine","6980927",""
"15010402","Izplačilo obveznosti po Zakonu o denacionalizaciji","720000",""
"15010403","Izplačilo odškodnin po sodnih sklepih in izvensodnih poravnavah","6260927",""
"16","SERVISIRANJE JAVNEGA DOLGA, PLAČILA V EVROPSKO UNIJO IN REZERVE","1203427776",""
"1601","Servisiranje javnega dolga","673282208",""
"160101","Servisiranje domačega dolga","624172386",""
"16010101","Obveznosti iz naslova obresti domačega dolga","624172386",""
"160102","Servisiranje dolga do tujine","44536140",""
"16010201","Obveznosti iz naslova obresti tujega dolga","44536140",""
"160103","Stroški financiranja in upravljanja z dolgom","4573682",""
"16010301","Obveznosti iz naslova stroškov financiranja in upravljanja z dolgom","4573682",""
"1602","Plačila v Evropsko unijo","403358016",""
"160201","Plačila sredstev v proračun Evropske unije","403358016",""
"16020101","Plačila sredstev v proračun EU","403358016",""
"1603","Oblikovanje rezerv in intervencijski programi","126787552",""
"160301","Splošna proračunska rezervacija","107890993",""
"16030101","Splošna proračunska rezervacija","107890993",""
"160302","Posebna proračunska rezerva in programi pomoči v primerih nesreč","18896559",""
"16030203","Posebna proračunska rezerva in programi pomoči v primerih nesreč","18896559",""
"1612","Davčna uprava RS","98401219",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","3283150",""
"1202","Podpora nevladnih organizacij in civilne družbe","3283150",""
"120201","Podpora nevladnih organizacij in civilne družbe","3283150",""
"12020103","Donacije dela dohodnine","3283150",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","95118069",""
"1401","Upravljanje sistemov javne uprave na državni in lokalni ravni","247169",""
"140102","Ravnanje s stvarnim premoženjem","247169",""
"14010203","Zagotavljanje prostorskih in drugih pogojev za delo državnih organov","247169",""
"1402","Ekonomska in javnofinančna politika","94870900",""
"140203","Davčna in carinska administracija","94870900",""
"14020301","Pobiranje javnofinančnih prihodkov","94870900",""
"1613","Carinska uprava RS","56049803",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","56049803",""
"1402","Ekonomska in javnofinančna politika","56049803",""
"140203","Davčna in carinska administracija","56049803",""
"14020302","Pobiranje javnofinančnih prihodkov, trošarinski in okoljski davčni nadzor ter  carinski nadzor zunanje meja EU","56049803",""
"1615","Urad RS za preprečevanje pranja denarja","628410",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","628410",""
"1402","Ekonomska in javnofinančna politika","628410",""
"140202","Urejanje na področju javnofinančne politike ter fiskalni nadzor","628410",""
"14020205","Izvajanje nadzora nad preprečevanje pranja denarja in preprečevanjem terorizma","628410",""
"1617","Urad RS za nadzor prirejanja iger na srečo","1198670",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","1198670",""
"1402","Ekonomska in javnofinančna politika","1198670",""
"140202","Urejanje na področju javnofinančne politike ter fiskalni nadzor","1198670",""
"14020204","Izvajanje nadzora nad klasičnimi in posebnimi igrami na srečo","1198670",""
"1618","Uprava RS za javna plačila","6508359",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","6508359",""
"1402","Ekonomska in javnofinančna politika","6508359",""
"140202","Urejanje na področju javnofinančne politike ter fiskalni nadzor","6508359",""
"14020206","Izvajanje plačilnih storitev za proračunske uporabnike","6508359",""
"1619","Urad RS za nadzor proračuna","2454311",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","2454311",""
"1402","Ekonomska in javnofinančna politika","1888740",""
"140202","Urejanje na področju javnofinančne politike ter fiskalni nadzor","1888740",""
"14020207","Notranji nadzor javnih financ","315396",""
"14020208","Proračunsko inšpiciranje","327280",""
"14020209","Revidiranje izdatkov in sistemov delitve sredstev evropskih virov financiranja","934043",""
"14020211","Zaščita finančnih interesov ES","49857",""
"14020212","Vodstvene in podporne dejavnosti","262164",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","565571",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","565571",""
"14030107","Sistem kohezijske politike","565571",""
"17","MINISTRSTVO ZA NOTRANJE ZADEVE","325211889",""
"1711","Ministrstvo za notranje zadeve","30379763",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","4650982",""
"1202","Podpora nevladnih organizacij in civilne družbe","4650982",""
"120201","Podpora nevladnih organizacij in civilne družbe","4650982",""
"12020101","Podpora narodnim skupnostim in Romom","4650982",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","25712781",""
"1302","Notranje zadeve in nacionalna varnost","25712781",""
"130201","Temeljne naloge policije","1472198",""
"13020101","Temeljna policijska dejavnost","89838",""
"13020104","Operativna podpora temeljni policijski in kriminalistični dejavnosti","1382360",""
"130204","Urejanje notranjih zadev","20469429",""
"13020401","Izvajanje nalog in normativno urejanje področja notranjih zadev","1202288",""
"13020402","Operativna podpora delovanja ministrstva za notranje zadeve","19267141",""
"130205","Migracije in mednarodna zaščita","3771154",""
"13020501","Izvajanje ukrepov in spremljanje stanja na področju migracij, mednarodne zaščite in integracije beguncev in tujcev","3771154",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","16000",""
"1502","Dejavnosti drugih institucij na področju pravne države, svobode in varnosti","16000",""
"150204","Nadzor s področja notranjih zadev, policije, zasebnega varovanja in detektivske dejavnosti","16000",""
"15020402","Razvoj politike spremljanja dela policije","16000",""
"1714","Policija","294082226",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","291165077",""
"1302","Notranje zadeve in nacionalna varnost","291165077",""
"130201","Temeljne naloge policije","291165077",""
"13020101","Temeljna policijska dejavnost","270666082",""
"13020103","Temeljna kriminalistična dejavnost","11999932",""
"13020104","Operativna podpora temeljni policijski in kriminalistični dejavnosti","8499062",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","2917149",""
"1502","Dejavnosti drugih institucij na področju pravne države, svobode in varnosti","2917149",""
"150202","Vzpostavitev in krepitev inštitucij obravnave najhujših oblik finančne kriminalitete","2917149",""
"15020201","Izvajanje nalog za uspešno in učinkovito omejevanje najhujših oblik gospodarske, organizirane in korupcijske kriminalitete, učinkovitejše odkrivanje","2917149",""
"1715","Inšpektorat RS za notranje zadeve","749900",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","749900",""
"1302","Notranje zadeve in nacionalna varnost","749900",""
"130204","Urejanje notranjih zadev","749900",""
"13020402","Operativna podpora delovanja ministrstva za notranje zadeve","749900",""
"18","MINISTRSTVO ZA ZUNANJE ZADEVE","79541871",""
"1811","Ministrstvo za zunanje zadeve","79541871",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","79541871",""
"1303","Zunanja politika","79541871",""
"130301","Politična  diplomacija","33881573",""
"13030101","Izvajanje zunanje politike","33881573",""
"130302","Dejavnosti diplomatsko-konzularnih predstavništev in konzularna pomoč","35229320",""
"13030201","Diplomatsko konzularna mreža","35229320",""
"130303","Razvojno sodelovanje in humanitarna pomoč","10038086",""
"13030304","Tesno medinstitucionalno sodelovanje (namenska sredstva EU)","129581",""
"13030306","Bilateralno razvojno sodelovanje","9908505",""
"130304","Gospodarska diplomacija","392892",""
"13030401","Gospodarska diplomacija","392892",""
"19","MINISTRSTVO ZA OBRAMBO","380852234",""
"1911","Ministrstvo za obrambo","44953310",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","851366",""
"0202","Znanstveno - raziskovalna dejavnost","139066",""
"020201","Raziskovalni programi in projekti","139066",""
"02020105","Znanstvene raziskave za potrebe programa Obramba in zaščita","139066",""
"0203","Tehnologija in informacijska družba","712300",""
"020301","Podpora tehnološkim razvojnim projektom","712300",""
"02030105","Potrebe programa obramba in zaščita","712300",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","44101944",""
"1301","Obramba in zaščita","44101944",""
"130103","Upravljanje obrambnega sistema in krizno upravljanje","44101944",""
"13010302","Nadzor na področju Obrambe in zaščite","31786",""
"13010303","Zagotavljanje pogojev za delovanje programa Obrambe in zaščite","25823872",""
"13010305","Vodenje in upravljanje na področju Obrambe in zaščite","2494978",""
"13010306","Obrambna politika in obrambno planiranje","4142868",""
"13010307","Krizno upravljanje","3101258",""
"13010308","Civilne zmogljivosti za mednarodne operacije in misije","559187",""
"13010309","Zagotavljanje kadra za vojaško obrambo","2057320",""
"13010310","Obveščevalne, protiobveščevalne in varnostne naloge","5890675",""
"1912","Uprava RS za zaščito in reševanje","30608708",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","30608708",""
"1301","Obramba in zaščita","30497766",""
"130102","Varstvo pred naravnimi in drugimi nesrečami","30497766",""
"13010203","Delovanje reševalnih služb in sestavov (komisije, enote in štabi CZ) in ocenjevanja škode  po naravnih in drugih nesrečah","468173",""
"13010204","Informacijski in komunikacijski sistem na področju VNDN","2203853",""
"13010205","Izobraževanje in usposabljanje, preverjanje usposobljenosti pripadnikov sil za ZRP  ter izvajanje seznanitev prebivalcev s temami s področja ZiR","2309299",""
"13010207","Oblikovanje in vzdrževanje državnih rezerv materialnih sredstev in opremljanje štabov, enot in služb civilne zaščite na ravni države","1555183",""
"13010209","Preventivna dejavnost","835727",""
"13010212","Odzivnost in delovanje reševalnih enot","6229227",""
"13010213","Zagotavljanje materialnih in kadrovskih virov za delovanje sistema VNDN","10488437",""
"13010214","Zagotavljanje VNDN na mednarodni ravni","1007867",""
"13010215","Požarni sklad","5400000",""
"1303","Zunanja politika","110942",""
"130303","Razvojno sodelovanje in humanitarna pomoč","110942",""
"13030308","Mednarodno razvojno sodelovanje","110942",""
"1913","Inšpektorat RS za varstvo pred naravnimi in drugimi nesrečami","2467037",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","2467037",""
"1301","Obramba in zaščita","2467037",""
"130102","Varstvo pred naravnimi in drugimi nesrečami","2467037",""
"13010206","Načrtovanje in izvedba inšpekcijskih nadzorov ter zagotavljanje pogojev za delovanje inšpektorata","2467037",""
"1914","Generalštab Slovenske vojske","302018193",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","302018193",""
"1301","Obramba in zaščita","302018193",""
"130101","Vojaška obramba","302018193",""
"13010101","Članstvo v mednarodnih organizacijah in sodelovanje z domačim okoljem","6496193",""
"13010102","Infrastruktura in opremljanje SV","11851221",""
"13010103","Operativno delovanje in pripravljenost SV","53621971",""
"13010104","Upravljanje, izobraževanje in oskrba kadrov","230048808",""
"1915","Inšpektorat RS za obrambo","804986",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","804986",""
"1301","Obramba in zaščita","804986",""
"130103","Upravljanje obrambnega sistema in krizno upravljanje","804986",""
"13010302","Nadzor na področju Obrambe in zaščite","804986",""
"203","MINISTRSTVO ZA PRAVOSODJE IN JAVNO UPRAVO","104728677",""
"2030","Ministrstvo za pravosodje in javno upravo","68813743",""
"04","IZOBRAŽEVANJE IN ŠPORT","275458",""
"0401","Formalno izobraževanje in usposabljanje","275458",""
"040106","Štipendije","275458",""
"04010601","Štipendiranje","5458",""
"04010603","Štipendiranje","270000",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","2456721",""
"1202","Podpora nevladnih organizacij in civilne družbe","2456721",""
"120201","Podpora nevladnih organizacij in civilne družbe","2456721",""
"12020104","Krepitev NVO","2456721",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","1503062",""
"1302","Notranje zadeve in nacionalna varnost","1503062",""
"130201","Temeljne naloge policije","1503062",""
"13020102","Temeljna policijska dejavnost","1503062",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","48335190",""
"1401","Upravljanje sistemov javne uprave na državni in lokalni ravni","37323063",""
"140101","E-upravljanje, informacijsko-komunikacijska infrastruktura in boljši predpisi","23550941",""
"14010101","Zagotavljanje delovanja informacijske in komunikacijske infrastrukture ter razvoj E-uprave","19867161",""
"14010102","Aktivnosti na področju JU","27925",""
"14010103","Mednarodni razvojni projekti","149748",""
"14010104","Projekti ESS","3506108",""
"140102","Ravnanje s stvarnim premoženjem","10445235",""
"14010201","Ravnanje s stvarnim premoženjem","195690",""
"14010202","Upravljanje s stanovanjskim fondom in počitniškimi enotami","1203363",""
"14010203","Zagotavljanje prostorskih in drugih pogojev za delo državnih organov","9046181",""
"140104","Lokalna samouprava","3326888",""
"14010402","Sistem lokalne samouprave","3326888",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","11012127",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","11012127",""
"14030107","Sistem kohezijske politike","531808",""
"14030111","Delovanje uradniškega sveta in komisije za pritožbe","28063",""
"14030113","Podporne dejavnosti in administracija MJU","10142256",""
"14030114","Usposabljanja in izpiti","310000",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","16243311",""
"1501","Pravosodje","24017",""
"150105","Alternativno reševanje pravosodnih sporov","24017",""
"15010501","Izobraževanje nevtralnih oseb","24017",""
"1503","Urejanje sistema, podporne dejavnosti in administracija na področju institucij pravne države, svobode in varnosti","16219294",""
"150301","Urejanje sistema, podporne dejavnosti in administracija na področju institucij pravne države, svobode in varnosti","16219294",""
"15030102","Podpora pravosodnemu sistemu","16219294",""
"2031","Uprava RS za izvrševanje kazenskih sankcij","35387330",""
"11","ZDRAVSTVENO VARSTVO","2877123",""
"1101","Zdravstveno varstvo","2877123",""
"110106","Zdravstveno zavarovanje določenih kategorij prebivalstva","2877123",""
"11010601","Izvrševanje kazenskih sankcij","2877123",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","32510208",""
"1501","Pravosodje","32510208",""
"150103","Izvrševanje kazenskih sankcij","32510208",""
"15010301","Izvrševanje kazenskih sankcij","32510208",""
"2032","Inšpektorat za javno upravo","527604",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","527604",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","527604",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","527604",""
"14030112","Inšpekcijski nadzor in izvrševanje odločb","527604",""
"213","MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO","327304576",""
"2130","Ministrstvo za gospodarski razvoj in tehnologijo","315480168",""
"01","PODJETNIŠTVO IN KONKURENČNOST","230821717",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","45131796",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","45131796",""
"01010101","JAPTI","1800000",""
"01010102","Podporno okolje za podjetništvo","1473000",""
"01010103","Razvojni centri slovenskega gospodarstva","29521202",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","8678647",""
"01010105","Urejanje in sooblikovanje mednarodnega poslovnega okolja","120000",""
"01010106","Podpora podprogramu 010101","3538947",""
"0102","Spodbujanje rasti in razvoja podjetij","56013078",""
"010201","Spodbude za rast in razvoj podjetij","9015535",""
"01020101","Podpora  rasti in razvoj podjetij","8600000",""
"01020105","Podpora podprogramu 010201","415535",""
"010202","Spodbujanje tujih investicij in odprtosti gospodarstva","13405508",""
"01020201","Dodeljevanje finančnih spodbud in financiranje","10866111",""
"01020202","Podporne, promocijske in pospeševalne aktivnosti","2150000",""
"01020203","Podpora podprogramu 010202","389397",""
"010203","Podpora razvoja turizma","26764150",""
"01020301","Razvoj človeških virov in dvig kakovosti","150000",""
"01020302","Razvoj turističnih destinacij","1553999",""
"01020303","Spodbujanje investicij v turistično in drugo za turizem pomembno infrastrukturo","19254622",""
"01020304","Trženje in promocija slovenskega turizma","5350000",""
"01020305","Podpora podprogramu 010203","455530",""
"010204","Podpora prestrukturiranju nefinančnih družb","6827884",""
"01020403","Reševanje in prestrukturiranje  podjetij","5552757",""
