"A","Bilanca odhodkov","9652121502 9362820683 97,00",""
"1217","Nacionalna agencija RS za kakovost v visokem šolstvu","2706785 1155578 42,69",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","2706785 1155578 42,69",""
"0201","Visoko šolstvo","2706785 1155578 42,69",""
"020101","Visokošolsko izobraževanje","2706785 1155578 42,69",""
"02010105","Kakovost visokega šolstva","2706785 1155578 42,69",""
"131","USTAVNO SODIŠČE","4809738 4710429 97,94",""
"1311","Ustavno sodišče","4809738 4710429 97,94",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","4809738 4710429 97,94",""
"1201","Institucije političnega sistema","4809738 4710429 97,94",""
"120103","Varstvo ustavnosti in nadzor človekovih pravic","4809738 4710429 97,94",""
"12010301","Varstvo ustavnosti in zakonitosti","4809738 4710429 97,94",""
"132","RAČUNSKO SODIŠČE","6116143 5966285 97,55",""
"1312","Računsko sodišče","6116143 5966285 97,55",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","6116143 5966285 97,55",""
"1201","Institucije političnega sistema","6116143 5966285 97,55",""
"120102","Dejavnost institucij nadzora pravne države","6116143 5966285 97,55",""
"12010201","Dejavnost računskega sodišča","6116143 5966285 97,55",""
"134","DRŽAVNA REVIZIJSKA KOMISIJA","1272751 1154538 90,71",""
"1314","Državna revizijska komisija","1272751 1154538 90,71",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","1272751 1154538 90,71",""
"1201","Institucije političnega sistema","1272751 1154538 90,71",""
"120102","Dejavnost institucij nadzora pravne države","1272751 1154538 90,71",""
"12010202","Dejavnost Državne revizijske komisije","1272751 1154538 90,71",""
"135","KOMISIJA ZA PREPREČEVANJE KORUPCIJE","1942299 1738838 89,52",""
"1315","Komisija za preprečevanje korupcije","1942299 1738838 89,52",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","1942299 1738838 89,52",""
"1201","Institucije političnega sistema","1942299 1738838 89,52",""
"120102","Dejavnost institucij nadzora pravne države","1942299 1738838 89,52",""
"12010203","Dejavnost Komisije za preprečevanje korupcije","1942299 1738838 89,52",""
"136","AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB RS","1895591 1320610 69,67",""
"1316","Agencija za upravljanje kapitalskih naložb RS","1895591 1320610 69,67",""
"01","PODJETNIŠTVO IN KONKURENČNOST","1895591 1320610 69,67",""
"0102","Spodbujanje rasti in razvoja podjetij","1895591 1320610 69,67",""
"010204","Podpora prestrukturiranju nefinančnih družb","1895591 1320610 69,67",""
"01020407","Upravljanje s finančnim premoženjem države","1895591 1320610 69,67",""
"39","SLOVENSKA AKADEMIJA ZNANOSTI IN UMETNOSTI","4123282 3940431 95,57",""
"3911","Slovenska akademija znanosti in umetnosti","4123282 3940431 95,57",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","4123282 3940431 95,57",""
"0202","Znanstveno - raziskovalna dejavnost","4123282 3940431 95,57",""
"020201","Raziskovalni programi in projekti","564369 618188 109,54",""
"02020104","Raziskovalni programi in projekti","564369 618188 109,54",""
"020202","Človeški viri v podporo znanosti, visokega šolstva in tehnološkega razvoja","3558913 3322243 93,35",""
"02020204","Podpora znanosti in umetnosti","3558913 3322243 93,35",""
"2","VLADNI PRORAČUNSKI UPORABNIKI","9379147368 9095237587 96,97",""
"14","KABINET PREDSEDNIKA VLADE","1852805 1704547 92,00",""
"1411","Kabinet predsednika vlade","1852805 1704547 92,00",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","1852805 1704547 92,00",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1852805 1704547 92,00",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1852805 1704547 92,00",""
"14030101","Dejavnost Kabineta predsednika vlade","1852805 1704547 92,00",""
"15","VLADNE SLUŽBE","30227068 29877718 98,84",""
"1511","Generalni sekretariat vlade","14044181 13069700 93,06",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","2688195 2688195 100,00",""
"1201","Institucije političnega sistema","2688195 2688195 100,00",""
"120101","Dejavnost političnih institucij","2688195 2688195 100,00",""
"12010106","Politične institucije","2688195 2688195 100,00",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","11355986 10381505 91,42",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","11355986 10381505 91,42",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","11355986 10381505 91,42",""
"14030102","Delovanje vlade","7155986 6181505 86,38",""
"14030104","JGZ Brdo","4200000 4200000 100,00",""
"1512","Protokol v vladi Republike Slovenije","1643471 1563683 95,15",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","1643471 1563683 95,15",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1643471 1563683 95,15",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1643471 1563683 95,15",""
"14030103","Izvajanje Protokola Vlade RS","1643471 1563683 95,15",""
"1515","Urad za enake možnosti","596904 436896 73,19",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","596904 436896 73,19",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","596904 436896 73,19",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","596904 436896 73,19",""
"14030106","Spremljanje položaja žensk in uresničevanje njihovih pravic","596904 436896 73,19",""
"1516","Urad za narodnosti vlade Republike Slovenije","4957327 4932057 99,49",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","4957327 4932057 99,49",""
"1202","Podpora nevladnih organizacij in civilne družbe","4957327 4932057 99,49",""
"120201","Podpora nevladnih organizacij in civilne družbe","4957327 4932057 99,49",""
"12020101","Podpora narodnim skupnostim in Romom","4957327 4932057 99,49",""
"1518","Urad vlade za komuniciranje","5731806 6647741 115,98",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","5731806 6647741 115,98",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","5731806 6647741 115,98",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","5731806 6647741 115,98",""
"14030105","Komuniciranje z javnostmi","5731806 6647741 115,98",""
"1526","Urad vlade za verske skupnosti","2756766 2665117 96,68",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","2756766 2665117 96,68",""
"1202","Podpora nevladnih organizacij in civilne družbe","2756766 2665117 96,68",""
"120201","Podpora nevladnih organizacij in civilne družbe","2756766 2665117 96,68",""
"12020102","Podpora verskim skupnostim","2756766 2665117 96,68",""
"1535","Urad za varovanje tajnih podatkov","496613 562524 113,27",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","496613 562524 113,27",""
"1302","Notranje zadeve in nacionalna varnost","496613 562524 113,27",""
"130203","Obveščevalno-varnostna dejavnost","496613 562524 113,27",""
"13020301","Varovanje tajnih  podatkov","496613 562524 113,27",""
"150","SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA RAZVOJ IN EVROPSKE ZADEVE","6131702 5714233 93,19",""
"1538","Služba Vlade Republike Slovenije za razvoj in evropske zadeve","6131702 5714233 93,19",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","442626 79124 17,88",""
"1303","Zunanja politika","442626 79124 17,88",""
"130303","Razvojno sodelovanje in humanitarna pomoč","442626 79124 17,88",""
"13030304","Tesno medinstitucionalno sodelovanje (namenska sredstva EU)","442626 79124 17,88",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","5689076 5635109 99,05",""
"1402","Ekonomska in javnofinančna politika","1661176 1932836 116,35",""
"140201","Podlage ekonomske in razvojne politike ter priprava makroekonomskih analiz in napovedi","1661176 1932836 116,35",""
"14020103","Razvojno načrtovanje in strukturne reforme","1661176 1932836 116,35",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","4027900 3702273 91,92",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","4027900 3702273 91,92",""
"14030109","Koordinacija evropskih zadev","1674821 1580725 94,38",""
"14030110","Podporna dejavnosti in administracija SVREZ","2353079 2121548 90,16",""
"151","SLUŽBA VLADE RS ZA LOKALNO SAMOUPRAVO IN REGIONALNO POLITIKO","183901147 154566309 84,05",""
"1536","Služba Vlade RS za lokalno samoupravo in regionalno politiko","183901147 154566309 84,05",""
"01","PODJETNIŠTVO IN KONKURENČNOST","144786658 97989807 67,68",""
"0103","Spodbujanje konkurenčnosti na regionalni ravni","144786658 97989807 67,68",""
"010301","Razvoj regij","144786658 97989807 67,68",""
"01030101","Dodatni začasni ukrepi za problemska območja","18784786 14626440 77,86",""
"01030102","Mednarodno teritorialno sodelovanje","7497683 4146731 55,31",""
"01030103","Regionalni razvoj","118314190 79058225 66,82",""
"01030104","Sistem regionalne politike","190000 158412 83,37",""
"05","KULTURA","0 2627530 ---",""
"0501","Kultura","0 2627530 ---",""
"050101","Programi v kulturi in mediji","0 2627530 ---",""
"05010101","Investicije na področju kulture","0 2627530 ---",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","0 157776 ---",""
"0601","Promet in prometna infrastruktura","0 157776 ---",""
"060102","Cestni promet in infrastruktura","0 157776 ---",""
"06010201","Investicijsko vzdrževanje in gradnja državnih cest","0 157776 ---",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","39114488 53791197 137,52",""
"1401","Upravljanje sistemov javne uprave na državni in lokalni ravni","29637482 45654414 154,04",""
"140104","Lokalna samouprava","29637482 45654414 154,04",""
"14010401","Investicije v občinah","26369341 42432900 160,92",""
"14010402","Sistem lokalne samouprave","3268141 3221514 98,57",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","9477006 8136783 85,86",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","9477006 8136783 85,86",""
"14030107","Sistem kohezijske politike","5627110 4516787 80,27",""
"14030108","Vodenje regionalne politike","3849896 3619996 94,03",""
"152","SLOVENSKA OBVEŠČEVALNO-VARNOSTNA AGENCIJA","15626254 14867353 95,14",""
"1524","Slovenska obveščevalno - varnostna agencija","15626254 14867353 95,14",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","15626254 14867353 95,14",""
"1302","Notranje zadeve in nacionalna varnost","15626254 14867353 95,14",""
"130203","Obveščevalno-varnostna dejavnost","15626254 14867353 95,14",""
"13020302","Zagotavljanje obveščevalno-varnostnih informacij za odjemalce, pridobljene s tehničnimi sredstvi (SIGINT), varnih elektronskih komunikacij in sodobne informacijsko-telekomunikacijske podpore vsem sistemskim funkcijam","4990592 4806766 96,32",""
"13020303","Zagotavljanje obveščevalno-varnostnih informacij za odjemalce, pridobljene z obveščevalnim delom človeških virov in mednarodnim sodelovanjem (HUMINT)","10635662 10060588 94,59",""
"1539","SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA PODNEBNE SPREMEMBE","767157 759386 98,99",""
"1539","Služba Vlade Republike Slovenije za podnebne spremembe","767157 759386 98,99",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","767157 759386 98,99",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","767157 759386 98,99",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","767157 759386 98,99",""
"09040103","Oblikovanje podnebnih politik in zakonodaje, ter izvajanje","767157 759386 98,99",""
"154","URAD VLADE RS ZA SLOVENCE V ZAMEJSTVU IN PO SVETU","10676140 10614379 99,42",""
"1537","Urad Vlade RS za Slovence v zamejstvu in po svetu","10676140 10614379 99,42",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","10676140 10614379 99,42",""
"1202","Podpora nevladnih organizacij in civilne družbe","10676140 10614379 99,42",""
"120201","Podpora nevladnih organizacij in civilne družbe","10676140 10614379 99,42",""
"12020105","Podpora Slovencem izven Republike Slovenije","10676140 10614379 99,42",""
"155","SLUŽBA VLADE ZA ZAKONODAJO","2292419 2263528 98,74",""
"1517","Služba vlade za zakonodajo","2292419 2263528 98,74",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","2292419 2263528 98,74",""
"1503","Urejanje sistema, podporne dejavnosti in administracija na področju institucij pravne države, svobode in varnosti","2292419 2263528 98,74",""
"150301","Urejanje sistema, podporne dejavnosti in administracija na področju institucij pravne države, svobode in varnosti","2292419 2263528 98,74",""
"15030101","Zagotavljanje delovanja pravne države","2292419 2263528 98,74",""
"156","STATISTIČNI URAD REPUBLIKE SLOVENIJE","13857451 12990729 93,75",""
"1522","Statistični urad Republike Slovenije","13857451 12990729 93,75",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","13857451 12990729 93,75",""
"1402","Ekonomska in javnofinančna politika","13857451 12990729 93,75",""
"140201","Podlage ekonomske in razvojne politike ter priprava makroekonomskih analiz in napovedi","13857451 12990729 93,75",""
"14020101","Statistične storitve","13857451 12990729 93,75",""
"159","URAD RS ZA MAKROEKONOMSKE ANALIZE IN RAZVOJ","2559643 2557178 99,90",""
"1532","Urad RS za makroekonomske analize in razvoj","2559643 2557178 99,90",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","2559643 2557178 99,90",""
"1402","Ekonomska in javnofinančna politika","2559643 2557178 99,90",""
"140201","Podlage ekonomske in razvojne politike ter priprava makroekonomskih analiz in napovedi","2559643 2557178 99,90",""
"14020102","Priprava podlag in analiz ekonomske in razvojne politike","2559643 2557178 99,90",""
"16","MINISTRSTVO ZA FINANCE","2636676787 2639372582 100,10",""
"1611","Ministrstvo za finance","2459946813 2460656721 100,03",""
"01","PODJETNIŠTVO IN KONKURENČNOST","3110108 1085257 34,89",""
"0102","Spodbujanje rasti in razvoja podjetij","3110108 1085257 34,89",""
"010202","Spodbujanje tujih investicij in odprtosti gospodarstva","1800000 0 0,00",""
"01020204","Dodeljevanje finančnih spodbud in financiranje","1800000 0 0,00",""
"010204","Podpora prestrukturiranju nefinančnih družb","1310108 1085257 82,84",""
"01020401","Izdajanje poroštev in jamstev države","944584 781535 82,74",""
"01020402","Upravljanje s finančnim premoženjem države","365524 303723 83,09",""
"10","SOCIALNA VARNOST","1435431156 1446177602 100,75",""
"1003","Pokojninsko in invalidsko varstvo","1435431156 1446177602 100,75",""
"100301","Pokojnine","1435431156 1446177602 100,75",""
"10030101","Izplačevanje vseh pravic na podlagi pokojninskega in invalidskega zavarovanja","1435431156 1446177602 100,75",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","4054126 3613969 89,14",""
"1303","Zunanja politika","4054126 3613969 89,14",""
"130303","Razvojno sodelovanje in humanitarna pomoč","4054126 3613969 89,14",""
"13030305","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","4054126 3613969 89,14",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","46622424 45540093 97,68",""
"1401","Upravljanje sistemov javne uprave na državni in lokalni ravni","15416760 14972098 97,12",""
"140104","Lokalna samouprava","15416760 14972098 97,12",""
"14010404","Dopolnilna sredstva občinam","15416760 14972098 97,12",""
"1402","Ekonomska in javnofinančna politika","30665430 30157055 98,34",""
"140202","Urejanje na področju javnofinančne politike ter fiskalni nadzor","30665430 30157055 98,34",""
"14020201","Vodenje javnofinančne politike in fiskalni nadzor","30665430 30157055 98,34",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","540234 410940 76,07",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","540234 410940 76,07",""
"14030107","Sistem kohezijske politike","540234 410940 76,07",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","10974278 11251081 102,52",""
"1501","Pravosodje","10974278 11251081 102,52",""
"150104","Poprava krivic in odškodnine","10974278 11251081 102,52",""
"15010401","Izplačilo obveznosti iz naslova vlaganj v javno telekomunikacijsko omrežje","2206813 1223968 55,46",""
"15010402","Izplačilo obveznosti po Zakonu o denacionalizaciji","975704 728763 74,69",""
"15010403","Izplačilo odškodnin po sodnih sklepih in izvensodnih poravnavah","7791761 9298351 119,34",""
"16","SERVISIRANJE JAVNEGA DOLGA, PLAČILA V EVROPSKO UNIJO IN REZERVE","959754722 952988719 99,30",""
"1601","Servisiranje javnega dolga","517984770 517162959 99,84",""
"160101","Servisiranje domačega dolga","444405411 444057007 99,92",""
"16010101","Obveznosti iz naslova obresti domačega dolga","444405411 444057007 99,92",""
"160102","Servisiranje dolga do tujine","66579358 66572120 99,99",""
"16010201","Obveznosti iz naslova obresti tujega dolga","66579358 66572120 99,99",""
"160103","Stroški financiranja in upravljanja z dolgom","7000000 6533832 93,34",""
"16010301","Obveznosti iz naslova stroškov financiranja in upravljanja z dolgom","7000000 6533832 93,34",""
"1602","Plačila v Evropsko unijo","393633107 405135638 102,92",""
"160201","Plačila sredstev v proračun Evropske unije","393633107 405135638 102,92",""
"16020101","Plačila sredstev v proračun EU","393633107 405135638 102,92",""
"1603","Oblikovanje rezerv in intervencijski programi","48136845 30690122 63,76",""
"160301","Splošna proračunska rezervacija","17446723 0 0,00",""
"16030101","Splošna proračunska rezervacija","17446723 0 0,00",""
"160302","Posebna proračunska rezerva in programi pomoči v primerih nesreč","30690122 30690122 100,00",""
"16030203","Posebna proračunska rezerva in programi pomoči v primerih nesreč","30690122 30690122 100,00",""
"1612","Davčna uprava RS","104531606 106500090 101,88",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","3354071 3283157 97,89",""
"1202","Podpora nevladnih organizacij in civilne družbe","3354071 3283157 97,89",""
"120201","Podpora nevladnih organizacij in civilne družbe","3354071 3283157 97,89",""
"12020103","Donacije dela dohodnine","3354071 3283157 97,89",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","101177535 103216934 102,02",""
"1402","Ekonomska in javnofinančna politika","101177535 103216934 102,02",""
"140203","Davčna in carinska administracija","101177535 103216934 102,02",""
"14020301","Pobiranje javnofinančnih prihodkov","101177535 103216934 102,02",""
"1613","Carinska uprava RS","60764478 61044324 100,46",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","60764478 61044324 100,46",""
"1402","Ekonomska in javnofinančna politika","60764478 61044324 100,46",""
"140203","Davčna in carinska administracija","60764478 61044324 100,46",""
"14020302","Pobiranje javnofinančnih prihodkov, trošarinski in okoljski davčni nadzor ter  carinski nadzor zunanje meja EU","60764478 61044324 100,46",""
"1615","Urad RS za preprečevanje pranja denarja","643942 670488 104,12",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","643942 670488 104,12",""
"1402","Ekonomska in javnofinančna politika","643942 670488 104,12",""
"140202","Urejanje na področju javnofinančne politike ter fiskalni nadzor","643942 670488 104,12",""
"14020205","Izvajanje nadzora nad preprečevanje pranja denarja in preprečevanjem terorizma","643942 670488 104,12",""
"1617","Urad RS za nadzor prirejanja iger na srečo","1345000 1293134 96,14",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","1345000 1293134 96,14",""
"1402","Ekonomska in javnofinančna politika","1345000 1293134 96,14",""
"140202","Urejanje na področju javnofinančne politike ter fiskalni nadzor","1345000 1293134 96,14",""
"14020204","Izvajanje nadzora nad klasičnimi in posebnimi igrami na srečo","1345000 1293134 96,14",""
"1618","Uprava RS za javna plačila","6828103 6823892 99,94",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","6828103 6823892 99,94",""
"1402","Ekonomska in javnofinančna politika","6828103 6823892 99,94",""
"140202","Urejanje na področju javnofinančne politike ter fiskalni nadzor","6828103 6823892 99,94",""
"14020206","Izvajanje plačilnih storitev za proračunske uporabnike","6828103 6823892 99,94",""
"1619","Urad RS za nadzor proračuna","2616844 2383932 91,10",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","2616844 2383932 91,10",""
"1402","Ekonomska in javnofinančna politika","2048214 1992366 97,27",""
"140202","Urejanje na področju javnofinančne politike ter fiskalni nadzor","2048214 1992366 97,27",""
"14020207","Notranji nadzor javnih financ","312836 325922 104,18",""
"14020208","Proračunsko inšpiciranje","295292 347821 117,79",""
"14020209","Revidiranje izdatkov in sistemov delitve sredstev evropskih virov financiranja","1088732 984328 90,41",""
"14020211","Zaščita finančnih interesov ES","49219 52369 106,40",""
"14020212","Vodstvene in podporne dejavnosti","302135 281926 93,31",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","568630 391567 68,86",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","568630 391567 68,86",""
"14030107","Sistem kohezijske politike","568630 391567 68,86",""
"17","MINISTRSTVO ZA NOTRANJE ZADEVE","353883946 351892209 99,44",""
"1711","Ministrstvo za notranje zadeve","28500247 26484695 92,93",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","28385747 26383664 92,95",""
"1302","Notranje zadeve in nacionalna varnost","28385747 26383664 92,95",""
"130201","Temeljne naloge policije","326403 47272 14,48",""
"13020104","Operativna podpora temeljni policijski in kriminalistični dejavnosti","326403 47272 14,48",""
"130204","Urejanje notranjih zadev","23130946 22012360 95,16",""
"13020401","Izvajanje nalog in normativno urejanje področja notranjih zadev","1524827 1355393 88,89",""
"13020402","Operativna podpora delovanja ministrstva za notranje zadeve","21606119 20656967 95,61",""
"130205","Migracije in mednarodna zaščita","4928397 4324033 87,74",""
"13020501","Izvajanje ukrepov in spremljanje stanja na področju migracij, mednarodne zaščite in integracije beguncev in tujcev","4928397 4324033 87,74",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","114500 101031 88,24",""
"1502","Dejavnosti drugih institucij na področju pravne države, svobode in varnosti","114500 101031 88,24",""
"150201","Program preprečevanja in zatiranja kriminalitete in rehabilitacija žrtev kaznivih dejanj","100000 90797 90,80",""
"15020101","Implementacija Resolucije o nacionalnem programu preprečevanja in zatiranja kriminalitete za obdobje","100000 90797 90,80",""
"2007","-2011","",""
"150204","Nadzor s področja notranjih zadev, policije, zasebnega varovanja in detektivske dejavnosti","14500 10234 70,58",""
"15020402","Razvoj politike spremljanja dela policije","14500 10234 70,58",""
"1714","Policija","324653699 324691064 100,01",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","321397592 321495461 100,03",""
"1302","Notranje zadeve in nacionalna varnost","321397592 321495461 100,03",""
"130201","Temeljne naloge policije","321397592 321495461 100,03",""
"13020101","Temeljna policijska dejavnost","297267699 297144781 99,96",""
"13020103","Temeljna kriminalistična dejavnost","14233893 14703922 103,30",""
"13020104","Operativna podpora temeljni policijski in kriminalistični dejavnosti","9896000 9646758 97,48",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","3256107 3195603 98,14",""
"1502","Dejavnosti drugih institucij na področju pravne države, svobode in varnosti","3256107 3195603 98,14",""
"150202","Vzpostavitev in krepitev inštitucij obravnave najhujših oblik finančne kriminalitete","3256107 3195603 98,14",""
"15020201","Izvajanje nalog za uspešno in učinkovito omejevanje najhujših oblik gospodarske, organizirane in korupcijske kriminalitete, učinkovitejše odkrivanje","3256107 3195603 98,14",""
"1715","Inšpektorat RS za notranje zadeve","730000 716449 98,14",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","730000 716449 98,14",""
"1302","Notranje zadeve in nacionalna varnost","730000 716449 98,14",""
"130204","Urejanje notranjih zadev","730000 716449 98,14",""
"13020402","Operativna podpora delovanja ministrstva za notranje zadeve","730000 716449 98,14",""
"18","MINISTRSTVO ZA ZUNANJE ZADEVE","76287113 75083125 98,42",""
"1811","Ministrstvo za zunanje zadeve","76287113 75083125 98,42",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","76287113 75083125 98,42",""
