"A","Bilanca odhodkov","9652121502 9362820683 97,00",""
"1","NEVLADNI PRORAČUNSKI UPORABNIKI","71140066 65929112 92,68",""
"11","PREDSEDNIK REPUBLIKE SLOVENIJE","3307827 3079593 93,10",""
"1111","Predsednik Republike Slovenije","3307827 3079593 93,10",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","3307827 3079593 93,10",""
"1201","Institucije političnega sistema","3307827 3079593 93,10",""
"120101","Dejavnost političnih institucij","3307827 3079593 93,10",""
"12010101","Delovanje UPRS in podpora izvrševanju funkcije predsednika republike in bivšega predsednika republike","3307827 3079593 93,10",""
"121","DRŽAVNI ZBOR","25884865 23794949 91,93",""
"1211","Državni zbor","25884865 23794949 91,93",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","25880465 23790549 91,92",""
"1201","Institucije političnega sistema","25880465 23790549 91,92",""
"120101","Dejavnost političnih institucij","25880465 23790549 91,92",""
"12010105","Dejavnost Državnega zbora","25880465 23790549 91,92",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","4400 4400 100,00",""
"1303","Zunanja politika","4400 4400 100,00",""
"130303","Razvojno sodelovanje in humanitarna pomoč","4400 4400 100,00",""
"13030304","Tesno medinstitucionalno sodelovanje (namenska sredstva EU)","4400 4400 100,00",""
"122","DRŽAVNI SVET","2327404 2281126 98,01",""
"1212","Državni svet","2327404 2281126 98,01",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","2327404 2281126 98,01",""
"1201","Institucije političnega sistema","2327404 2281126 98,01",""
"120101","Dejavnost političnih institucij","2327404 2281126 98,01",""
"12010103","Dejavnost Državnega sveta Republike Slovenije","2327404 2281126 98,01",""
"123","DRŽAVNA VOLILNA KOMISIJA","12902551 13043979 101,10",""
"1213","Državna volilna komisija","12902551 13043979 101,10",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","12902551 13043979 101,10",""
"1201","Institucije političnega sistema","12902551 13043979 101,10",""
"120101","Dejavnost političnih institucij","12902551 13043979 101,10",""
"12010104","Izvedba volitev in referendumov","12902551 13043979 101,10",""
"124","VARUH ČLOVEKOVIH PRAVIC","2311319 2222844 96,17",""
"1214","Varuh človekovih pravic","2311319 2222844 96,17",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","2311319 2222844 96,17",""
"1201","Institucije političnega sistema","2311319 2222844 96,17",""
"120103","Varstvo ustavnosti in nadzor človekovih pravic","2311319 2222844 96,17",""
"12010302","Varovanje človekovih pravic","2311319 2222844 96,17",""
"125","INFORMACIJSKI POOBLAŠČENEC","1539511 1519913 98,73",""
"1215","Informacijski pooblaščenec","1539511 1519913 98,73",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","1539511 1519913 98,73",""
"1201","Institucije političnega sistema","1539511 1519913 98,73",""
"120102","Dejavnost institucij nadzora pravne države","1539511 1519913 98,73",""
"12010204","Dejavnost Informacijskega pooblaščenca","1539511 1519913 98,73",""
"127","NACIONALNA AGENCIJA RS ZA KAKOVOST V VISOKEM ŠOLSTVU","2706785 1155578 42,69",""
